_id	sentence	sense	broadsense	supersense	compound_status	_text	wordform	building_bool	building	comm	organization	set_of_beliefs
church/N/br-a01/2073	`` Being at the polls was just like being at church . I did n't smell a drop of liquor ,	c3	service	C	simply_church	was just like being at <span class='hit'>church</span> . I did n't smell	church	FALSE	activity	NR	NR	practice
church/N/br-d03/1080	While it must be said that these same Protestants have built some new churches during this period , and that religious population shifts have emptied churches , a principal reason for this phenomenon of redundancy is that fewer Protestants are going to church . It should be admitted , too , that there	c3	service	C	simply_church	fewer Protestants are going to <span class='hit'>church</span> . It should be admitted	church	FALSE	activity	participation	NR	practice
church/N/br-d03/1342	It has been my experience to find as many men as women in church , and to hear almost everyone in church congregations reciting the Latin prayers and responses at Mass .	c3	service	C	simply_church	many men as women in <span class='hit'>church</span> , and to hear almost	church	FALSE	activity	participation	NR	practice
church/N/br-d03/1472	'' . A hymn often to be heard in Catholic churches is `` Faith of our Fathers '' , which glories in England 's ancient faith that endured persecution , and which proclaims : `` Faith of our Fathers : Mary 's prayers / Shall win our country back to thee '' .	c3	building	C	simply_church	to be heard in Catholic <span class='hit'>churches</span> is `` Faith of our	churches	FALSE	activity	participation	NR	practice
church/N/br-d06/2048	We trust you are not one of the 70000000 Americans who do not attend church , but who feel that various forms of recreation are more important than worshipping the God who made our country great .	c3	service	C	simply_church	Americans who do not attend <span class='hit'>church</span> , but who feel that	church	FALSE	activity	participation	NR	practice
church/N/br-l08/1824	She 'd say she did n't feel good on Sunday , could n't go to church - there 'd be a little argument , but she could be stubborn - and when the old woman had gone , quick pack the things she 'd need to take , all but the dress she 'd wear Monday , and take the bag down to that place in the station where you could put things in a locker overnight , for a dime .	c3	service	C	simply_church	, could n't go to <span class='hit'>church</span> - there 'd be a	church	FALSE	activity	NR	NR	practice
church/N/br-m01/2358	This continued most of the week following that ill-starred trip to church , during which period Mike stayed in his room and usually in a trance so deep that Jubal would have pronounced him dead had he not seen it before .	NA	service	NA	simply_church	following that ill-starred trip to NA , during which period Mike	NA	FALSE	activity	NR	NR	practice
church/N/br-p01/222	elders . Youth obeyed when commanded . It went to church on Sunday and one Saturday a month went to confession .	c3	service	C	simply_church	commanded . It went to <span class='hit'>church</span> on Sunday and one Saturday	church	FALSE	activity	participation	NR	practice
church/N/br-p03/76	California . He 'd mentioned it , himself , at church and everybody seemed to have the idea that Tolley had left because Jenny had jilted him for Roy robards .	c3	service	C	simply_church	it , himself , at <span class='hit'>church</span> and everybody seemed to have	church	FALSE	activity	participation	NR	practice
church/N/br-p03/933	. And do n't tell me you did n't at church Sunday . I heard you '' ! He really had	c3	service	C	simply_church	me you did n't at <span class='hit'>church</span> Sunday . I heard you	church	FALSE	activity	NR	NR	practice
church/N/br-p12/1260	`` I think I 'll sleep in this morning '' , she said drowsily , and as she snuggled against him , he wondered if she ever went to church . Why did he want her to go to church	c3	service	C	simply_church	if she ever went to <span class='hit'>church</span> . Why did he want	church	FALSE	activity	participation	NR	practice
