_id	sentence	sense	supersense	compound_status	_text	wordform	building	comm	organization	set_of_beliefs
church/N/br-a01/2073	`` Being at the polls was just like being at church . I did n't smell a drop of liquor ,	c3	C	simply_church	was just like being at <span class='hit'>church</span> . I did n't smell	church	activity	NR	NR	practice
church/N/br-a07/1303	the Middle East and Latin America . Interviews with several church leaders have disclosed that this development has raised the question whether the Peace Corps will be able to prevent confusion for church and state over methods , means and goals .	a2	A	church_compound	NA	NA	NR	NR	hierarchy	NR
church/N/br-a07/1325	Interviews with several church leaders have disclosed that this development has raised the question whether the Peace Corps will be able to prevent confusion for church and state over methods , means and goals . There	a1	A	simply_church	able to prevent confusion for <span class='hit'>church</span> and state over methods ,	church	NR	NR	institution	NR
church/N/br-a07/1487	And then , some churchmen remarked , there is a more classical church-state problem : Can religious agencies use Government funds and Peace Corps personnel in their projects and still preserve the constitutional requirement on separation of church and state ? R. Sargent Shriver Jr. , director of	a1	A	simply_church	constitutional requirement on separation of <span class='hit'>church</span> and state ? R. Sargent	church	NR	NR	institution	NR
church/N/br-a09/1417	It is designated as Stage 1 Residential on the Redevelopment Authority 's master plan and will feature row houses , garden apartments , four small parks , schools , churches , a shopping center and several small clusters of stores .	c1	C	simply_church	small parks , schools , <span class='hit'>churches</span> , a shopping center and	churches	material object	NR	NR	NR
church/N/br-a10/1674	Friday night the delegates heard the need for their forthcoming program , `` Breakthrough '' scheduled to fill the churches for the next two years . In his opening address	c3	C	simply_church	'' scheduled to fill the <span class='hit'>churches</span> for the next two years	churches	place	participation	NR	practice
church/N/br-a10/1754	`` Surveys show that one out of three Americans has vital contact with the church . This means that more than 100 million have no	d	D	simply_church	has vital contact with the <span class='hit'>church</span> . This means that more	church	NR	participation	NR	practice
church/N/br-a10/1769	This means that more than 100 million have no vital touch with the church or religious life '' , he told delegates Friday .	d	D	simply_church	no vital touch with the <span class='hit'>church</span> or religious life '' ,	church	NR	participation	NR	practice
church/N/br-a10/1831	'' . `` In 35 years we have opened 7000 churches '' , the Rev. Mr. Brandt said , adding that the denomination had a national goal of one church for every 10000 persons .	b	B	simply_church	years we have opened 7000 <span class='hit'>churches</span> '' , the Rev. Mr.	churches	congregation	NR	administration	evangelism
church/N/br-a10/1850	`` In 35 years we have opened 7000 churches '' , the Rev. Mr. Brandt said , adding that the denomination had a national goal of one church for every 10000 persons . `` In this light we	b	B	simply_church	a national goal of one <span class='hit'>church</span> for every 10000 persons .	church	congregation	membership	administration	evangelism
church/N/br-a10/1863	10000 persons . `` In this light we need 1000 churches in Illinois , where we have 200 ; 800 in Southern New England , we have 60 ; we need 100 in Rhode Island , we have none '' , he said .	b	B	simply_church	this light we need 1000 <span class='hit'>churches</span> in Illinois , where we	churches	congregation	NR	administration	evangelism
church/N/br-a10/1918	To step up the denomination 's program , the Rev. Mr. Brandt suggested the vision of 8000 new Assemblies of God churches in the next 10 years . To accomplish this would	b	B	simply_church	8000 new Assemblies of God <span class='hit'>churches</span> in the next 10 years	churches	congregation	NR	administration	evangelism
church/N/br-a10/1940	some changes in methods , he said . `` The church 's ability to change her methods is going to determine her ability to meet the challenge of this hour '' .	a2	A	simply_church	he said . `` The <span class='hit'>church</span> 's ability to change her	church	NR	NR	agentivity	doctrine
church/N/br-a10/1980	A capsule view of proposed plans includes : Encouraging by every means , all existing Assemblies of God churches to start new churches . Engaging mature , experienced men	b	B	simply_church	all existing Assemblies of God <span class='hit'>churches</span> to start new churches .	churches	congregation	NR	administration	evangelism
church/N/br-a10/1984	A capsule view of proposed plans includes : Encouraging by every means , all existing Assemblies of God churches to start new churches . Engaging mature , experienced men to pioneer or open	b	B	simply_church	God churches to start new <span class='hit'>churches</span> . Engaging mature , experienced	churches	congregation	participation	administration	evangelism
church/N/br-a10/1996	Engaging mature , experienced men to pioneer or open new churches in strategic population centers . Surrounding pioneer pastors with vocational	b	B	simply_church	to pioneer or open new <span class='hit'>churches</span> in strategic population centers .	churches	congregation	participation	administration	evangelism
church/N/br-a10/2022	Surrounding pioneer pastors with vocational volunteers ( laymen , who will be urged to move into the area of new churches in the interest of lending their support to the new project ) .	b	B	simply_church	into the area of new <span class='hit'>churches</span> in the interest of lending	churches	congregation	NR	administration	evangelism
church/N/br-a10/2051	Arranging for ministerial graduates to spend from 6 - 12 months as apprentices in well-established churches . U. S. Dist. Judge Charles L. Powell denied all	b	B	simply_church	months as apprentices in well-established <span class='hit'>churches</span> . U. S. Dist. Judge	churches	congregation	participation	administration	evangelism
church/N/br-a16/453	Because of the recent death of the bride 's father , Frederick B. Hamm , the marriage of Miss Terry Hamm to John Bruce Parichy will be a small one at noon tomorrow in St. Bernadine 's church , Forest Park . A small reception will follow in	c1	C	simply_church	tomorrow in St. Bernadine 's <span class='hit'>church</span> , Forest Park . A	church	place	NR	NR	NR
church/N/br-a17/1636	Oxnard , Calif. , will be the home of the Rev. Robert D. Howard and his bride , the former Miss Judith Ellen Gay , who were married Saturday at the Munger Place Methodist Church . Parents of the bride are Mr. and Mrs. Ferris	c1	C	compound_church	NA	NA	place	NR	NR	NR
church/N/br-a17/1770	Miss Joan Frances Baker , a graduate of SMU , was married Saturday to Elvis Leonard Mason , an honor graduate of Lamar State College of Technology , in the chapel of the First Presbyterian Church of Houston . The bride , daughter of Rhodes Semmes	c1	C	compound_church	NA	NA	place	NR	NR	NR
church/N/br-a17/2134	The Rev. Melvin Carter officiated at the ceremony in Slaughter Chapel of the First Baptist Church . Dan Beam presented music and the bride was given	c1	C	compound_church	NA	NA	place	NR	NR	NR
