_model	destroy.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	destroy.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	destroy.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	destroy.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	destroy.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.BOWnobound10nav-nap.PPMIno.LENGTH5000.SOCPOSnav	destroy.BOWnobound10nav-nap.PPMIno.LENGTHFOC.SOCPOSnav	destroy.BOWnobound10nav-nap.PPMIselection.LENGTH5000.SOCPOSnav	destroy.BOWnobound10nav-nap.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.BOWnobound10nav-nap.PPMIweight.LENGTH5000.SOCPOSnav	destroy.BOWnobound10nav-nap.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.BOWnobound10nav.PPMIno.LENGTH5000.SOCPOSnav	destroy.BOWnobound10nav.PPMIno.LENGTHFOC.SOCPOSnav	destroy.BOWnobound10nav.PPMIselection.LENGTH5000.SOCPOSnav	destroy.BOWnobound10nav.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.BOWnobound10nav.PPMIweight.LENGTH5000.SOCPOSnav	destroy.BOWnobound10nav.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.BOWnobound15all.PPMIno.LENGTH5000.SOCPOSnav	destroy.BOWnobound15all.PPMIno.LENGTHFOC.SOCPOSnav	destroy.BOWnobound15all.PPMIselection.LENGTH5000.SOCPOSnav	destroy.BOWnobound15all.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.BOWnobound15all.PPMIweight.LENGTH5000.SOCPOSnav	destroy.BOWnobound15all.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.BOWnobound15nav-nap.PPMIno.LENGTH5000.SOCPOSnav	destroy.BOWnobound15nav-nap.PPMIno.LENGTHFOC.SOCPOSnav	destroy.BOWnobound15nav-nap.PPMIselection.LENGTH5000.SOCPOSnav	destroy.BOWnobound15nav-nap.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.BOWnobound15nav-nap.PPMIweight.LENGTH5000.SOCPOSnav	destroy.BOWnobound15nav-nap.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.BOWnobound15nav.PPMIno.LENGTH5000.SOCPOSnav	destroy.BOWnobound15nav.PPMIno.LENGTHFOC.SOCPOSnav	destroy.BOWnobound15nav.PPMIselection.LENGTH5000.SOCPOSnav	destroy.BOWnobound15nav.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.BOWnobound15nav.PPMIweight.LENGTH5000.SOCPOSnav	destroy.BOWnobound15nav.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	destroy.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	destroy.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	destroy.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	destroy.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.BOWnobound5nav-nap.PPMIno.LENGTH5000.SOCPOSnav	destroy.BOWnobound5nav-nap.PPMIno.LENGTHFOC.SOCPOSnav	destroy.BOWnobound5nav-nap.PPMIselection.LENGTH5000.SOCPOSnav	destroy.BOWnobound5nav-nap.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.BOWnobound5nav-nap.PPMIweight.LENGTH5000.SOCPOSnav	destroy.BOWnobound5nav-nap.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.BOWnobound5nav.PPMIno.LENGTH5000.SOCPOSnav	destroy.BOWnobound5nav.PPMIno.LENGTHFOC.SOCPOSnav	destroy.BOWnobound5nav.PPMIselection.LENGTH5000.SOCPOSnav	destroy.BOWnobound5nav.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.BOWnobound5nav.PPMIweight.LENGTH5000.SOCPOSnav	destroy.BOWnobound5nav.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	destroy.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	destroy.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	destroy.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	destroy.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	destroy.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	destroy.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	destroy.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	destroy.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	destroy.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	destroy.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	destroy.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	destroy.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	destroy.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	destroy.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	destroy.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	destroy.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	destroy.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.LEMMARELagent.PPMIno.LENGTH5000.SOCPOSnav	destroy.LEMMARELagent.PPMIno.LENGTHFOC.SOCPOSnav	destroy.LEMMARELagent.PPMIselection.LENGTH5000.SOCPOSnav	destroy.LEMMARELagent.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.LEMMARELagent.PPMIweight.LENGTH5000.SOCPOSnav	destroy.LEMMARELagent.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.LEMMARELboth.PPMIno.LENGTH5000.SOCPOSnav	destroy.LEMMARELboth.PPMIno.LENGTHFOC.SOCPOSnav	destroy.LEMMARELboth.PPMIselection.LENGTH5000.SOCPOSnav	destroy.LEMMARELboth.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.LEMMARELboth.PPMIweight.LENGTH5000.SOCPOSnav	destroy.LEMMARELboth.PPMIweight.LENGTHFOC.SOCPOSnav	destroy.LEMMARELpatient.PPMIno.LENGTH5000.SOCPOSnav	destroy.LEMMARELpatient.PPMIno.LENGTHFOC.SOCPOSnav	destroy.LEMMARELpatient.PPMIselection.LENGTH5000.SOCPOSnav	destroy.LEMMARELpatient.PPMIselection.LENGTHFOC.SOCPOSnav	destroy.LEMMARELpatient.PPMIweight.LENGTH5000.SOCPOSnav	destroy.LEMMARELpatient.PPMIweight.LENGTHFOC.SOCPOSnav
destroy.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	0	1.87502836131544	2.27700791290082	2.82965453865605	3.87098508376985	3.98109600703915	2.63025012876835	2.94710960274735	3.45282369551314	3.58802613291621	4.1537406702476	4.1756098789886	3.57845083072015	3.63728416297615	3.92164287746519	3.95327206364756	4.30992287388753	4.29344234397235	2.69543890491563	2.99011387391037	3.1202568094376	3.39336561481709	4.05506144482293	4.13676341521758	3.31192129521623	3.44383429925257	3.70068618113479	3.82369175777315	4.23018749994915	4.26053533789927	3.78975722105677	3.8255264507506	4.0454735748186	4.08542679711836	4.3724585123995	4.36979075947394	3.79104758287642	3.72226261137548	4.1196354137293	3.99447104761081	4.45526286998821	4.40330369085136	4.23527037415515	4.14233053661928	4.52390861059237	4.38532502657418	4.64916192125905	4.57403985059222	4.51684997163321	4.41341090854768	4.65644014004688	4.51942894457278	4.71557057285966	4.62903601323233	4.56811199340079	4.40067750791993	4.66036752149293	4.48586483575511	4.68926474578212	4.63307523199284	4.28356225608761	4.13107388058342	4.43038804048179	4.28225084929975	4.5530243606692	4.50711050072759	4.44066723113547	4.25171321276767	4.54476846524076	4.34798989854678	4.77413818435282	4.7030378685203	4.66846022873947	4.58488067477723	4.62656073734545	4.59382547658863	4.7479874716568	4.63827479819715	4.7786475517469	4.67288388871851	4.81632843603738	4.76390646934512	3.87307070969165	4.02404407824672	3.77710171157594	3.87948007727291	3.70729656926313	3.82132506773192	4.20421412760104	4.23040268539307	4.17869239911485	4.18444301089655	4.14145183942942	4.17973517535798	4.22879383497623	4.3015624873249	4.18079423764763	4.25868589629135	4.15217173220922	4.2293658069159
destroy.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	1.87502836131544	0	2.72168201957438	2.12445117269347	3.58311138216921	3.38136586190591	2.71498234895663	2.03890745805187	3.33797202039574	2.87967315167241	3.80740685607849	3.58824077509998	3.30192073708929	2.86000903782444	3.64366641414466	3.29411462238578	3.96923329995171	3.75553627128278	2.84156488907499	2.40243248913436	3.17190742343538	2.8151882290069	3.70734026840339	3.57233457041416	3.20163824902908	2.8386028704464	3.51238635444886	3.22523668563944	3.86629212708357	3.71646659839398	3.50862991229992	3.22490550158264	3.75697421376249	3.5131272390707	4.01858994567945	3.86124340180368	4.04711891972518	3.51866193100996	4.28894978159729	3.76532038669073	4.3278086035927	4.06700950787794	4.26391948461957	3.82835594448457	4.48007134546334	4.05277094596768	4.46029911865413	4.23042646550351	4.41630968536911	4.0880095461746	4.53869614778303	4.19180180257898	4.53916813496337	4.32211699370013	4.6745686536463	4.26748756502086	4.73735865533057	4.34783390524548	4.59715382561055	4.40377741475969	4.40472142155469	3.93841326355628	4.51250785860719	4.08610215046871	4.4173587856903	4.20949438677319	4.54512739303731	4.09867838480607	4.6159895596766	4.18059729121305	4.73691871785992	4.54989898205302	4.5813349538239	4.40043907493702	4.49035356612657	4.39049325556999	4.71741355751286	4.43413313667917	4.72491650047403	4.45888335698387	4.68129113225076	4.52112882428228	3.73810873081257	3.87273884628178	3.63444850050034	3.72975706490839	3.56630635052123	3.67093558426981	4.07397962872302	4.01729337528055	4.02549852908026	3.9654834872895	3.97126062378252	3.95616360523618	4.1253339372274	4.19020848592356	4.07451714428814	4.14611405999716	4.04450919396132	4.11511716230589
destroy.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	2.27700791290082	2.72168201957438	0	2.11151507620606	3.53214402057683	3.74557456436038	3.40823908987747	3.4480486952059	2.89342714733878	3.22643316094257	3.89849712569804	3.99060090288342	3.74323833895806	3.76209594696578	3.60438786089354	3.73532114296083	4.08523860112754	4.12374806352853	3.37469005132115	3.49781999705029	2.67680103441567	3.12918038105392	3.80543752927952	3.97019012932239	3.85814477068592	3.84450634318392	3.43976900225077	3.6609201433025	4.02747730898635	4.12011738548219	4.01625904688102	3.99943156805786	3.88083441198408	3.98110110541404	4.1737887837228	4.22638460465125	3.76626460567247	3.717238992416	3.68602902572396	3.64070821245385	4.23294135323628	4.21703894072371	4.31045856573304	4.18082835712077	4.24020571617125	4.15065615421432	4.47277301899887	4.41914227901775	4.40680806716109	4.3114667962971	4.4299182472956	4.32488524904873	4.54030618208845	4.47449389506795	4.4984375305554	4.34756378824211	4.43268129950962	4.28359752263191	4.49346972691916	4.47140079671707	4.2437765622487	4.11669863192102	4.15014778613013	4.0486132465549	4.36293407868334	4.34890270664846	4.37853602794869	4.20093098244016	4.29978684537153	4.11934151902246	4.72416632850576	4.65630470389219	4.5238461870524	4.4686055404883	4.48398781882331	4.48340451545501	4.66924097700319	4.56455898068136	4.59599216535597	4.51238512161286	4.63071256875763	4.60670963317616	3.88010771311889	4.01451496460952	3.76578400264551	3.86279682442689	3.70064490066801	3.80799876819205	4.12999304060408	4.1563477511407	4.06576490821677	4.08348636005234	4.01746571428307	4.08153563012595	4.11383058369303	4.2037018777846	4.05431893640987	4.14442692014653	4.02715645555248	4.11399621902407
destroy.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	2.82965453865605	2.12445117269347	2.11151507620606	0	3.15168794329295	2.81736547088145	3.33512947994087	2.68414478049646	2.92511873709744	2.11444985202963	3.41740944224089	3.09705253466048	3.45604562473577	2.96835456590022	3.332263063446	2.76296439318656	3.6195772145533	3.31980235946638	3.42521233066086	3.03346295639058	2.94893386648264	2.36566454411592	3.383285035635	3.1779699059273	3.65359625082669	3.24908052946306	3.29701455598236	2.84283126269882	3.55238112774456	3.34424540868465	3.70618255484008	3.37325913728302	3.58732831109887	3.21768217764008	3.72157840657592	3.51276838006069	4.07539692241261	3.51640060711083	4.04329614740763	3.35360651301318	4.07430841815562	3.72827417484907	4.31144723517305	3.79957324685042	4.25225153803727	3.69678397022738	4.21831290066729	3.91874735050687	4.3140279245238	3.92741066979868	4.33148154237499	3.87979876793337	4.30176784513072	4.02986261853225	4.66360385003764	4.21470917127694	4.62430548419512	4.1494669931344	4.43326308153743	4.18841287722273	4.39023891359805	3.90163569481218	4.34096570772541	3.79984944570215	4.20447753350793	3.93240004497255	4.53317870219042	4.05450040666084	4.48698304547979	3.94166525239896	4.70087552382063	4.47547628091134	4.48246848718411	4.2664592496503	4.37196602238362	4.25526329710668	4.66506774052639	4.3191389107283	4.60228672181199	4.26147185099048	4.51433227693839	4.30844847260133	3.71310937463945	3.83106227320737	3.59067578786558	3.67522657990193	3.5314972670148	3.62337650864474	3.96621717044656	3.87965239691205	3.88631197785808	3.80127332454817	3.82590177218074	3.79599914230871	4.01422215065141	4.09226957778463	3.95294412839868	4.03125588273948	3.92536779677687	4.00050405554167
destroy.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	3.87098508376985	3.58311138216921	3.53214402057683	3.15168794329295	0	1.71925310430017	3.82743278996411	3.57371125754251	3.40728294296844	3.18990312277072	1.609413476513	2.29277241962466	3.60800308271551	3.52012521137912	3.37963366367053	3.34221265349964	2.23934741467908	2.65091409321476	4.10384893799632	3.89624559040419	3.82321309109765	3.53837619727717	2.01966098585317	2.51165357110694	4.08156186569079	3.90474661053175	3.74360407009576	3.58515334990658	2.43868024073812	2.81724822094642	3.9329214423793	3.84384822928434	3.76564274119686	3.70646616436076	2.779475244722	3.0421707231124	4.27794565093424	3.93365106711616	4.19378940044553	3.77077385992668	3.00430396510966	3.12188623272678	4.30007964325134	4.0070960815712	4.13003812524283	3.84364977788384	3.38273542766204	3.47446405603739	4.12859431013388	3.96954221815307	4.0973039580988	3.91449293782766	3.61756080770733	3.66502297836898	4.55156142341983	4.18776318612018	4.48516400384195	4.10723860100672	3.71959807352172	3.72340598181643	4.36697627496224	3.9771544113908	4.28707577558733	3.8699975475534	3.28073132378934	3.32240532125795	4.42045691559139	4.01988072948045	4.34668763004573	3.89984795174689	4.52126819167775	4.40929023313121	4.24026599579537	4.16944868164924	3.96518987420043	4.04208466805601	4.3634710710168	4.14136765399419	4.25948507027047	4.06649654655701	3.86900685123102	3.89340459159371	3.72418469243813	3.87903367397405	3.58419795588242	3.72332487933158	3.50811195777885	3.66303114870746	3.86797583421268	3.86584656759096	3.73080809969229	3.75714226905489	3.59749706596396	3.7147080803037	3.89131185050864	4.05162811285546	3.77327337526648	3.94391683992366	3.75234063089579	3.91691818019154
destroy.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	3.98109600703915	3.38136586190591	3.74557456436038	2.81736547088145	1.71925310430017	0	3.85946671329522	3.2573292689982	3.54067261478591	2.72164014262837	2.06298951858372	1.20541712149997	3.6662062611793	3.20535224465672	3.48158330238501	2.88743821788783	2.47811412368321	1.88004023299923	4.12016493893351	3.70490888063156	3.90896242580019	3.25998423285497	2.38676727486041	1.91675357748876	4.02682809157385	3.62232812399671	3.7463147585152	3.19227269236801	2.56352773423865	2.16490716572547	3.89978381014714	3.57188882880908	3.7450468314308	3.32371302342874	2.85117821900766	2.49443924119472	4.46431836556481	3.85428705850743	4.42116616931765	3.65041656763334	3.39394758502221	2.84431421431676	4.3979397233089	3.80451073612023	4.26926875023602	3.58953473397498	3.54574592855727	3.12335719644506	4.25579942971991	3.80052203048176	4.20977955110134	3.67722255474863	3.73655700271038	3.37170052173609	4.70177907447089	4.14871184105371	4.66446818096111	4.06923910542378	3.9995786846939	3.63958693755179	4.50102188881756	3.90900120933678	4.45929258779148	3.78323840884786	3.6000862873785	3.17316194293033	4.57984085273071	4.00461196068711	4.53393428729503	3.86536192216031	4.57515313532303	4.29127599399713	4.30965426555757	4.04569107672462	4.05174521174522	3.92098788127337	4.51782907566179	4.05464079389316	4.43880530582025	3.98038755632961	4.07873765078131	3.78549044873376	3.65142915530289	3.7811544996347	3.4959700892891	3.60118330566816	3.42708920095349	3.54451979823687	3.80871211332167	3.66001693770935	3.67643082338384	3.55931250410391	3.54914078376572	3.51433144837577	3.88076379857955	3.9759872773556	3.78150251771876	3.88457389093623	3.75437258286334	3.85392861222205
destroy.BOWnobound10nav-nap.PPMIno.LENGTH5000.SOCPOSnav	2.63025012876835	2.71498234895663	3.40823908987747	3.33512947994087	3.82743278996411	3.85946671329522	0	1.8280943215551	2.42254202472358	2.85714967057849	3.61670127822389	3.75678641068265	2.74712082878011	2.99422197054822	3.22346407564266	3.40747108593427	3.87137282234976	3.93569545493066	3.34877235646964	3.35164897631896	3.72630429255609	3.66977787571886	3.96639106343876	4.00959526828163	2.6096938793456	2.89923320501835	3.03866515683695	3.32494421200558	3.78352776906028	3.91495759164625	3.29592585551667	3.419109063006	3.53296923412676	3.67500467062747	4.00469292175551	4.06774786018483	4.26574944860111	4.01998718914842	4.50749867712808	4.20082522722009	4.43334491218054	4.32660178227344	3.66391070827482	3.65442287280649	4.04244227506051	3.96234047583016	4.28352008655112	4.28651813834782	4.14738611773805	4.08048044017494	4.30792680720738	4.19890961243129	4.43528588447216	4.38774390037276	4.81826982410491	4.54958011316645	4.89247440518297	4.6164616572284	4.70839552765123	4.59320607275189	4.61073045893924	4.33008940405248	4.72992224867015	4.4491931095872	4.58519819532723	4.47270787129387	4.67999064154731	4.3716516786553	4.75829876717871	4.43588570185619	4.67446548063455	4.57489353701359	4.56278502019415	4.47407648381645	4.49135685837711	4.48062064756447	4.65791424848302	4.51193672417457	4.68074295572124	4.54118841827968	4.703793462901	4.64157205521639	3.87835669457102	3.98744185115372	3.7291412232971	3.82912330207255	3.65802850960838	3.77054945050212	4.20624944211732	4.17334661142617	4.12343469948569	4.11659241476467	4.06267304640488	4.10089840958266	4.18061368321137	4.27446795174606	4.11416829411072	4.21781516858434	4.08439943429987	4.18806704422554
destroy.BOWnobound10nav-nap.PPMIno.LENGTHFOC.SOCPOSnav	2.94710960274735	2.03890745805187	3.4480486952059	2.68414478049646	3.57371125754251	3.2573292689982	1.8280943215551	0	2.66511981088936	2.07045805931504	3.35508723196551	3.13458413185707	2.7417432355153	2.14259168422799	3.11150489345586	2.6929102661339	3.60162710376563	3.37538339885283	3.38189746780455	2.90856610643114	3.64390910249281	3.13517627563103	3.67032587170894	3.46014037528891	2.79884700789836	2.37026257815078	3.0362528641103	2.71614506353942	3.4879274016159	3.35525977931167	3.18278914922868	2.84435018807199	3.35380226822954	3.08402322491724	3.71231920987515	3.55398974545918	4.36974484108076	3.78975201501576	4.54400222983604	3.92953612043359	4.32613593589714	3.99047423677686	3.90203756045653	3.40436216193638	4.13781641475822	3.65934025126065	4.16545559302382	3.94018869687567	4.15732149595034	3.77402112301968	4.27515661151622	3.88013240914499	4.30574746210877	4.07408038289586	4.84416058475572	4.38942612593747	4.8847257324003	4.43080131202729	4.61820286904935	4.36141991580874	4.62659361511182	4.11906422774558	4.70748320181674	4.20825369611927	4.45467038024871	4.17019593483923	4.70985019011479	4.21113204409987	4.75345819859769	4.23936809901079	4.66606210394334	4.44501150448405	4.50178981884512	4.30315710185786	4.39252581566019	4.29065615656221	4.66594135810808	4.32736654808308	4.66195777000386	4.34074218675674	4.6045026869793	4.40797568740658	3.74257962858166	3.85140617920923	3.59808530514396	3.69138853942731	3.53192747349587	3.63419197287223	4.04145260418937	3.92862022366197	3.95859824671878	3.87566665514102	3.8883712197396	3.86007147964674	4.05866348186137	4.13584905627026	4.00148565154598	4.08657533164664	3.97019951999216	4.05699516381737
destroy.BOWnobound10nav-nap.PPMIselection.LENGTH5000.SOCPOSnav	3.45282369551314	3.33797202039574	2.89342714733878	2.92511873709744	3.40728294296844	3.54067261478591	2.42254202472358	2.66511981088936	0	2.0258805569709	3.06774235093283	3.37531666984951	2.8606895937195	3.0480692153197	2.38397007643605	2.88600282583538	3.41501310865086	3.59188925827979	3.88555264714834	3.78577404873249	3.50337342259202	3.49548420192865	3.644859999885	3.77111213183858	3.37147275742188	3.41195054724728	2.41981574409768	2.95415744645488	3.36694433358729	3.62653600999327	3.53353090338829	3.57343072686867	3.13203084449345	3.40312888094255	3.63858995208847	3.79335598735226	4.26922209008479	4.02449098838309	4.19509176979636	3.90714306751097	4.16348151626762	4.08364947036241	3.71379104778206	3.6520405946787	3.50063772632052	3.5426424680332	3.93862183787797	4.00188524366391	3.93464163341486	3.88261645271047	3.89988064121919	3.86280414128547	4.12175389622892	4.1203838553699	4.81981207769905	4.54320946726085	4.75071637562638	4.4691784346389	4.49455832207125	4.40298456443878	4.63906545738841	4.34467497796921	4.56940307049628	4.29017451527876	4.38171746840826	4.28909537750139	4.67814727085101	4.34493011894437	4.59467774119234	4.24805808857549	4.61754639752839	4.51516137363155	4.37317243058396	4.30776184146992	4.28566388500977	4.3135050832085	4.58358350034582	4.43233896474709	4.48073791936397	4.35377589515839	4.47460192760682	4.44450301210505	3.8851642488996	3.99179143337646	3.71938789828935	3.81662673355507	3.65416697357301	3.76120127265962	4.17872278797863	4.13877440093894	4.06703437102928	4.05401377742648	3.98715525253869	4.04001496184754	4.10515749435893	4.20980408851722	4.02448752310115	4.13556788572778	4.00028918866361	4.11073903602633
destroy.BOWnobound10nav-nap.PPMIselection.LENGTHFOC.SOCPOSnav	3.58802613291621	2.87967315167241	3.22643316094257	2.11444985202963	3.18990312277072	2.72164014262837	2.85714967057849	2.07045805931504	2.0258805569709	0	2.84229884437146	2.48327860174054	2.9837262359606	2.38251764367143	2.65558672967941	1.84255175104683	3.16813416925912	2.81834525943616	3.84483564660915	3.41114355197656	3.56999392600002	2.91924130231208	3.37448262080444	3.08203988625741	3.40715171383623	2.98021799326833	2.75539310214449	2.23506649593524	3.08939757746282	2.89184357319751	3.4468041715664	3.07725983092543	3.12846499892176	2.70509958009779	3.35887904660954	3.13291550947394	4.42551956909591	3.82354099089086	4.39344596710073	3.64412567060047	4.10873955199946	3.67596269062882	3.99479441527865	3.41367005741717	3.85503361347778	3.21734905216999	3.88423832334726	3.57507997097971	4.05918397973544	3.60290950046356	4.02538315177714	3.50330806883455	4.04170380051984	3.7409372235831	4.86349760954576	4.3654882541203	4.82112119770023	4.28807269031138	4.47860921717082	4.16131870558704	4.6567288225194	4.11427177633777	4.61846540504829	4.02438847915727	4.28685288694244	3.92810081366651	4.73275875748574	4.19126327005751	4.67900592248112	4.06440180357507	4.64392157511314	4.37778787669942	4.39045368912923	4.14529818644373	4.25854730467716	4.12931757880265	4.63001487480781	4.22520979788488	4.54894578520383	4.14853656289009	4.45021675410668	4.20042419729549	3.72045998633102	3.82077467348433	3.55751995117531	3.64061118639536	3.49954882355793	3.59101156557532	3.98069142406424	3.83434750485838	3.8689550364295	3.75002294225313	3.79441893756465	3.74070182392979	3.98402054650625	4.06186965658209	3.90939591532045	3.99278210996108	3.88297098290244	3.96595189908421
