_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
goedkoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.35511686530858194	-0.6776673949558528	NA	NA	BOW	bound	563	lex	10_10	1	weight	5000	5000	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	1.2729310780351013	-1.1234077257184651	NA	NA	BOW	bound	563	lex	10_10	1	weight	5000	5000	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3912437375362005	-0.7642490237669333	NA	NA	BOW	bound	563	lex	10_10	1	weight	FOC	413	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.3610516343058063	-0.7570533394372945	NA	NA	BOW	bound	563	lex	10_10	1	weight	FOC	563	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.8036564834435206	-0.7867116216218089	NA	NA	BOW	bound	563	lex	10_10	1	selection	5000	5000	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	1.1103515789589262	-1.322398722642165	NA	NA	BOW	bound	563	lex	10_10	1	selection	5000	5000	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6410566509052703	-0.8018947358751094	NA	NA	BOW	bound	563	lex	10_10	1	selection	FOC	413	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.6291521714614488	-0.8065330973935139	NA	NA	BOW	bound	563	lex	10_10	1	selection	FOC	563	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.1309475344284614	-1.072564668601375	NA	NA	BOW	bound	986	lex	10_10	1	no	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	1.3830607846284189	-1.8465034737408155	NA	NA	BOW	bound	986	lex	10_10	1	no	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.9550023538912605	-1.0648926052444774	NA	NA	BOW	bound	986	lex	10_10	1	no	FOC	747	nav	4_4	303	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.9362546237477378	-1.0610429514972775	NA	NA	BOW	bound	986	lex	10_10	1	no	FOC	986	all	4_4	303	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.1303633175003625	-0.5480434344541958	NA	NA	BOW	bound	699	all	10_10	1	weight	5000	5000	nav	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	1.5065258526507848	-0.6026031294471995	NA	NA	BOW	bound	699	all	10_10	1	weight	5000	5000	all	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.21822493297376264	-0.6148685738957779	NA	NA	BOW	bound	699	all	10_10	1	weight	FOC	413	nav	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.1729134245752007	-0.6093126576651446	NA	NA	BOW	bound	699	all	10_10	1	weight	FOC	699	all	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-1.422080858981116	-0.7316525006226645	NA	NA	BOW	bound	699	all	10_10	1	selection	5000	5000	nav	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	1.5690852125184702	-0.9347703488552412	NA	NA	BOW	bound	699	all	10_10	1	selection	5000	5000	all	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7713504090902261	-0.8273011646699818	NA	NA	BOW	bound	699	all	10_10	1	selection	FOC	413	nav	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.6962419285318887	-0.8618167583460663	NA	NA	BOW	bound	699	all	10_10	1	selection	FOC	699	all	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-1.802238709935866	-1.2334549177721692	NA	NA	BOW	bound	1308	all	10_10	1	no	5000	5000	nav	4_4	303	goedkoop
