_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
grijs.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.0855177947985413	-0.22067554691412875	NA	NA	BOW	bound	590	lex	10_10	1	weight	5000	5000	nav	4_4	296	grijs
grijs.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.09363878646386424	-1.373736473543873	NA	NA	BOW	bound	590	lex	10_10	1	weight	5000	5000	all	4_4	296	grijs
grijs.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.2708697535279025	0.21689495134990666	NA	NA	BOW	bound	590	lex	10_10	1	weight	FOC	432	nav	4_4	296	grijs
grijs.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.2151232873179374	0.17513439461956545	NA	NA	BOW	bound	590	lex	10_10	1	weight	FOC	590	all	4_4	296	grijs
grijs.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.7182431955269055	-0.6867184945115861	NA	NA	BOW	bound	590	lex	10_10	1	selection	5000	5000	nav	4_4	296	grijs
grijs.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.22386485086657013	-1.5548465334707184	NA	NA	BOW	bound	590	lex	10_10	1	selection	5000	5000	all	4_4	296	grijs
grijs.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.0006990649789405	-0.25261294718121274	NA	NA	BOW	bound	590	lex	10_10	1	selection	FOC	432	nav	4_4	296	grijs
grijs.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.9482003795834795	-0.2638285237392599	NA	NA	BOW	bound	590	lex	10_10	1	selection	FOC	590	all	4_4	296	grijs
grijs.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.9520991537948577	-0.9958947815828412	NA	NA	BOW	bound	1074	lex	10_10	1	no	5000	5000	nav	4_4	303	grijs
grijs.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.31191031061657154	-2.274880797243298	NA	NA	BOW	bound	1074	lex	10_10	1	no	5000	5000	all	4_4	303	grijs
grijs.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.2175336759777573	-0.5465502368170658	NA	NA	BOW	bound	1074	lex	10_10	1	no	FOC	795	nav	4_4	303	grijs
grijs.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.169960281239528	-0.5646493437903287	NA	NA	BOW	bound	1074	lex	10_10	1	no	FOC	1074	all	4_4	303	grijs
grijs.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.5448236720995103	-0.13997701511469912	NA	NA	BOW	bound	681	all	10_10	1	weight	5000	5000	nav	4_4	302	grijs
grijs.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	1.1353226867788413	-0.892146519918467	NA	NA	BOW	bound	681	all	10_10	1	weight	5000	5000	all	4_4	302	grijs
grijs.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8963144454861302	0.34247355968129023	NA	NA	BOW	bound	681	all	10_10	1	weight	FOC	432	nav	4_4	302	grijs
grijs.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.8499300664880063	0.2927225139943431	NA	NA	BOW	bound	681	all	10_10	1	weight	FOC	681	all	4_4	302	grijs
