_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
haken.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.15146867407907957	0.0077626061731209004	NA	NA	bound	375	lex	10_10	1	weight	5000	5000	nav	4_4	246	haken	0.17977084314067604	BOW	nav_5000	c1	0
haken.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.23514837333767058	-0.03976078336108763	NA	NA	bound	375	lex	10_10	1	weight	5000	5000	all	4_4	246	haken	0.18527728780935418	BOW	all_5000	c2	0
haken.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.16020627922968494	0.04641386706046085	NA	NA	bound	375	lex	10_10	1	weight	FOC	258	nav	4_4	246	haken	0.17829006501635541	BOW	nav_FOC	c1	0
haken.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.15559033326186025	0.04895291680928865	NA	NA	bound	375	lex	10_10	1	weight	FOC	375	all	4_4	246	haken	0.17305647947054645	BOW	all_FOC	c1	0
haken.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.1698500527391638	0.00943716714970226	NA	NA	bound	375	lex	10_10	1	selection	5000	5000	nav	4_4	246	haken	0.18994416417471666	BOW	nav_5000	c1	0
haken.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.25485490734140787	-0.036065396338671604	NA	NA	bound	375	lex	10_10	1	selection	5000	5000	all	4_4	246	haken	0.20877107659453237	BOW	all_5000	c2	0
haken.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.15680557226719902	0.06398770845714816	NA	NA	bound	375	lex	10_10	1	selection	FOC	258	nav	4_4	246	haken	0.17933702510028654	BOW	nav_FOC	c1	0
haken.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.1556529443866379	0.06871209807973454	NA	NA	bound	375	lex	10_10	1	selection	FOC	375	all	4_4	246	haken	0.17381356863505662	BOW	all_FOC	c1	0
haken.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.18014431687430407	0.12783207468718677	NA	NA	bound	722	lex	10_10	1	no	5000	5000	nav	4_4	249	haken	0.17470138011100875	BOW	nav_5000	c3	0
haken.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.23785616700308945	0.16359638506525015	NA	NA	bound	722	lex	10_10	1	no	5000	5000	all	4_4	249	haken	0.17365260081698441	BOW	all_5000	c3	0
haken.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.16416828584008883	0.13346519878191768	NA	NA	bound	722	lex	10_10	1	no	FOC	521	nav	4_4	249	haken	0.15808855427837132	BOW	nav_FOC	c3	0
haken.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.16384652254982407	0.1371692390790934	NA	NA	bound	722	lex	10_10	1	no	FOC	722	all	4_4	249	haken	0.1506056983823646	BOW	all_FOC	c3	0
haken.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.03172983194161854	-0.0037887407450215432	NA	NA	bound	556	all	10_10	1	weight	5000	5000	nav	4_4	251	haken	0.13130556260936607	BOW	nav_5000	c4	0
haken.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.02750777526008154	-0.016834052393164965	NA	NA	bound	556	all	10_10	1	weight	5000	5000	all	4_4	251	haken	0.1511200908662048	BOW	all_5000	c4	0
haken.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.009688990144407758	0.04017612215809669	NA	NA	bound	556	all	10_10	1	weight	FOC	258	nav	4_4	251	haken	0.12124017115626012	BOW	nav_FOC	c4	0
haken.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.013544651107676374	0.04592289324203937	NA	NA	bound	556	all	10_10	1	weight	FOC	556	all	4_4	251	haken	0.11072517825149626	BOW	all_FOC	c4	0
haken.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.08197814044250913	0.071222117390274	NA	NA	bound	556	all	10_10	1	selection	5000	5000	nav	4_4	251	haken	0.17852885592560291	BOW	nav_5000	c4	0
haken.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.2076206433011095	0.14327097301317196	NA	NA	bound	556	all	10_10	1	selection	5000	5000	all	4_4	251	haken	0.1876167202319691	BOW	all_5000	c5	0
haken.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.007547689673561794	0.08408857323174905	NA	NA	bound	556	all	10_10	1	selection	FOC	258	nav	4_4	251	haken	0.13755117422419166	BOW	nav_FOC	c4	0
