_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
herhalen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.056400978864310496	-0.10101894398707739	NA	NA	bound	406	lex	10_10	1	weight	5000	5000	nav	4_4	305	herhalen	0.22161608119707885	BOW	nav_5000	c1	0
herhalen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.17790873432340798	-0.04187714847864185	NA	NA	bound	406	lex	10_10	1	weight	5000	5000	all	4_4	305	herhalen	0.22423866581628316	BOW	all_5000	c2	0
herhalen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.01681463180210846	-0.08361567680389337	NA	NA	bound	406	lex	10_10	1	weight	FOC	260	nav	4_4	305	herhalen	0.25965987412099406	BOW	nav_FOC	c1	0
herhalen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.01170086621028328	-0.0769100173226934	NA	NA	bound	406	lex	10_10	1	weight	FOC	406	all	4_4	305	herhalen	0.2513990051264094	BOW	all_FOC	c1	0
herhalen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.011350886481538236	-0.12422640203074868	NA	NA	bound	406	lex	10_10	1	selection	5000	5000	nav	4_4	305	herhalen	0.23189700961136142	BOW	nav_5000	c3	0
herhalen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.22761667674025335	-0.10205222907924696	NA	NA	bound	406	lex	10_10	1	selection	5000	5000	all	4_4	305	herhalen	0.221879597415214	BOW	all_5000	c2	0
herhalen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.039294996250365304	-0.14420796410433295	NA	NA	bound	406	lex	10_10	1	selection	FOC	260	nav	4_4	305	herhalen	0.23797187877751602	BOW	nav_FOC	c1	0
herhalen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.03905919602332999	-0.12304854547853576	NA	NA	bound	406	lex	10_10	1	selection	FOC	406	all	4_4	305	herhalen	0.23572573982257403	BOW	all_FOC	c1	0
herhalen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.11761811566151488	-0.1866081939068095	NA	NA	bound	888	lex	10_10	1	no	5000	5000	nav	4_4	312	herhalen	0.256107423725678	BOW	nav_5000	c4	0
herhalen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.37128889061148673	-0.2833863899631148	NA	NA	bound	888	lex	10_10	1	no	5000	5000	all	4_4	312	herhalen	0.209471919075167	BOW	all_5000	c2	0
herhalen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.1384750116326685	-0.2127820617673885	NA	NA	bound	888	lex	10_10	1	no	FOC	656	nav	4_4	312	herhalen	0.2397855014080621	BOW	nav_FOC	c4	0
