pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
0.30640736	1			592	!!!/punct
-0.13176522	1			912	!!/punct
0.10115862	27	0.016343521	10.0	19257	!/name
-1.4519938	2			6683	!/noun
0.07624571	191	0.17549348	85.0	142029	!/punct
0.5654231	1			442	!?/noun
0.90736246	1			323	!?/num
1.2595973	1			222	"""/name"
0.6002296	11178	0.87101024	5871.0	4844510	"""/punct"
6.648441	1			1	$26.000/num
4.171902	1	5.084127	1.0	12	&#352;pidla/name
-0.67963445	34	-1.1017364	9.0	52896	&/name
-0.8208998	1			1846	&/noun
-0.524457	6	-0.71786565	2.0	8058	&/punct
2.7063737	2			104	&De/name
3.7388113	1			19	&Fire/name
4.3458557	1			10	&Hardy/name
1.5969834	1			158	&W/name
1.2637928	3			662	'/name
0.2413034	4399	0.19627658	1687.0	2720890	'/punct
6.648441	1			1	'11:11/num
2.7940469	2			96	'14-'18/num
1.671707	1			149	'28/name
3.5573983	1			22	'29/noun
0.6911795	1			389	'30/num
4.188852	1			12	'33/num
2.9696116	1			40	'36/noun
2.9874465	1			39	'39/noun
2.7424357	1			51	'40-'45/name
2.4740534	1			65	'40/noun
4.009383	3			42	'41/noun
4.4908814	1			9	'44-'45/num
2.6488647	2			110	'44/noun
1.7402074	1			136	'45/noun
5.3537135	1			4	'48/name
2.5709033	1			59	'49/noun
1.4159961	4	0.9441386	1.0	756	'50/num
6.648441	1			1	'53-'54/num
2.3745563	1			72	'58/noun
2.9373107	1			42	'59/name
2.8263423	1			46	'59/noun
2.484104	1			65	'60/noun
1.2230943	5	1.2223012	2.0	1143	'60/num
3.3234048	2			56	'61/noun
3.4845493	4			95	'65/noun
1.6950815	1			142	'67/noun
0.30105153	1			574	'68/noun
2.2589421	1			81	'68/num
2.0462751	1	2.9638634	1.0	100	'70/noun
1.4559702	8	1.3923004	3.0	1447	'70/num
5.9552937	1			2	'70_punt_plan/noun
1.7050142	1			141	'72/noun
2.1373065	2			184	'74/noun
2.7627616	1			49	'74/num
1.6275251	1			152	'75/noun
2.5995586	3	2.4142978	1.0	174	'76/noun
1.7032332	1			141	'77/noun
1.8697375	2			241	'78/noun
2.5515993	3	2.3643403	1.0	183	'80/name
1.0263203	6			1666	'80/num
6.648441	1			1	'81-'96/num
1.4868026	1			175	'81/noun
2.874531	1			44	'81/num
1.3281173	1			205	'83/noun
2.0675633	2	2.2870996	1.0	197	'84/noun
1.1984758	1			234	'85/noun
2.264125	3			241	'86/noun
1.2543588	1			221	'87/noun
5.039003	1			5	'88-'94/num
2.5441458	1	3.4602108	1.0	61	'88/name
0.6152346	1			419	'88/noun
1.3981326	2	1.6232857	1.0	383	'89/noun
1.5308962	2	1.754903	1.0	336	'90/noun
1.1974022	6	0.32257628	1.0	1406	'90/num
1.5322449	3			502	'91/noun
2.5457973	1	3.4581597	1.0	61	'91/num
5.039003	1	5.9595957	1.0	5	'92-'96/num
1.2122473	3			693	'92/noun
1.9104894	1			115	'92/num
0.85314316	2			662	'93/noun
1.5383121	6	0.6647843	1.0	999	'94/noun
1.6508907	1			149	'94/num
2.5253468	1	3.441899	1.0	62	'95/name
0.26362583	2			1191	'95/noun
0.7835674	4			1417	'96/noun
1.9219383	2	2.143533	1.0	228	'96/num
1.392567	9	1.2106136	3.0	1737	'97/noun
1.095675	1	2.0102768	1.0	260	'98/name
0.8700727	8	-0.2929825	1.0	2605	'98/noun
1.1891744	2	1.4078262	1.0	478	'98/num
6.648441	1			1	'99.9/num
0.4527301	5			2518	'99/noun
6.648441	1			1	'Herculesmuis'_experiment/noun
1.2254751	1			230	'a/noun
5.5498285	1			3	'binnen'/prefix
6.648441	1	7.5690336	1.0	1	'buiten'_wereld/noun
6.648441	1	7.5690336	1.0	1	'dotcom'_top/noun
1.1778522	1			241	'n'/name
2.2866168	1			79	's-Gravesande/noun
6.648441	1	7.5690336	1.0	1	's-Herenelderen-Hoepertingen/noun
0.2222104	100	-0.28926703	24.0	62265	's/adv
-0.35010543	10	-1.0518551	2.0	11206	's/det
1.9139982	1			114	't/det
-0.037388995	22	0.26420233	12.0	17963	't/name
6.033255	1	6.8758864	1.0	2	'wanted'_poster/noun
2.6594567	1			54	'être/noun
0.037963428	4	-0.43487275	1.0	3006	(/noun
-1.017918	1245	-1.140951	448.0	2759129	(/punct
6.648441	1	7.5690336	1.0	1	(ver)kleuring/noun
-1.0864024	1			2313	)/noun
-1.0529215	1191	-1.1489936	435.0	2758869	)/punct
-0.5148995	3			3950	)/tag
-0.23114651	2	-0.011283563	1.0	2003	***/num
-1.8018668	23	-2.1273344	7.0	117193	*/tag
6.648441	1			1	*@/num
6.648441	1			1	*Godshuizenlaan/noun
2.4407675	1			74	*Inlichtingen/noun
2.4437482	1			67	*oordeel/noun
-0.6235409	1			1471	+/name
-1.3572533	5	-2.0593097	1.0	15336	+/prep
4.5689993	1			8	+5%/num
0.061741844	34	-0.94432235	5.0	24958	,/name
-1.974031	1			5599	,/noun
-0.018549798	22849	0.011371421	9432.0	18092245	,/punct
1.3389362	1			204	,/tag
3.1889744	1			33	"-""Ik/name"
7.1592665	1	7.8567157	1.0	1	-'President/name
2.401375	1	3.294105	1.0	73	---/num
-0.5177942	56	-0.56946653	22.0	75440	--/punct
6.648441	1			1	--Namens/name
5.9552937	1			2	--Tenslotte/noun
-3.8289077	1	-2.9206667	1.0	36107	-/name
-0.35701916	941	-0.37091956	374.0	1059446	-/punct
3.1937027	1			32	-14-jarigen/adj
0.81949514	1	1.7367845	1.0	342	-3/num
0.037610117	2	0.25614646	1.0	1530	-De/name
5.2621465	1	6.1827393	1.0	4	-Dewael/noun
0.3513314	1			563	-Het/name
4.171902	1	5.084127	1.0	12	-II/name
2.9233499	2	3.1337624	1.0	85	-Nederland/name
2.9977825	1	3.9054718	1.0	39	-Van/name
5.2621465	1			4	-brug/noun
6.648441	1	7.5690336	1.0	1	-coordinator/noun
1.5789078	1	2.4938595	1.0	160	-de/name
0.3746208	1			534	-de/noun
2.8872406	1	3.8078334	1.0	43	-er/noun
3.2811449	1	4.2017374	1.0	29	-films/noun
6.648441	1	7.5690336	1.0	1	-gevaar/noun
6.648441	1			1	-iedereen_gelijk/noun
0.8069274	1	1.7189885	1.0	348	-in/noun
5.31344	1	6.1827393	1.0	4	-kerke/noun
5.5498285	1	6.4704213	1.0	3	-krediet/noun
6.648441	1			1	-lossers/noun
5.039003	1			5	-moeder/adj
4.0129614	1			14	-ook/name
1.6368059	1			152	-op/noun
4.8566813	1			6	-oren/noun
3.9708498	1	4.886301	1.0	15	-overigens/noun
6.648441	1			1	-plezier/noun
3.875852	1			16	-red/name
3.8789818	1			16	-straat/noun
5.2621465	1			4	-team/noun
1.0159752	1			283	-vrouw/noun
1.1188133	1			256	-vrouwen/noun
-2.0449972	1			6065	..../punct
-1.1947802	1			2586	.../name
0.31431952	179	0.36753514	76.0	103573	.../punct
6.648441	1			1	...???/num
6.648441	1			1	...te/noun
1.8427817	1			124	../name
-0.116357915	6	-0.9984012	1.0	5416	../punct
0.05445487	4			3011	./name
0.013340327	36204	0.21030936	17645.0	28225482	./punct
-0.95244503	6	-1.8721408	1.0	13088	//name
0.96146536	2	1.1623597	1.0	614	//num
-0.6985667	28	-0.9401808	9.0	45910	//punct
1.8153385	1			127	0,30/num
-1.0794687	1			2306	0,7/num
1.2968196	1			214	0,85/num
0.21886912	6	0.033203	2.0	3803	0-0/noun
-1.0322659	2			4405	0-0/num
-1.3700718	7	-2.4004817	1.0	21461	0-1/num
2.4926875	1			64	0-1_nederlaag/noun
-1.4515045	4	-1.9231155	1.0	13333	0-2/num
1.5525455	1			165	0-2_voorsprong/noun
-1.633998	2			8010	0-3/num
-0.6313952	2	-0.4113323	1.0	2942	0-4/num
3.9403906	1	4.8609834	1.0	15	0-4_cijfer/noun
-0.5998855	1	0.31432533	1.0	1424	0-6/num
0.57631826	1			437	0-7/num
0.44580403	1			498	0-8/num
5.1443634	1	6.064956	1.0	5	0.00-1.45u./noun
4.7025304	1	5.623123	1.0	7	0/5/num
-2.7545118	4			49075	0/num
5.2253323	1			5	00-33140793000/num
5.2621465	1			4	00-39055287117/name
1.6828028	1			145	0032/name
4.724192	1			7	02-420.56.56/num
-0.2498196	1			1028	02/num
1.1642665	1	2.0785472	1.0	243	03/name
-0.4319855	2			2436	04/name
6.648441	1			1	0478-50.37.40/num
6.648441	1			1	0486/73/num
5.601122	1			3	050-36.17.92/num
3.2863307	1			33	056-43.34.95/num
1.7146865	1			140	06_nummer/noun
5.039003	1	5.8418126	1.0	6	070-22.50.02/num
3.3020515	1			29	070-3381133/name
6.648441	1			1	078/15.15.88/num
-1.7043848	1			4322	1,1/num
1.045953	1			275	1,17/num
-1.5520465	2			7412	1,2/num
-1.9947329	1			5767	1,3/num
-0.7313889	3	-0.92125094	1.0	4888	1,4/num
-1.9280208	2	-1.7125689	1.0	10787	1,5/num
1.9232677	1			115	1,52/num
1.4477363	1	2.35274	1.0	185	1,68/num
-0.40458304	1			1175	1,75/num
-1.1322384	2	-0.91638523	1.0	4868	1,8/num
1.5334455	1	2.4413562	1.0	169	1,93/num
0.9794223	1	1.8948514	1.0	292	1,95/num
2.0103195	2	2.2290945	1.0	210	1,98/num
-1.6206452	8	-1.176048	5.0	31566	1-0/num
-1.3147453	4	-1.0942171	2.0	11709	1-1/noun
-2.0084405	2	-1.7879581	1.0	11643	1-1/num
0.90864784	1			315	1-1_gelijkspel/noun
5.069462	1			5	1-2-uitzege/noun
-0.28172812	6			6250	1-2/noun
-1.3078345	2	-0.39470926	2.0	5792	1-2/num
-0.2402209	4	-0.7141764	1.0	3992	1-3/noun
2.7244892	1			51	1-3_nederlaag/noun
2.668759	1			54	1-3_zege/noun
-0.5430262	1			1340	1-4/num
-0.009698666	1	0.9047839	1.0	788	1-5/noun
