_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
herstellen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.11026534561086747	0.09456898821449931	NA	NA	bound	362	lex	10_10	1	weight	5000	5000	nav	4_4	234	herstellen	0.1655071519091522	BOW	nav_5000	c1	0
herstellen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1806359820601042	-0.10521361550457935	NA	NA	bound	362	lex	10_10	1	weight	5000	5000	all	4_4	234	herstellen	0.16757348487987542	BOW	all_5000	c2	0
herstellen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.09608098167496905	0.07789521706344982	NA	NA	bound	362	lex	10_10	1	weight	FOC	248	nav	4_4	234	herstellen	0.1595630555936802	BOW	nav_FOC	c1	0
herstellen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.09963679903494697	0.06361876702723934	NA	NA	bound	362	lex	10_10	1	weight	FOC	362	all	4_4	234	herstellen	0.15628681177449924	BOW	all_FOC	c1	0
herstellen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.1765887543321707	0.04534411487038452	NA	NA	bound	362	lex	10_10	1	selection	5000	5000	nav	4_4	234	herstellen	0.2205734921512387	BOW	nav_5000	c1	0
herstellen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.18067237610760944	-0.13165396021797107	NA	NA	bound	362	lex	10_10	1	selection	5000	5000	all	4_4	234	herstellen	0.1796521367672184	BOW	all_5000	c2	0
herstellen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.10958067726989403	0.032831329511052824	NA	NA	bound	362	lex	10_10	1	selection	FOC	248	nav	4_4	234	herstellen	0.1736887750407957	BOW	nav_FOC	c1	0
herstellen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.11725678804943221	0.02606450176980876	NA	NA	bound	362	lex	10_10	1	selection	FOC	362	all	4_4	234	herstellen	0.16942368738827582	BOW	all_FOC	c1	0
herstellen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.17726875392688926	-0.0028747047413345064	NA	NA	bound	750	lex	10_10	1	no	5000	5000	nav	4_4	238	herstellen	0.2199469770924703	BOW	nav_5000	c3	0
herstellen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.2790014150285534	-0.2113504402150561	NA	NA	bound	750	lex	10_10	1	no	5000	5000	all	4_4	238	herstellen	0.1660385460332305	BOW	all_5000	c2	0
