_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
herstructureren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.15053612547394296	-0.078963657289459	NA	NA	bound	405	lex	10_10	1	weight	5000	5000	nav	4_4	233	herstructureren	0.1944431027049881	BOW	nav_5000	c1	0
herstructureren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.2756758169172558	-0.008777339389054353	NA	NA	bound	405	lex	10_10	1	weight	5000	5000	all	4_4	233	herstructureren	0.1755616805313512	BOW	all_5000	c2	0
herstructureren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1556107994668452	-0.09542182307407662	NA	NA	bound	405	lex	10_10	1	weight	FOC	303	nav	4_4	233	herstructureren	0.19400032382156376	BOW	nav_FOC	c1	0
herstructureren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1536781140250737	-0.09296616679964823	NA	NA	bound	405	lex	10_10	1	weight	FOC	405	all	4_4	233	herstructureren	0.18548888477754624	BOW	all_FOC	c1	0
herstructureren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.10833533086919815	-0.08724559872163276	NA	NA	bound	405	lex	10_10	1	selection	5000	5000	nav	4_4	233	herstructureren	0.2235668698308278	BOW	nav_5000	c1	0
herstructureren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.3112793993443454	0.007236740384663995	NA	NA	bound	405	lex	10_10	1	selection	5000	5000	all	4_4	233	herstructureren	0.17571968447120836	BOW	all_5000	c2	0
herstructureren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.11793368646345473	-0.09760211252685622	NA	NA	bound	405	lex	10_10	1	selection	FOC	303	nav	4_4	233	herstructureren	0.19279826343915218	BOW	nav_FOC	c3	0
herstructureren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.12180659226094309	-0.10026785492758318	NA	NA	bound	405	lex	10_10	1	selection	FOC	405	all	4_4	233	herstructureren	0.18867966463532201	BOW	all_FOC	c3	0
herstructureren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.14366490653444938	-0.1494997991457658	NA	NA	bound	722	lex	10_10	1	no	5000	5000	nav	4_4	236	herstructureren	0.21672750983721853	BOW	nav_5000	c3	0
herstructureren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.4028722471644845	-0.012097877434217925	NA	NA	bound	722	lex	10_10	1	no	5000	5000	all	4_4	236	herstructureren	0.16675920704209093	BOW	all_5000	c2	0
