pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
-0.7829767	3	-0.9735355	1.0	142029	!/punct
-0.726292	110	-1.0474118	32.0	4844510	"""/punct"
6.3029823	1	7.2023044	1.0	41	&/adj
-0.2180698	2			52896	&/name
0.9785713	1	1.8826095	1.0	8058	&/punct
9.943196	1			1	&Degelo/name
6.9935083	1	7.8858514	1.0	20	&the/name
3.4599364	1			662	'/name
0.08851849	140	0.102243066	57.0	2720890	'/punct
3.5958073	1			574	'68/noun
-1.0881773	1	-0.17369856	1.0	62265	's/adv
0.6420652	1	1.54862	1.0	11206	's/det
3.7933402	1			475	's/name
-0.6305373	68	-1.0617502	18.0	2759129	(/punct
-0.5922501	70	-0.98627836	19.0	2758869	)/punct
2.3704622	1			2003	***/num
-0.9494553	2			117193	*/tag
9.943196	1	10.862656	1.0	1	*Mythos/noun
-0.16985886	1			24958	,/name
0.504978	1430	0.84645396	807.0	18092245	,/punct
-0.55525327	2	-0.3668867	1.0	75440	--/punct
0.15124048	58	0.4949545	33.0	1059446	-/punct
4.8901405	1	5.8096	1.0	157	-Wat/noun
9.943196	1			1	-grotendeels/noun
4.566299	1			218	-is/noun
9.943196	1			1	-letten/noun
5.2135987	1			114	-zoals/noun
-0.47975922	3	-0.66957587	1.0	103573	.../punct
1.9629505	1	2.8733072	1.0	3011	./name
-0.029711679	1286	-0.10257549	479.0	28225482	./punct
1.0557752	6	0.15621696	1.0	45910	//punct
-0.021233264	1			21461	0-1/num
9.943196	1			1	00-491805001824/num
5.1375375	1	6.045403	1.0	124	1,62/num
4.029018	1			373	1.3/num
4.9664626	1			146	1.80/num
-1.7167687	1			118827	1/num
-0.71701026	1			43355	100/num
2.2515168	1			2228	104/num
3.020651	1			1030	11.00/noun
4.469456	1			245	13,50/num
7.052825	1			18	14-12/name
-0.1596725	1			24865	14/noun
-0.82185525	1			48120	14/num
2.7682807	1	3.675471	1.0	1330	142/num
6.245605	1			42	15-12/name
-0.36132133	1			30549	15/noun
-0.64364165	1			40303	16/num
-0.5873438	1	0.32178813	1.0	38139	17/num
4.5788574	1			217	1853/noun
