_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	pam_cluster	is_medoid
blik.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1898983652066337	-0.004993811880279193	1	nav_5000	5000	265	blik	NA	NA	BOW	bound	528	lex	10_10	weight	4_4	0.27175779195858246	c1	0
blik.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.19036062034079285	-0.23102707855826993	1	all_5000	5000	265	blik	NA	NA	BOW	bound	528	lex	10_10	weight	4_4	0.3005551361179435	c2	0
blik.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.18034667536959775	-3.8646155765112634e-4	1	nav_FOC	368	265	blik	NA	NA	BOW	bound	528	lex	10_10	weight	4_4	0.28719116359886504	c1	0
blik.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.17393262938096601	-0.0024760704320479984	1	all_FOC	528	265	blik	NA	NA	BOW	bound	528	lex	10_10	weight	4_4	0.28762633929831594	c1	0
blik.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.18841721237458145	0.0759975596935296	1	nav_5000	5000	265	blik	NA	NA	BOW	bound	528	lex	10_10	selection	4_4	0.25991358403950426	c1	0
blik.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.19367865803102247	-0.25223921335733573	1	all_5000	5000	265	blik	NA	NA	BOW	bound	528	lex	10_10	selection	4_4	0.28224671585228234	c2	0
blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.20094086661060373	0.0761888249895438	1	nav_FOC	368	265	blik	NA	NA	BOW	bound	528	lex	10_10	selection	4_4	0.27511220926988844	c1	0
blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.18877599680052826	0.0661691497100174	1	all_FOC	528	265	blik	NA	NA	BOW	bound	528	lex	10_10	selection	4_4	0.27524146586480697	c1	0
blik.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.25768919743663726	0.19541761459889392	1	nav_5000	5000	275	blik	NA	NA	BOW	bound	977	lex	10_10	no	4_4	0.25367827376003743	c3	0
blik.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.4790469220145208	-0.03103107935608114	1	all_5000	5000	275	blik	NA	NA	BOW	bound	977	lex	10_10	no	4_4	0.27072604881710366	c2	0
blik.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.25851402702752285	0.17822181597951556	1	nav_FOC	706	275	blik	NA	NA	BOW	bound	977	lex	10_10	no	4_4	0.26119368448668684	c3	0
blik.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.2460056366539023	0.1723580442326742	1	all_FOC	977	275	blik	NA	NA	BOW	bound	977	lex	10_10	no	4_4	0.26063815593644013	c3	0
