	c.nvj.5_5.ppmi_count	c.nvj.5_5.ppmi_cws	c.nvj.5_5.ppmi_weights	c.nvj.10_10.ppmi_count	c.nvj.10_10.ppmi_cws	c.nvj.10_10.ppmi_weights	c.nvj.5_5.noweight_count	c.nvj.5_5.noweight_cws	c.nvj.10_10.noweight_count	c.nvj.10_10.noweight_cws	c.nvjid.5_5.ppmi_count	c.nvjid.5_5.ppmi_cws	c.nvjid.5_5.ppmi_weights	c.nvjid.10_10.ppmi_count	c.nvjid.10_10.ppmi_cws	c.nvjid.10_10.ppmi_weights	c.nvjid.5_5.noweight_count	c.nvjid.5_5.noweight_cws	c.nvjid.10_10.noweight_count	c.nvjid.10_10.noweight_cws	c.none.5_5.ppmi_count	c.none.5_5.ppmi_cws	c.none.5_5.ppmi_weights	c.none.10_10.ppmi_count	c.none.10_10.ppmi_cws	c.none.10_10.ppmi_weights	c.none.5_5.noweight_count	c.none.5_5.noweight_cws	c.none.10_10.noweight_count	c.none.10_10.noweight_cws	s.nvj.5_5.ppmi_count	s.nvj.5_5.ppmi_cws	s.nvj.5_5.ppmi_weights	s.nvj.10_10.ppmi_count	s.nvj.10_10.ppmi_cws	s.nvj.10_10.ppmi_weights	s.nvj.5_5.noweight_count	s.nvj.5_5.noweight_cws	s.nvj.10_10.noweight_count	s.nvj.10_10.noweight_cws	s.nvjid.5_5.ppmi_count	s.nvjid.5_5.ppmi_cws	s.nvjid.5_5.ppmi_weights	s.nvjid.10_10.ppmi_count	s.nvjid.10_10.ppmi_cws	s.nvjid.10_10.ppmi_weights	s.nvjid.5_5.noweight_count	s.nvjid.5_5.noweight_cws	s.nvjid.10_10.noweight_count	s.nvjid.10_10.noweight_cws	s.none.5_5.ppmi_count	s.none.5_5.ppmi_cws	s.none.5_5.ppmi_weights	s.none.10_10.ppmi_count	s.none.10_10.ppmi_cws	s.none.10_10.ppmi_weights	s.none.5_5.noweight_count	s.none.5_5.noweight_cws	s.none.10_10.noweight_count	s.none.10_10.noweight_cws
church/N/br-a01/2073	4	america/N;interview/N;leader/N;several/N	1.0314004;0.78271466;1.3397875;0.4400632	6	america/N;east/N;interview/N;latin/J;leader/N;several/N	1.0314004;0.56126285;0.78271466;0.9051954;1.3397875;0.4400632	3	be/V;do/V;smell/V	5	be/V;do/V;drop/N;liquor/N;smell/V	1	at/I	0.50020224	4	a/D;at/I;of/I;the/D	0.10114131;0.50020224;0.48038787;0.6102459	4	at/I;be/V;do/V;smell/V	9	a/D;at/I;be/V;do/V;drop/N;liquor/N;of/I;smell/V;the/D	2	at/I;like/R	0.50020224;1.529281	5	a/D;at/I;like/R;of/I;the/D	0.10114131;0.50020224;1.529281;0.48038787;0.6102459	8	at/I;be/V;do/V;i/P;just/R;like/R;n't/R;smell/V	13	a/D;at/I;be/V;do/V;drop/N;i/P;just/R;like/R;liquor/N;n't/R;of/I;smell/V;the/D	1	smell/V	2.0626807	1	smell/V	2.0626807	3	be/V;do/V;smell/V	6	be/V;do/V;drop/N;liquor/N;polls/N;smell/V	2	at/I;smell/V	0.30576992;2.0626807	4	at/I;of/I;smell/V;the/D	0.30576992;0.49506077;2.0626807;0.5460644	4	at/I;be/V;do/V;smell/V	10	a/D;at/I;be/V;do/V;drop/N;liquor/N;of/I;polls/N;smell/V;the/D	3	at/I;like/R;smell/V	0.30576992;1.1331449;2.0626807	5	at/I;like/R;of/I;smell/V;the/D	0.30576992;1.1331449;0.49506077;2.0626807;0.5460644	8	at/I;be/V;do/V;i/P;just/R;like/R;n't/R;smell/V	14	a/D;at/I;be/V;do/V;drop/N;i/P;just/R;like/R;liquor/N;n't/R;of/I;polls/N;smell/V;the/D
church/N/br-a07/1325	2	method/N;state/N	0.12036002;0.8320908	3	method/N;peace/N;state/N	0.12036002;0.31920603;0.8320908	5	able/J;confusion/N;method/N;prevent/V;state/N	10	able/J;be/V;confusion/N;corps/N;goal/N;mean/N;method/N;peace/N;prevent/V;state/N	4	for/I;method/N;over/I;state/N	0.08600023;0.12036002;0.061223958;0.8320908	6	for/I;method/N;over/I;peace/N;state/N;the/D	0.08600023;0.12036002;0.061223958;0.31920603;0.8320908;0.6102459	7	able/J;confusion/N;for/I;method/N;over/I;prevent/V;state/N	13	able/J;be/V;confusion/N;corps/N;for/I;goal/N;mean/N;method/N;over/I;peace/N;prevent/V;state/N;the/D	5	and/C;for/I;method/N;over/I;state/N	0.28445822;0.08600023;0.12036002;0.061223958;0.8320908	7	and/C;for/I;method/N;over/I;peace/N;state/N;the/D	0.28445822;0.08600023;0.12036002;0.061223958;0.31920603;0.8320908;0.6102459	9	able/J;and/C;confusion/N;for/I;method/N;over/I;prevent/V;state/N;to/T	17	able/J;and/C;be/V;confusion/N;corps/N;for/I;goal/N;mean/N;method/N;over/I;peace/N;prevent/V;state/N;the/D;there/E;to/T;will/M	4	able/J;confusion/N;method/N;prevent/V	0.40128317;1.9375176;1.0781085;0.8687583	5	able/J;confusion/N;goal/N;method/N;prevent/V	0.40128317;1.9375176;1.3049951;1.0781085;0.8687583	5	able/J;confusion/N;method/N;prevent/V;state/N	10	able/J;be/V;confusion/N;corps/N;goal/N;mean/N;method/N;peace/N;prevent/V;state/N	4	able/J;confusion/N;method/N;prevent/V	0.40128317;1.9375176;1.0781085;0.8687583	6	able/J;confusion/N;goal/N;method/N;prevent/V;the/D	0.40128317;1.9375176;1.3049951;1.0781085;0.8687583;0.5460644	7	able/J;confusion/N;for/I;method/N;over/I;prevent/V;state/N	13	able/J;be/V;confusion/N;corps/N;for/I;goal/N;mean/N;method/N;over/I;peace/N;prevent/V;state/N;the/D	6	able/J;and/C;confusion/N;method/N;prevent/V;to/T	0.40128317;0.19365685;1.9375176;1.0781085;0.8687583;0.026933488	9	able/J;and/C;confusion/N;goal/N;method/N;prevent/V;the/D;to/T;will/M	0.40128317;0.19365685;1.9375176;1.3049951;1.0781085;0.8687583;0.5460644;0.026933488;0.13497774	9	able/J;and/C;confusion/N;for/I;method/N;over/I;prevent/V;state/N;to/T	17	able/J;and/C;be/V;confusion/N;corps/N;for/I;goal/N;mean/N;method/N;over/I;peace/N;prevent/V;state/N;the/D;there/E;to/T;will/M
church/N/br-a07/1487	3	constitutional/J;separation/N;state/N	0.48982012;3.9932544;0.8320908	4	constitutional/J;preserve/V;separation/N;state/N	0.48982012;0.6588463;3.9932544;0.8320908	6	constitutional/J;r.-he/N;requirement/N;sargent/N;separation/N;state/N	10	constitutional/J;director/N;preserve/V;project/N;r.-he/N;requirement/N;sargent/N;separation/N;shriver/N;state/N	5	constitutional/J;of/I;on/I;separation/N;state/N	0.48982012;0.48038787;0.0030882794;3.9932544;0.8320908	7	constitutional/J;of/I;on/I;preserve/V;separation/N;state/N;the/D	0.48982012;0.48038787;0.0030882794;0.6588463;3.9932544;0.8320908;0.6102459	8	constitutional/J;of/I;on/I;r.-he/N;requirement/N;sargent/N;separation/N;state/N	13	constitutional/J;director/N;of/I;on/I;preserve/V;project/N;r.-he/N;requirement/N;sargent/N;separation/N;shriver/N;state/N;the/D	6	and/C;constitutional/J;of/I;on/I;separation/N;state/N	0.28445822;0.48982012;0.48038787;0.0030882794;3.9932544;0.8320908	8	and/C;constitutional/J;of/I;on/I;preserve/V;separation/N;state/N;the/D	0.28445822;0.48982012;0.48038787;0.0030882794;0.6588463;3.9932544;0.8320908;0.6102459	9	and/C;constitutional/J;of/I;on/I;r.-he/N;requirement/N;sargent/N;separation/N;state/N	15	and/C;constitutional/J;director/N;of/I;on/I;preserve/V;project/N;r.-he/N;requirement/N;sargent/N;separation/N;shriver/N;state/N;still/R;the/D	5	constitutional/J;r.-he/N;requirement/N;sargent/N;separation/N	2.5194392;1.5578732;1.2153829;4.365266;3.2666535	5	constitutional/J;r.-he/N;requirement/N;sargent/N;separation/N	2.5194392;1.5578732;1.2153829;4.365266;3.2666535	6	constitutional/J;r.-he/N;requirement/N;sargent/N;separation/N;state/N	11	constitutional/J;director/N;jr./N;preserve/V;project/N;r.-he/N;requirement/N;sargent/N;separation/N;shriver/N;state/N	6	constitutional/J;of/I;r.-he/N;requirement/N;sargent/N;separation/N	2.5194392;0.49506077;1.5578732;1.2153829;4.365266;3.2666535	7	constitutional/J;of/I;r.-he/N;requirement/N;sargent/N;separation/N;the/D	2.5194392;0.49506077;1.5578732;1.2153829;4.365266;3.2666535;0.5460644	8	constitutional/J;of/I;on/I;r.-he/N;requirement/N;sargent/N;separation/N;state/N	14	constitutional/J;director/N;jr./N;of/I;on/I;preserve/V;project/N;r.-he/N;requirement/N;sargent/N;separation/N;shriver/N;state/N;the/D	7	and/C;constitutional/J;of/I;r.-he/N;requirement/N;sargent/N;separation/N	0.19365685;2.5194392;0.49506077;1.5578732;1.2153829;4.365266;3.2666535	8	and/C;constitutional/J;of/I;r.-he/N;requirement/N;sargent/N;separation/N;the/D	0.19365685;2.5194392;0.49506077;1.5578732;1.2153829;4.365266;3.2666535;0.5460644	9	and/C;constitutional/J;of/I;on/I;r.-he/N;requirement/N;sargent/N;separation/N;state/N	16	and/C;constitutional/J;director/N;jr./N;of/I;on/I;preserve/V;project/N;r.-he/N;requirement/N;sargent/N;separation/N;shriver/N;state/N;still/R;the/D
church/N/br-a09/1417	5	center/N;park/N;school/N;shopping/N;small/J	0.4037772;0.68823504;1.5203352;2.555215;0.40618464	9	center/N;cluster/N;garden/N;park/N;school/N;several/N;shopping/N;small/J;store/N	0.4037772;0.5708154;0.7346656;0.68823504;1.5203352;0.4400632;2.555215;0.40618464;0.6069318	5	center/N;park/N;school/N;shopping/N;small/J	10	apartment/N;center/N;cluster/N;garden/N;park/N;school/N;several/N;shopping/N;small/J;store/N	6	a/D;center/N;park/N;school/N;shopping/N;small/J	0.10114131;0.4037772;0.68823504;1.5203352;2.555215;0.40618464	11	a/D;center/N;cluster/N;garden/N;of/I;park/N;school/N;several/N;shopping/N;small/J;store/N	0.10114131;0.4037772;0.5708154;0.7346656;0.48038787;0.68823504;1.5203352;0.4400632;2.555215;0.40618464;0.6069318	6	a/D;center/N;park/N;school/N;shopping/N;small/J	12	a/D;apartment/N;center/N;cluster/N;garden/N;of/I;park/N;school/N;several/N;shopping/N;small/J;store/N	7	a/D;and/C;center/N;park/N;school/N;shopping/N;small/J	0.10114131;0.28445822;0.4037772;0.68823504;1.5203352;2.555215;0.40618464	12	a/D;and/C;center/N;cluster/N;garden/N;of/I;park/N;school/N;several/N;shopping/N;small/J;store/N	0.10114131;0.28445822;0.4037772;0.5708154;0.7346656;0.48038787;0.68823504;1.5203352;0.4400632;2.555215;0.40618464;0.6069318	7	a/D;and/C;center/N;park/N;school/N;shopping/N;small/J	14	a/D;and/C;apartment/N;center/N;cluster/N;four/C;garden/N;of/I;park/N;school/N;several/N;shopping/N;small/J;store/N	5	center/N;park/N;school/N;shopping/N;small/J	1.1825931;1.7038416;0.65108424;2.5194392;0.16556083	7	center/N;park/N;school/N;several/N;shopping/N;small/J;store/N	1.1825931;1.7038416;0.65108424;0.592505;2.5194392;0.16556083;1.2591856	5	center/N;park/N;school/N;shopping/N;small/J	10	apartment/N;center/N;cluster/N;garden/N;park/N;school/N;several/N;shopping/N;small/J;store/N	5	center/N;park/N;school/N;shopping/N;small/J	1.1825931;1.7038416;0.65108424;2.5194392;0.16556083	8	center/N;of/I;park/N;school/N;several/N;shopping/N;small/J;store/N	1.1825931;0.49506077;1.7038416;0.65108424;0.592505;2.5194392;0.16556083;1.2591856	6	a/D;center/N;park/N;school/N;shopping/N;small/J	12	a/D;apartment/N;center/N;cluster/N;garden/N;of/I;park/N;school/N;several/N;shopping/N;small/J;store/N	6	and/C;center/N;park/N;school/N;shopping/N;small/J	0.19365685;1.1825931;1.7038416;0.65108424;2.5194392;0.16556083	9	and/C;center/N;of/I;park/N;school/N;several/N;shopping/N;small/J;store/N	0.19365685;1.1825931;0.49506077;1.7038416;0.65108424;0.592505;2.5194392;0.16556083;1.2591856	7	a/D;and/C;center/N;park/N;school/N;shopping/N;small/J	14	a/D;and/C;apartment/N;center/N;cluster/N;four/C;garden/N;of/I;park/N;school/N;several/N;shopping/N;small/J;store/N
church/N/br-a10/1674	1	fill/V	0.5827447	3	address/N;fill/V;program/N	0.29649657;0.5827447;0.23372631	4	fill/V;next/J;schedule/V;year/N	9	address/N;breakthrough/N;fill/V;forthcoming/J;next/J;opening/N;program/N;schedule/V;year/N	3	fill/V;for/I;the/D	0.5827447;0.08600023;0.6102459	6	address/N;fill/V;for/I;in/I;program/N;the/D	0.29649657;0.5827447;0.08600023;0.5505831;0.23372631;0.6102459	6	fill/V;for/I;next/J;schedule/V;the/D;year/N	12	address/N;breakthrough/N;fill/V;for/I;forthcoming/J;in/I;next/J;opening/N;program/N;schedule/V;the/D;year/N	3	fill/V;for/I;the/D	0.5827447;0.08600023;0.6102459	6	address/N;fill/V;for/I;in/I;program/N;the/D	0.29649657;0.5827447;0.08600023;0.5505831;0.23372631;0.6102459	8	fill/V;for/I;next/J;schedule/V;the/D;to/T;two/C;year/N	15	address/N;breakthrough/N;fill/V;for/I;forthcoming/J;his/P;in/I;next/J;opening/N;program/N;schedule/V;the/D;to/T;two/C;year/N	3	fill/V;next/J;schedule/V	0.81277907;1.3419995;2.8611884	4	fill/V;next/J;program/N;schedule/V	0.81277907;1.3419995;0.8130179;2.8611884	4	fill/V;next/J;schedule/V;year/N	9	address/N;breakthrough/N;fill/V;forthcoming/J;next/J;opening/N;program/N;schedule/V;year/N	4	fill/V;next/J;schedule/V;the/D	0.81277907;1.3419995;2.8611884;0.5460644	6	fill/V;in/I;next/J;program/N;schedule/V;the/D	0.81277907;0.13973331;1.3419995;0.8130179;2.8611884;0.5460644	6	fill/V;for/I;next/J;schedule/V;the/D;year/N	12	address/N;breakthrough/N;fill/V;for/I;forthcoming/J;in/I;next/J;opening/N;program/N;schedule/V;the/D;year/N	5	fill/V;next/J;schedule/V;the/D;to/T	0.81277907;1.3419995;2.8611884;0.5460644;0.026933488	7	fill/V;in/I;next/J;program/N;schedule/V;the/D;to/T	0.81277907;0.13973331;1.3419995;0.8130179;2.8611884;0.5460644;0.026933488	8	fill/V;for/I;next/J;schedule/V;the/D;to/T;two/C;year/N	15	address/N;breakthrough/N;fill/V;for/I;forthcoming/J;his/P;in/I;next/J;opening/N;program/N;schedule/V;the/D;to/T;two/C;year/N
church/N/br-a10/1754	3	contact/N;mean/V;vital/J	0.08962824;0.05708171;0.31585312	3	contact/N;mean/V;vital/J	0.08962824;0.05708171;0.31585312	4	contact/N;have/V;mean/V;vital/J	6	american/N;contact/N;have/V;mean/V;million/N;vital/J	4	contact/N;mean/V;the/D;vital/J	0.08962824;0.05708171;0.6102459;0.31585312	5	contact/N;mean/V;of/I;the/D;vital/J	0.08962824;0.05708171;0.48038787;0.6102459;0.31585312	8	contact/N;have/V;mean/V;that/I;the/D;this/D;vital/J;with/I	14	american/N;contact/N;have/V;mean/V;million/N;no/D;of/I;out/I;than/I;that/I;the/D;this/D;vital/J;with/I	4	contact/N;mean/V;the/D;vital/J	0.08962824;0.05708171;0.6102459;0.31585312	6	100/C;contact/N;mean/V;of/I;the/D;vital/J	0.10127281;0.08962824;0.05708171;0.48038787;0.6102459;0.31585312	9	contact/N;have/V;mean/V;more/R;that/I;the/D;this/D;vital/J;with/I	18	100/C;american/N;contact/N;have/V;mean/V;million/N;more/R;no/D;of/I;one/P;out/I;than/I;that/I;the/D;this/D;three/C;vital/J;with/I	4	contact/N;have/V;mean/V;vital/J	1.3049951;0.046398625;1.2576941;2.4807248	5	contact/N;have/V;mean/V;million/N;vital/J	1.3049951;0.046398625;1.2576941;0.80991787;2.4807248	4	contact/N;have/V;mean/V;vital/J	6	american/N;contact/N;have/V;mean/V;million/N;vital/J	8	contact/N;have/V;mean/V;that/I;the/D;this/D;vital/J;with/I	1.3049951;0.046398625;1.2576941;0.14680238;0.5460644;0.19430329;2.4807248;0.013190952	11	contact/N;have/V;mean/V;million/N;no/D;of/I;that/I;the/D;this/D;vital/J;with/I	1.3049951;0.046398625;1.2576941;0.80991787;1.0159018;0.49506077;0.14680238;0.5460644;0.19430329;2.4807248;0.013190952	8	contact/N;have/V;mean/V;that/I;the/D;this/D;vital/J;with/I	14	american/N;contact/N;have/V;mean/V;million/N;no/D;of/I;out/I;than/I;that/I;the/D;this/D;vital/J;with/I	8	contact/N;have/V;mean/V;that/I;the/D;this/D;vital/J;with/I	1.3049951;0.046398625;1.2576941;0.14680238;0.5460644;0.19430329;2.4807248;0.013190952	11	contact/N;have/V;mean/V;million/N;no/D;of/I;that/I;the/D;this/D;vital/J;with/I	1.3049951;0.046398625;1.2576941;0.80991787;1.0159018;0.49506077;0.14680238;0.5460644;0.19430329;2.4807248;0.013190952	9	contact/N;have/V;mean/V;more/R;that/I;the/D;this/D;vital/J;with/I	18	100/C;american/N;contact/N;have/V;mean/V;million/N;more/R;no/D;of/I;one/P;out/I;than/I;that/I;the/D;this/D;three/C;vital/J;with/I
church/N/br-a10/1769	2	religious/J;vital/J	2.1805098;0.31585312	2	religious/J;vital/J	2.1805098;0.31585312	4	life/N;religious/J;touch/N;vital/J	9	delegate/N;friday/N;have/V;life/N;million/N;religious/J;tell/V;touch/N;vital/J	3	religious/J;the/D;vital/J	2.1805098;0.6102459;0.31585312	3	religious/J;the/D;vital/J	2.1805098;0.6102459;0.31585312	7	life/N;no/D;religious/J;the/D;touch/N;vital/J;with/I	13	delegate/N;friday/N;have/V;life/N;million/N;no/D;religious/J;tell/V;than/I;the/D;touch/N;vital/J;with/I	4	or/C;religious/J;the/D;vital/J	0.16577883;2.1805098;0.6102459;0.31585312	5	100/C;or/C;religious/J;the/D;vital/J	0.10127281;0.16577883;2.1805098;0.6102459;0.31585312	8	life/N;no/D;or/C;religious/J;the/D;touch/N;vital/J;with/I	17	100/C;delegate/N;friday/N;have/V;he/P;life/N;million/N;more/R;no/D;or/C;religious/J;tell/V;than/I;the/D;touch/N;vital/J;with/I	4	life/N;religious/J;touch/N;vital/J	0.8252732;1.9765031;1.6137305;2.4807248	6	have/V;life/N;million/N;religious/J;touch/N;vital/J	0.046398625;0.8252732;0.80991787;1.9765031;1.6137305;2.4807248	4	life/N;religious/J;touch/N;vital/J	9	delegate/N;friday/N;have/V;life/N;million/N;religious/J;tell/V;touch/N;vital/J	7	life/N;no/D;religious/J;the/D;touch/N;vital/J;with/I	0.8252732;1.0159018;1.9765031;0.5460644;1.6137305;2.4807248;0.013190952	9	have/V;life/N;million/N;no/D;religious/J;the/D;touch/N;vital/J;with/I	0.046398625;0.8252732;0.80991787;1.0159018;1.9765031;0.5460644;1.6137305;2.4807248;0.013190952	7	life/N;no/D;religious/J;the/D;touch/N;vital/J;with/I	13	delegate/N;friday/N;have/V;life/N;million/N;no/D;religious/J;tell/V;than/I;the/D;touch/N;vital/J;with/I	7	life/N;no/D;religious/J;the/D;touch/N;vital/J;with/I	0.8252732;1.0159018;1.9765031;0.5460644;1.6137305;2.4807248;0.013190952	9	have/V;life/N;million/N;no/D;religious/J;the/D;touch/N;vital/J;with/I	0.046398625;0.8252732;0.80991787;1.0159018;1.9765031;0.5460644;1.6137305;2.4807248;0.013190952	8	life/N;no/D;or/C;religious/J;the/D;touch/N;vital/J;with/I	17	100/C;delegate/N;friday/N;have/V;he/P;life/N;million/N;more/R;no/D;or/C;religious/J;tell/V;than/I;the/D;touch/N;vital/J;with/I
church/N/br-a10/1831	4	america/N;interview/N;leader/N;several/N	1.0314004;0.78271466;1.3397875;0.4400632	6	america/N;east/N;interview/N;latin/J;leader/N;several/N	1.0314004;0.56126285;0.78271466;0.9051954;1.3397875;0.4400632	4	have/V;mr.-/N;open/V;year/N	7	add/V;brandt/N;have/V;mr.-/N;open/V;say/V;year/N	1	the/D	0.6102459	2	in/I;the/D	0.5505831;0.6102459	5	have/V;mr.-/N;open/V;the/D;year/N	10	add/V;brandt/N;have/V;in/I;mr.-/N;open/V;say/V;that/I;the/D;year/N	1	the/D	0.6102459	3	35/C;in/I;the/D	0.030173264;0.5505831;0.6102459	7	7000/C;have/V;mr.-/N;open/V;the/D;we/P;year/N	13	35/C;7000/C;add/V;brandt/N;have/V;in/I;mr.-/N;open/V;say/V;that/I;the/D;we/P;year/N	4	have/V;mr.-/N;open/V;rev./N	0.046398625;0.111072645;1.057159;3.161293	4	have/V;mr.-/N;open/V;rev./N	0.046398625;0.111072645;1.057159;3.161293	5	have/V;mr.-/N;open/V;rev./N;year/N	8	add/V;brandt/N;have/V;mr.-/N;open/V;rev./N;say/V;year/N	5	have/V;mr.-/N;open/V;rev./N;the/D	0.046398625;0.111072645;1.057159;3.161293;0.5460644	7	have/V;in/I;mr.-/N;open/V;rev./N;that/I;the/D	0.046398625;0.13973331;0.111072645;1.057159;3.161293;0.14680238;0.5460644	6	have/V;mr.-/N;open/V;rev./N;the/D;year/N	11	add/V;brandt/N;have/V;in/I;mr.-/N;open/V;rev./N;say/V;that/I;the/D;year/N	6	7000/C;have/V;mr.-/N;open/V;rev./N;the/D	5.463878;0.046398625;0.111072645;1.057159;3.161293;0.5460644	8	7000/C;have/V;in/I;mr.-/N;open/V;rev./N;that/I;the/D	5.463878;0.046398625;0.13973331;0.111072645;1.057159;3.161293;0.14680238;0.5460644	8	7000/C;have/V;mr.-/N;open/V;rev./N;the/D;we/P;year/N	14	35/C;7000/C;add/V;brandt/N;have/V;in/I;mr.-/N;open/V;rev./N;say/V;that/I;the/D;we/P;year/N
church/N/br-a10/1850	1	national/J	1.7530658	2	denomination/N;national/J	3.9577346;1.7530658	3	goal/N;national/J;person/N	7	add/V;denomination/N;goal/N;have/V;light/N;national/J;person/N	5	a/D;every/D;for/I;national/J;of/I	0.10114131;0.56883013;0.08600023;1.7530658;0.48038787	7	a/D;denomination/N;every/D;for/I;national/J;of/I;the/D	0.10114131;3.9577346;0.56883013;0.08600023;1.7530658;0.48038787;0.6102459	7	a/D;every/D;for/I;goal/N;national/J;of/I;person/N	13	a/D;add/V;denomination/N;every/D;for/I;goal/N;have/V;light/N;national/J;of/I;person/N;that/I;the/D	5	a/D;every/D;for/I;national/J;of/I	0.10114131;0.56883013;0.08600023;1.7530658;0.48038787	7	a/D;denomination/N;every/D;for/I;national/J;of/I;the/D	0.10114131;3.9577346;0.56883013;0.08600023;1.7530658;0.48038787;0.6102459	8	a/D;every/D;for/I;goal/N;national/J;of/I;one/P;person/N	17	a/D;add/V;denomination/N;every/D;for/I;goal/N;have/V;in/R;light/N;national/J;of/I;one/P;person/N;that/I;the/D;this/R;we/P	3	goal/N;national/J;person/N	1.3049951;0.55971515;0.74270433	5	denomination/N;goal/N;have/V;national/J;person/N	2.2858243;1.3049951;0.046398625;0.55971515;0.74270433	3	goal/N;national/J;person/N	7	add/V;denomination/N;goal/N;have/V;light/N;national/J;person/N	5	every/D;goal/N;national/J;of/I;person/N	0.56603837;1.3049951;0.55971515;0.49506077;0.74270433	9	denomination/N;every/D;goal/N;have/V;national/J;of/I;person/N;that/I;the/D	2.2858243;0.56603837;1.3049951;0.046398625;0.55971515;0.49506077;0.74270433;0.14680238;0.5460644	7	a/D;every/D;for/I;goal/N;national/J;of/I;person/N	13	a/D;add/V;denomination/N;every/D;for/I;goal/N;have/V;light/N;national/J;of/I;person/N;that/I;the/D	6	10000/C;every/D;goal/N;national/J;of/I;person/N	2.4681458;0.56603837;1.3049951;0.55971515;0.49506077;0.74270433	12	10000/C;denomination/N;every/D;goal/N;have/V;in/R;national/J;of/I;person/N;that/I;the/D;this/R	2.4681458;2.2858243;0.56603837;1.3049951;0.046398625;0.2855181;0.55971515;0.49506077;0.74270433;0.14680238;0.5460644;0.27300686	9	10000/C;a/D;every/D;for/I;goal/N;national/J;of/I;one/P;person/N	18	10000/C;a/D;add/V;denomination/N;every/D;for/I;goal/N;have/V;in/R;light/N;national/J;of/I;one/P;person/N;that/I;the/D;this/R;we/P
church/N/br-a10/1863	4	america/N;interview/N;leader/N;several/N	1.0314004;0.78271466;1.3397875;0.4400632	6	america/N;east/N;interview/N;latin/J;leader/N;several/N	1.0314004;0.56126285;0.78271466;0.9051954;1.3397875;0.4400632	3	illinois/N;light/N;need/V	5	have/V;illinois/N;light/N;need/V;person/N	1	in/I	0.5505831	1	in/I	0.5505831	4	illinois/N;in/I;light/N;need/V	6	have/V;illinois/N;in/I;light/N;need/V;person/N	2	in/I;where/W	0.5505831;0.057468515	2	in/I;where/W	0.5505831;0.057468515	8	1000/C;illinois/N;in/I;light/N;need/V;this/R;we/P;where/W	13	1000/C;200/C;800/C;have/V;illinois/N;in/I;in/R;light/N;need/V;person/N;this/R;we/P;where/W	2	illinois/N;need/V	1.9085301;1.4048154	4	have/V;illinois/N;need/V;person/N	0.046398625;1.9085301;1.4048154;0.74270433	3	illinois/N;light/N;need/V	5	have/V;illinois/N;light/N;need/V;person/N	3	illinois/N;in/I;need/V	1.9085301;0.13973331;1.4048154	5	have/V;illinois/N;in/I;need/V;person/N	0.046398625;1.9085301;0.13973331;1.4048154;0.74270433	4	illinois/N;in/I;light/N;need/V	6	have/V;illinois/N;in/I;light/N;need/V;person/N	5	1000/C;illinois/N;in/I;need/V;this/R	3.0659828;1.9085301;0.13973331;1.4048154;0.27300686	9	1000/C;10000/C;have/V;illinois/N;in/I;in/R;need/V;person/N;this/R	3.0659828;2.4681458;0.046398625;1.9085301;0.13973331;0.2855181;1.4048154;0.74270433;0.27300686	8	1000/C;illinois/N;in/I;light/N;need/V;this/R;we/P;where/W	14	1000/C;10000/C;200/C;800/C;have/V;illinois/N;in/I;in/R;light/N;need/V;person/N;this/R;we/P;where/W
