cw	ppmi
!/p	0.0
''/p	0.046297405
's/P	0.0
(/p	0.0
)/p	0.0
,/p	0.0
-/p	0.0
./p	0.0111157885
10/C	0.95301867
1000/C	3.0659828
10000/C	2.4681458
1080062/C	5.463878
11.2/C	5.463878
18/J	2.5735064
1948/C	2.755828
1961/C	0.7780501
25/J	2.029891
260/C	3.6721187
31978/C	5.463878
4/C	0.5294043
4499608/C	5.463878
60/J	2.4681458
65/C	2.5735064
7000/C	5.463878
790/C	5.463878
8000/C	3.8544402
:/p	0.0
;/p	0.4294763
?/p	0.0
``/p	0.07018571
a/D	0.0
a/J	0.0
a/N	1.0818516
a/R	0.07526319
ability/N	1.4748942
able/J	0.40128317
about/I	0.035410143
absence/N	1.6395941
absolutely/R	2.4681458
abstention/N	4.770731
according/I	1.4208269
accusation/N	4.077584
acquaint/V	3.2666535
across/I	0.3339795
active/J	1.456545
activity/N	1.1470569
actually/R	0.710288
addition/N	2.2450023
administrative/J	1.8003166
admission/N	2.4193559
admit/V	1.2297717
adult/N	2.6016774
advance/V	2.0965824
adviser/N	2.6912894
advisor/N	4.077584
affair/N	1.3207434
affiliate/J	4.365266
african/N	3.517968
after/I	0.0
aids/N	2.8248208
alert/V	3.2666535
alive/J	1.9085301
all/J	0.7643073
all/P	0.24136254
allen/N	2.5735064
almost/R	1.5629162
alone/R	1.8439916
also/R	0.0
alumni/N	5.463878
always/R	0.0
ambition/N	2.4193559
amen/U	2.6306648
america/N	0.46937227
american/J	0.55490655
american/N	0.0
among/I	0.0
an/D	0.0
analogy/N	2.9789715
ancestry/N	3.517968
and/C	0.19365685
and/R	0.0
angel/N	1.7749988
anglican/J	4.5475874
anne/N	2.755828
announce/V	0.9786183
annual/J	1.9538264
another/D	0.0
antiquity/N	4.9938745
apostolic/J	4.077584
apparently/R	0.96406853
appreciation/N	2.5194392
apprentice/N	2.9789715
apse/N	5.463878
area/N	0.7861548
argue/V	1.5320525
around/I	0.0
artificial/J	2.8989289
as/I	0.43140614
as/R	0.0
ask/V	0.11724696
assail/V	3.8544402
assembly/N	2.6564856
association/N	0.6697419
assume/V	0.86071
at/I	0.30576992
at/R	0.5823397
atlanta/N	2.8611884
atmosphere/N	1.2297717
attack/V	1.7262086
attend/V	2.0626807
attendance/N	3.517968
audio-visual/J	4.077584
autonomy/N	3.3844366
ave./N	2.8248208
back/N	1.2651737
back/V	0.008984519
backward/R	3.3844366
bad/J	0.8004391
badly/R	2.2450023
ballot/N	2.9789715
baptist/N	4.6754208
baptize/V	3.3844366
be/V	0.0
beam/N	2.0965824
bear/V	0.97524184
because/I	0.0
become/V	0.0
before/I	0.0
before/R	0.73649037
begin/V	0.17561117
behind/I	1.0171177
believe/V	0.6847547
believer/N	3.6721187
bell/N	3.5667582
benefit/V	2.3728356
bernadine/N	5.463878
better/J	0.9152784
between/I	0.0
beyond/I	0.7276797
beyond/R	2.4681458
bible/N	1.5126345
biblical/J	2.755828
big/J	0.0
birmingham/N	3.161293
birth/N	1.5926772
bishop/N	2.4385872
blanket/N	2.1316736
bless/V	3.3844366
block/N	1.1071694
board/N	0.15660109
body/N	0.0
both/P	0.64359665
box/N	1.354645
brazil/N	4.077584
break/V	0.44659835
breakup/N	4.077584
bride/N	2.660518
