_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_vector	soc_length_num	soc_soc_win	tokens	type	stress	foc_base	pam_cluster	is_medoid
diskwalificeren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.23395990769015573	0.016616044685984835	NA	NA	bound	364	lex	10_10	1	weight	nav_5000	5000	4_4	227	diskwalificeren	0.2432548854501234	BOW	c1	0
diskwalificeren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.25713893011312444	-0.06723771288706504	NA	NA	bound	364	lex	10_10	1	weight	all_5000	5000	4_4	227	diskwalificeren	0.24064444075564853	BOW	c1	0
diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1619151698216498	-0.10937143513161793	NA	NA	bound	364	lex	10_10	1	weight	nav_FOC	254	4_4	227	diskwalificeren	0.23771832505129492	BOW	c1	0
diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.16340303837227396	-0.10865161935550947	NA	NA	bound	364	lex	10_10	1	weight	all_FOC	364	4_4	227	diskwalificeren	0.23878581461640364	BOW	c1	0
diskwalificeren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.17423984243693105	-0.016098342367273824	NA	NA	bound	364	lex	10_10	1	selection	nav_5000	5000	4_4	227	diskwalificeren	0.23926435248766825	BOW	c1	0
diskwalificeren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.19140984143804055	-0.14116999452806075	NA	NA	bound	364	lex	10_10	1	selection	all_5000	5000	4_4	227	diskwalificeren	0.24271834070278764	BOW	c1	0
diskwalificeren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.10891669102074528	-0.14238429858842908	NA	NA	bound	364	lex	10_10	1	selection	nav_FOC	254	4_4	227	diskwalificeren	0.23062966383130482	BOW	c1	0
diskwalificeren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.10142727119904295	-0.1423766674638335	NA	NA	bound	364	lex	10_10	1	selection	all_FOC	364	4_4	227	diskwalificeren	0.23606255525265443	BOW	c1	1
diskwalificeren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.13288633065877184	-0.08992465605402385	NA	NA	bound	672	lex	10_10	1	no	nav_5000	5000	4_4	233	diskwalificeren	0.2323049795752264	BOW	c1	0
diskwalificeren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.13687419163247064	-0.3186845097730902	NA	NA	bound	672	lex	10_10	1	no	all_5000	5000	4_4	233	diskwalificeren	0.25183202010450884	BOW	c1	0
diskwalificeren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.05325993711848295	-0.21807424546131882	NA	NA	bound	672	lex	10_10	1	no	nav_FOC	478	4_4	233	diskwalificeren	0.2318676515750779	BOW	c1	0
diskwalificeren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.05271983229991372	-0.224570198004953	NA	NA	bound	672	lex	10_10	1	no	all_FOC	672	4_4	233	diskwalificeren	0.23189184623859926	BOW	c1	0
diskwalificeren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.006303524555288315	0.0516147691231049	NA	NA	bound	538	all	10_10	1	weight	nav_5000	5000	4_4	235	diskwalificeren	0.24088688444501832	BOW	c2	0
diskwalificeren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.024223126442317677	-0.15153793958923625	NA	NA	bound	538	all	10_10	1	weight	all_5000	5000	4_4	235	diskwalificeren	0.24754994737373054	BOW	c3	0
diskwalificeren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.023392825278071207	-0.14794336916845777	NA	NA	bound	538	all	10_10	1	weight	nav_FOC	254	4_4	235	diskwalificeren	0.22868898180721742	BOW	c3	0
diskwalificeren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.034605432996056236	-0.15462939741676043	NA	NA	bound	538	all	10_10	1	weight	all_FOC	538	4_4	235	diskwalificeren	0.23308624377330164	BOW	c3	0
diskwalificeren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.09517380320005212	-0.05769058641660393	NA	NA	bound	538	all	10_10	1	selection	nav_5000	5000	4_4	235	diskwalificeren	0.22140918191413134	BOW	c3	0
diskwalificeren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.06302808930503048	-0.22096390507890146	NA	NA	bound	538	all	10_10	1	selection	all_5000	5000	4_4	235	diskwalificeren	0.23508300554917716	BOW	c3	0
diskwalificeren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.06561097380668524	-0.15910447013809556	NA	NA	bound	538	all	10_10	1	selection	nav_FOC	254	4_4	235	diskwalificeren	0.20916814537711093	BOW	c3	0
diskwalificeren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.07802701339866978	-0.17219261165624303	NA	NA	bound	538	all	10_10	1	selection	all_FOC	538	4_4	235	diskwalificeren	0.21209897391597649	BOW	c3	1
diskwalificeren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.18624421799056756	-0.178070249389564	NA	NA	bound	996	all	10_10	1	no	nav_5000	5000	4_4	237	diskwalificeren	0.15307886106173516	BOW	c3	0
diskwalificeren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.17669747699082156	-0.3135058090303625	NA	NA	bound	996	all	10_10	1	no	all_5000	5000	4_4	237	diskwalificeren	0.2231439675342872	BOW	c3	0
diskwalificeren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.11420184453669191	-0.23404230472496762	NA	NA	bound	996	all	10_10	1	no	nav_FOC	478	4_4	237	diskwalificeren	0.20140284498883512	BOW	c3	0
diskwalificeren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	0.1271127763453204	-0.2553398109788352	NA	NA	bound	996	all	10_10	1	no	all_FOC	996	4_4	237	diskwalificeren	0.19910114877189347	BOW	c3	0
diskwalificeren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.22334986287513592	0.1187440663734998	NA	NA	bound	314	lex	5_5	1	weight	nav_5000	5000	4_4	222	diskwalificeren	0.24855390300756408	BOW	c4	0
diskwalificeren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.2596026733751241	0.08395402983845751	NA	NA	bound	314	lex	5_5	1	weight	all_5000	5000	4_4	222	diskwalificeren	0.2501007614427297	BOW	c4	0
diskwalificeren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.15982670878682007	-0.004348080043903045	NA	NA	bound	314	lex	5_5	1	weight	nav_FOC	212	4_4	222	diskwalificeren	0.26089054580854076	BOW	c4	0
diskwalificeren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1693718814803236	0.0021722508068368236	NA	NA	bound	314	lex	5_5	1	weight	all_FOC	314	4_4	222	diskwalificeren	0.2582892184570157	BOW	c4	0
diskwalificeren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.205026356976485	0.12598583570701405	NA	NA	bound	314	lex	5_5	1	selection	nav_5000	5000	4_4	222	diskwalificeren	0.23918262170469912	BOW	c4	0
diskwalificeren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.24094021080752617	0.0613362045298456	NA	NA	bound	314	lex	5_5	1	selection	all_5000	5000	4_4	222	diskwalificeren	0.24509646873135255	BOW	c4	0
diskwalificeren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.13041188767264456	-0.009572426077948247	NA	NA	bound	314	lex	5_5	1	selection	nav_FOC	212	4_4	222	diskwalificeren	0.24411522000734795	BOW	c4	0
diskwalificeren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.13243186395519876	-0.0060996125666128095	NA	NA	bound	314	lex	5_5	1	selection	all_FOC	314	4_4	222	diskwalificeren	0.2503215478119856	BOW	c4	1
diskwalificeren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.23002836202316468	0.12424814731845234	NA	NA	bound	418	lex	5_5	1	no	nav_5000	5000	4_4	230	diskwalificeren	0.23209610756281215	BOW	c4	0
diskwalificeren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.28318701250703304	-0.009110669343931213	NA	NA	bound	418	lex	5_5	1	no	all_5000	5000	4_4	230	diskwalificeren	0.24872653385570456	BOW	c4	0
diskwalificeren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.12907164729332044	-0.05981701482810504	NA	NA	bound	418	lex	5_5	1	no	nav_FOC	281	4_4	230	diskwalificeren	0.2487796984957964	BOW	c4	0
diskwalificeren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.1428130381139146	-0.05482913606169189	NA	NA	bound	418	lex	5_5	1	no	all_FOC	418	4_4	230	diskwalificeren	0.2453763519982677	BOW	c4	0
