_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_vector	soc_length_num	soc_soc_win	tokens	type	stress	foc_base	pam_cluster	is_medoid
herstellen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1120751725004492	0.09291188134660189	NA	NA	bound	362	lex	10_10	1	weight	nav_5000	5000	4_4	234	herstellen	0.2547229768536621	BOW	c1	0
herstellen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1800592681701719	-0.10774859522865629	NA	NA	bound	362	lex	10_10	1	weight	all_5000	5000	4_4	234	herstellen	0.25956180870660744	BOW	c2	0
herstellen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.0975697905112082	0.07583394231099276	NA	NA	bound	362	lex	10_10	1	weight	nav_FOC	248	4_4	234	herstellen	0.24107608204402703	BOW	c1	0
herstellen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.10072540299510205	0.06150568512273431	NA	NA	bound	362	lex	10_10	1	weight	all_FOC	362	4_4	234	herstellen	0.24343535257957502	BOW	c1	0
herstellen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.1778391762434569	0.04324187418662371	NA	NA	bound	362	lex	10_10	1	selection	nav_5000	5000	4_4	234	herstellen	0.2545256377794881	BOW	c1	0
herstellen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.17978562307512372	-0.1343480156675738	NA	NA	bound	362	lex	10_10	1	selection	all_5000	5000	4_4	234	herstellen	0.2481382245872126	BOW	c2	0
herstellen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1102867587648144	0.031052119144872724	NA	NA	bound	362	lex	10_10	1	selection	nav_FOC	248	4_4	234	herstellen	0.24506919328914603	BOW	c1	0
herstellen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.11788285285423741	0.024239512837811714	NA	NA	bound	362	lex	10_10	1	selection	all_FOC	362	4_4	234	herstellen	0.24348389707566465	BOW	c1	0
herstellen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.1778878999306681	-0.004947906398835538	NA	NA	bound	750	lex	10_10	1	no	nav_5000	5000	4_4	238	herstellen	0.24828493272578758	BOW	c3	0
herstellen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.27749098268652367	-0.21571220649482586	NA	NA	bound	750	lex	10_10	1	no	all_5000	5000	4_4	238	herstellen	0.22811093024920417	BOW	c2	0
herstellen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.1370452605141999	-0.01353368530808901	NA	NA	bound	750	lex	10_10	1	no	nav_FOC	541	4_4	238	herstellen	0.24674036061809804	BOW	c3	0
herstellen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.14331572864006994	-0.0198379103615377	NA	NA	bound	750	lex	10_10	1	no	all_FOC	750	4_4	238	herstellen	0.24238462670472738	BOW	c3	0
herstellen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.04015493840336709	0.13581565384154054	NA	NA	bound	490	all	10_10	1	weight	nav_5000	5000	4_4	239	herstellen	0.23487143843154623	BOW	c4	0
herstellen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.09592302020923371	-0.14117376981351587	NA	NA	bound	490	all	10_10	1	weight	all_5000	5000	4_4	239	herstellen	0.24111231606376213	BOW	c2	0
herstellen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-2.5010212773239203e-4	0.08818686833415378	NA	NA	bound	490	all	10_10	1	weight	nav_FOC	248	4_4	239	herstellen	0.21829810839612124	BOW	c4	0
herstellen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.0017005397073200442	0.06920441744773545	NA	NA	bound	490	all	10_10	1	weight	all_FOC	490	4_4	239	herstellen	0.2208335347375537	BOW	c4	0
herstellen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.17920545183895395	0.043208996820037156	NA	NA	bound	490	all	10_10	1	selection	nav_5000	5000	4_4	239	herstellen	0.1398391684786244	BOW	c3	0
herstellen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.00763045069443749	-0.3590474463222129	NA	NA	bound	490	all	10_10	1	selection	all_5000	5000	4_4	239	herstellen	0.1457129956905605	BOW	c5	0
herstellen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.01918347841718239	0.02146776649923358	NA	NA	bound	490	all	10_10	1	selection	nav_FOC	248	4_4	239	herstellen	0.2394403350403911	BOW	c3	0
herstellen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.01598467960349803	-0.00410197269946597	NA	NA	bound	490	all	10_10	1	selection	all_FOC	490	4_4	239	herstellen	0.23301568940148168	BOW	c3	0
herstellen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.10863980659865506	-0.07043110996243213	NA	NA	bound	1033	all	10_10	1	no	nav_5000	5000	4_4	239	herstellen	0.22793590419904863	BOW	c3	0
herstellen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-0.13372589316349337	-0.36358327948156977	NA	NA	bound	1033	all	10_10	1	no	all_5000	5000	4_4	239	herstellen	0.182754034143128	BOW	c5	0
herstellen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.004704501235774874	-0.044272121803542064	NA	NA	bound	1033	all	10_10	1	no	nav_FOC	541	4_4	239	herstellen	0.24531409180360064	BOW	c3	1
herstellen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.017404179742711336	-0.07988324737703735	NA	NA	bound	1033	all	10_10	1	no	all_FOC	1033	4_4	239	herstellen	0.23085059384918288	BOW	c3	0
herstellen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.10773068282023864	0.11791623407811247	NA	NA	bound	280	lex	5_5	1	weight	nav_5000	5000	4_4	225	herstellen	0.25775104798988313	BOW	c1	0
herstellen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1829156134677162	-0.09083064401480787	NA	NA	bound	280	lex	5_5	1	weight	all_5000	5000	4_4	225	herstellen	0.267193622541645	BOW	c2	1
herstellen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.09056606013516488	0.10402246836952807	NA	NA	bound	280	lex	5_5	1	weight	nav_FOC	190	4_4	225	herstellen	0.24983873000984896	BOW	c1	0
herstellen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.09582132700858062	0.0853449856003033	NA	NA	bound	280	lex	5_5	1	weight	all_FOC	280	4_4	225	herstellen	0.25402612315595885	BOW	c1	0
herstellen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.15244770491893642	0.0839274315733374	NA	NA	bound	280	lex	5_5	1	selection	nav_5000	5000	4_4	225	herstellen	0.24748783196073967	BOW	c1	0
herstellen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.18352563082782353	-0.11812593712737714	NA	NA	bound	280	lex	5_5	1	selection	all_5000	5000	4_4	225	herstellen	0.2583739615131313	BOW	c2	0
herstellen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.09664358936639596	0.06344038836644786	NA	NA	bound	280	lex	5_5	1	selection	nav_FOC	190	4_4	225	herstellen	0.2476518450900889	BOW	c1	0
herstellen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.10487965632276447	0.05198296091221527	NA	NA	bound	280	lex	5_5	1	selection	all_FOC	280	4_4	225	herstellen	0.24726787380872403	BOW	c1	0
herstellen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.17382323186813142	0.06474554785269897	NA	NA	bound	458	lex	5_5	1	no	nav_5000	5000	4_4	236	herstellen	0.25832609281793917	BOW	c1	0
herstellen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.26999524403499386	-0.1844284889609113	NA	NA	bound	458	lex	5_5	1	no	all_5000	5000	4_4	236	herstellen	0.25349487543716737	BOW	c2	0
herstellen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.12682567285768231	0.04077701142319026	NA	NA	bound	458	lex	5_5	1	no	nav_FOC	327	4_4	236	herstellen	0.2660185456139908	BOW	c1	0
herstellen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.13367833247129454	0.03166384177918174	NA	NA	bound	458	lex	5_5	1	no	all_FOC	458	4_4	236	herstellen	0.25844652159391385	BOW	c1	0
herstellen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.03988031785126165	0.16872671211531118	NA	NA	bound	379	all	5_5	1	weight	nav_5000	5000	4_4	238	herstellen	0.24305029739841205	BOW	c4	0
herstellen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.06259987953814629	-0.13057849075977362	NA	NA	bound	379	all	5_5	1	weight	all_5000	5000	4_4	238	herstellen	0.25842996038926824	BOW	c2	0
herstellen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.0014378030968746616	0.12460965864818681	NA	NA	bound	379	all	5_5	1	weight	nav_FOC	190	4_4	238	herstellen	0.23462517430556593	BOW	c4	0
herstellen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.004950663587345428	0.10009511712654877	NA	NA	bound	379	all	5_5	1	weight	all_FOC	379	4_4	238	herstellen	0.23514315634913038	BOW	c4	1
herstellen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.18148034530426982	0.08143139370135272	NA	NA	bound	379	all	5_5	1	selection	nav_5000	5000	4_4	238	herstellen	0.17569469000810242	BOW	c6	0
herstellen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.13988639210151513	-0.33847231639090636	NA	NA	bound	379	all	5_5	1	selection	all_5000	5000	4_4	238	herstellen	0.24883578281547616	BOW	c5	0
herstellen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.037994137741704265	0.04911838293346552	NA	NA	bound	379	all	5_5	1	selection	nav_FOC	190	4_4	238	herstellen	0.2519423759933146	BOW	c4	0
herstellen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.04310308854997279	0.02692894970938392	NA	NA	bound	379	all	5_5	1	selection	all_FOC	379	4_4	238	herstellen	0.24485791177648283	BOW	c4	0
herstellen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.16332228908932847	0.017503280905153653	NA	NA	bound	643	all	5_5	1	no	nav_5000	5000	4_4	239	herstellen	0.10951282774864973	BOW	c3	0
