_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	pam_cluster	is_medoid
spoor.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.14216556174189918	-0.003153342834163425	1	nav_5000	5000	348	spoor	NA	NA	BOW	bound	433	lex	10_10	weight	4_4	0.26990216596709915	c1	0
spoor.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.29004838752190465	-0.014790863640424277	1	all_5000	5000	348	spoor	NA	NA	BOW	bound	433	lex	10_10	weight	4_4	0.27187390125897626	c2	0
spoor.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1303142207851984	0.009897885642097114	1	nav_FOC	311	348	spoor	NA	NA	BOW	bound	433	lex	10_10	weight	4_4	0.2819612318745829	c1	0
spoor.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1401592673162017	0.011014781858792658	1	all_FOC	433	348	spoor	NA	NA	BOW	bound	433	lex	10_10	weight	4_4	0.2754108526124342	c1	0
spoor.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.17283511239728588	0.04136691641281168	1	nav_5000	5000	348	spoor	NA	NA	BOW	bound	433	lex	10_10	selection	4_4	0.2686597721653121	c1	0
spoor.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.26814437508488687	0.020388483913494754	1	all_5000	5000	348	spoor	NA	NA	BOW	bound	433	lex	10_10	selection	4_4	0.2709843686468992	c2	0
spoor.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.14355233425269043	0.04290931165598161	1	nav_FOC	311	348	spoor	NA	NA	BOW	bound	433	lex	10_10	selection	4_4	0.2777290611332399	c1	0
spoor.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.15629948861808055	0.04383817389643826	1	all_FOC	433	348	spoor	NA	NA	BOW	bound	433	lex	10_10	selection	4_4	0.27184321259137934	c1	0
spoor.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.21863587119441388	0.14939409413262	1	nav_5000	5000	357	spoor	NA	NA	BOW	bound	981	lex	10_10	no	4_4	0.2610219516966046	c3	0
spoor.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.35902883060524415	0.16417544152827362	1	all_5000	5000	357	spoor	NA	NA	BOW	bound	981	lex	10_10	no	4_4	0.266019538130628	c2	0
spoor.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.22258807611583759	0.13379405537758937	1	nav_FOC	732	357	spoor	NA	NA	BOW	bound	981	lex	10_10	no	4_4	0.25927491874511027	c3	0
spoor.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.24925576745183822	0.14132440087054132	1	all_FOC	981	357	spoor	NA	NA	BOW	bound	981	lex	10_10	no	4_4	0.25463296696747745	c3	0
spoor.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.057077819605903433	-0.009848054719788474	1	nav_5000	5000	358	spoor	NA	NA	BOW	bound	597	all	10_10	weight	4_4	0.25293665455338493	c4	0
spoor.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.02081840595092293	-0.09123643328572303	1	all_5000	5000	358	spoor	NA	NA	BOW	bound	597	all	10_10	weight	4_4	0.2584020241482471	c4	0
spoor.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.015879419321948123	-0.00502891668753839	1	nav_FOC	311	358	spoor	NA	NA	BOW	bound	597	all	10_10	weight	4_4	0.24800676122833437	c4	0
spoor.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.012220407455493163	-8.475449134262252e-4	1	all_FOC	597	358	spoor	NA	NA	BOW	bound	597	all	10_10	weight	4_4	0.24684098513282698	c4	0
spoor.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.10384362772648983	0.10162557050451923	1	nav_5000	5000	358	spoor	NA	NA	BOW	bound	597	all	10_10	selection	4_4	0.2445888522192327	c5	0
spoor.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.12152867043887697	0.18068301133158246	1	all_5000	5000	358	spoor	NA	NA	BOW	bound	597	all	10_10	selection	4_4	0.2477511614544787	c6	0
spoor.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.029453995242314724	0.0585165359861825	1	nav_FOC	311	358	spoor	NA	NA	BOW	bound	597	all	10_10	selection	4_4	0.2559893911361468	c5	0
spoor.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.028946774448155313	0.06389833356603349	1	all_FOC	597	358	spoor	NA	NA	BOW	bound	597	all	10_10	selection	4_4	0.25559514224260366	c5	0
spoor.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.015176198248265391	0.20006538020039358	1	nav_5000	5000	358	spoor	NA	NA	BOW	bound	1362	all	10_10	no	4_4	0.22628724606336686	c5	0
spoor.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-0.029202345937263022	0.38159691621457936	1	all_5000	5000	358	spoor	NA	NA	BOW	bound	1362	all	10_10	no	4_4	0.24109635297780932	c5	0
spoor.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.04750359124720783	0.17119286283756785	1	nav_FOC	732	358	spoor	NA	NA	BOW	bound	1362	all	10_10	no	4_4	0.25160983627494027	c5	0
spoor.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.07299521438078094	0.21639021355056737	1	all_FOC	1362	358	spoor	NA	NA	BOW	bound	1362	all	10_10	no	4_4	0.24267664287052162	c5	0
spoor.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16686421007536587	-0.059173757504645284	1	nav_5000	5000	331	spoor	NA	NA	BOW	bound	326	lex	5_5	weight	4_4	0.2737079638326329	c1	0
spoor.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.3159848031861721	-0.06681837232485811	1	all_5000	5000	331	spoor	NA	NA	BOW	bound	326	lex	5_5	weight	4_4	0.27745790120034886	c2	0
spoor.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.14108006035720372	-0.0420283254474877	1	nav_FOC	233	331	spoor	NA	NA	BOW	bound	326	lex	5_5	weight	4_4	0.27647500850549706	c1	0
spoor.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.15283874839817158	-0.04200989790968885	1	all_FOC	326	331	spoor	NA	NA	BOW	bound	326	lex	5_5	weight	4_4	0.27416376052340086	c1	0
spoor.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.18712369666306294	-0.04875768467923125	1	nav_5000	5000	331	spoor	NA	NA	BOW	bound	326	lex	5_5	selection	4_4	0.2726358816918141	c1	0
spoor.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2901431667279728	-0.04678264037138252	1	all_5000	5000	331	spoor	NA	NA	BOW	bound	326	lex	5_5	selection	4_4	0.27123147800187575	c2	1
spoor.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.15356537729168004	-0.020290287935409483	1	nav_FOC	233	331	spoor	NA	NA	BOW	bound	326	lex	5_5	selection	4_4	0.2758311656256174	c1	0
spoor.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.16534439722250255	-0.017636148308963238	1	all_FOC	326	331	spoor	NA	NA	BOW	bound	326	lex	5_5	selection	4_4	0.2723444711274406	c1	0
spoor.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2096412220480825	0.02244669880958664	1	nav_5000	5000	350	spoor	NA	NA	BOW	bound	593	lex	5_5	no	4_4	0.27811254349661996	c1	0
spoor.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.3859920470948392	-4.172474813142768e-4	1	all_5000	5000	350	spoor	NA	NA	BOW	bound	593	lex	5_5	no	4_4	0.2745071730974861	c2	0
spoor.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.211875286143421	0.027875953976889432	1	nav_FOC	450	350	spoor	NA	NA	BOW	bound	593	lex	5_5	no	4_4	0.27703350162060986	c1	0
spoor.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.2288252769078383	0.03913170291732588	1	all_FOC	593	350	spoor	NA	NA	BOW	bound	593	lex	5_5	no	4_4	0.2740862067262232	c1	0
spoor.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.08960039460094593	-0.0320642625118685	1	nav_5000	5000	358	spoor	NA	NA	BOW	bound	463	all	5_5	weight	4_4	0.2550228573979008	c4	0
spoor.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.06465436051210038	-0.11603004780320794	1	all_5000	5000	358	spoor	NA	NA	BOW	bound	463	all	5_5	weight	4_4	0.2641821092449151	c4	0
spoor.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.03648649969087226	-0.03083151071776089	1	nav_FOC	233	358	spoor	NA	NA	BOW	bound	463	all	5_5	weight	4_4	0.25314282963413287	c4	0
spoor.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.04024916407969548	-0.024069461085925076	1	all_FOC	463	358	spoor	NA	NA	BOW	bound	463	all	5_5	weight	4_4	0.2623885198656431	c4	1
spoor.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.14766546409418171	0.06227685749773832	1	nav_5000	5000	358	spoor	NA	NA	BOW	bound	463	all	5_5	selection	4_4	0.2522780132447539	c5	0
spoor.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.17478975264409563	0.13175859081159627	1	all_5000	5000	358	spoor	NA	NA	BOW	bound	463	all	5_5	selection	4_4	0.24881010901032422	c6	0
spoor.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.05159255585776301	0.019133562814365585	1	nav_FOC	233	358	spoor	NA	NA	BOW	bound	463	all	5_5	selection	4_4	0.2524077108384207	c5	0
spoor.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.05607294758853077	0.028039513422566775	1	all_FOC	463	358	spoor	NA	NA	BOW	bound	463	all	5_5	selection	4_4	0.2618506594507431	c5	0
spoor.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.10372359378277476	0.08773067888400653	1	nav_5000	5000	358	spoor	NA	NA	BOW	bound	843	all	5_5	no	4_4	0.2469619956593568	c5	0
spoor.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.10602063161830168	-0.2068434346395018	1	all_5000	5000	358	spoor	NA	NA	BOW	bound	843	all	5_5	no	4_4	0.26184175862072145	c5	0
spoor.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.024062051753544485	0.053748538083326546	1	nav_FOC	450	358	spoor	NA	NA	BOW	bound	843	all	5_5	no	4_4	0.2654981244575039	c5	1
spoor.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.0176817363897713	0.08197180308407387	1	all_FOC	843	358	spoor	NA	NA	BOW	bound	843	all	5_5	no	4_4	0.25440850857779723	c5	0
spoor.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.182189995948248	-0.2176480599122593	1	nav_5000	5000	301	spoor	NA	NA	BOW	bound	221	lex	3_3	weight	4_4	0.27597990522586713	c7	0
spoor.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.2798047360834448	-0.29779169823453977	1	all_5000	5000	301	spoor	NA	NA	BOW	bound	221	lex	3_3	weight	4_4	0.2732638472036143	c2	0
spoor.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1559413897479786	-0.15389672883554167	1	nav_FOC	168	301	spoor	NA	NA	BOW	bound	221	lex	3_3	weight	4_4	0.2933257743493355	c7	0
spoor.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.17532708004345893	-0.1669582623925542	1	all_FOC	221	301	spoor	NA	NA	BOW	bound	221	lex	3_3	weight	4_4	0.28814337193483425	c7	0
spoor.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.190659170130011	-0.20570576371630855	1	nav_5000	5000	301	spoor	NA	NA	BOW	bound	221	lex	3_3	selection	4_4	0.2751818222106317	c7	0
spoor.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2669759824339529	-0.24526534479931317	1	all_5000	5000	301	spoor	NA	NA	BOW	bound	221	lex	3_3	selection	4_4	0.27255381513873544	c2	0
spoor.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1605881073003355	-0.1454655582598322	1	nav_FOC	168	301	spoor	NA	NA	BOW	bound	221	lex	3_3	selection	4_4	0.2886624123859357	c7	0
spoor.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.182114544662943	-0.16299315200674697	1	all_FOC	221	301	spoor	NA	NA	BOW	bound	221	lex	3_3	selection	4_4	0.28041617173577443	c7	1
