_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
dof.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.07123235322156503	0.020802759891118357	NA	NA	BOW	bound	547	lex	10_10	1	weight	5000	5000	nav	4_4	306	dof
dof.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.07687218940166451	-0.06407020800536599	NA	NA	BOW	bound	547	lex	10_10	1	weight	5000	5000	all	4_4	306	dof
dof.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12122998405096218	0.04205026920881912	NA	NA	BOW	bound	547	lex	10_10	1	weight	FOC	405	nav	4_4	306	dof
dof.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1253834995738838	0.04211067984191341	NA	NA	BOW	bound	547	lex	10_10	1	weight	FOC	547	all	4_4	306	dof
dof.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.02837536991172727	0.035023149118278966	NA	NA	BOW	bound	547	lex	10_10	1	selection	5000	5000	nav	4_4	306	dof
dof.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.10605044057166385	-0.0702552821859295	NA	NA	BOW	bound	547	lex	10_10	1	selection	5000	5000	all	4_4	306	dof
dof.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.10837622839089169	0.06513966173940564	NA	NA	BOW	bound	547	lex	10_10	1	selection	FOC	405	nav	4_4	306	dof
dof.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.10938824030917939	0.06397629134030763	NA	NA	BOW	bound	547	lex	10_10	1	selection	FOC	547	all	4_4	306	dof
dof.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.02758608665407975	0.11929661563428945	NA	NA	BOW	bound	1013	lex	10_10	1	no	5000	5000	nav	4_4	309	dof
dof.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.25468043246319966	-0.045771042340015465	NA	NA	BOW	bound	1013	lex	10_10	1	no	5000	5000	all	4_4	309	dof
dof.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.10407980285291435	0.11046901638984268	NA	NA	BOW	bound	1013	lex	10_10	1	no	FOC	746	nav	4_4	309	dof
dof.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.10534578300739923	0.11393288544110348	NA	NA	BOW	bound	1013	lex	10_10	1	no	FOC	1013	all	4_4	309	dof
dof.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.050875556215411524	0.00770295899530639	NA	NA	BOW	bound	650	all	10_10	1	weight	5000	5000	nav	4_4	310	dof
dof.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.06876531022326703	-0.07070773559694399	NA	NA	BOW	bound	650	all	10_10	1	weight	5000	5000	all	4_4	310	dof
dof.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.11811125961647286	0.03538265727360584	NA	NA	BOW	bound	650	all	10_10	1	weight	FOC	405	nav	4_4	310	dof
dof.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.11719265107085099	0.036926522919180624	NA	NA	BOW	bound	650	all	10_10	1	weight	FOC	650	all	4_4	310	dof
dof.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.06082090373612848	0.0401495370274194	NA	NA	BOW	bound	650	all	10_10	1	selection	5000	5000	nav	4_4	310	dof
dof.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.2846404993017352	-0.14681157903142167	NA	NA	BOW	bound	650	all	10_10	1	selection	5000	5000	all	4_4	310	dof
dof.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.06633101559882508	0.07510807357445902	NA	NA	BOW	bound	650	all	10_10	1	selection	FOC	405	nav	4_4	310	dof
dof.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.06449226984279281	0.07300442348312308	NA	NA	BOW	bound	650	all	10_10	1	selection	FOC	650	all	4_4	310	dof
dof.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.0061443831169933445	0.24655563426933472	NA	NA	BOW	bound	1256	all	10_10	1	no	5000	5000	nav	4_4	310	dof
