_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
goedkoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.04545165530092678	0.09355881160697178	NA	NA	BOW	bound	563	lex	10_10	1	weight	5000	5000	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.20863491673193088	-0.0832106937983842	NA	NA	BOW	bound	563	lex	10_10	1	weight	5000	5000	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.005125461335184531	0.10267875187029754	NA	NA	BOW	bound	563	lex	10_10	1	weight	FOC	413	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	0.002409024815100176	0.09331319685304101	NA	NA	BOW	bound	563	lex	10_10	1	weight	FOC	563	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.18576257802554658	0.12238299628137991	NA	NA	BOW	bound	563	lex	10_10	1	selection	5000	5000	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.22207248810965408	-0.083061300451329	NA	NA	BOW	bound	563	lex	10_10	1	selection	5000	5000	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.058437913283855066	0.11217346901749141	NA	NA	BOW	bound	563	lex	10_10	1	selection	FOC	413	nav	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.06958679410880082	0.11050209355268209	NA	NA	BOW	bound	563	lex	10_10	1	selection	FOC	563	all	4_4	301	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.15625404862838835	0.1710990332081608	NA	NA	BOW	bound	986	lex	10_10	1	no	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.3603885453630667	-0.06373853007643124	NA	NA	BOW	bound	986	lex	10_10	1	no	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.07041585854626736	0.1559642890998218	NA	NA	BOW	bound	986	lex	10_10	1	no	FOC	747	nav	4_4	303	goedkoop
goedkoop.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.07863235134689524	0.1551684625448218	NA	NA	BOW	bound	986	lex	10_10	1	no	FOC	986	all	4_4	303	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.0030075618677362762	0.038612393262579925	NA	NA	BOW	bound	699	all	10_10	1	weight	5000	5000	nav	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.26049021794461447	-0.158930623027938	NA	NA	BOW	bound	699	all	10_10	1	weight	5000	5000	all	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.024295059014815552	0.07017640639406439	NA	NA	BOW	bound	699	all	10_10	1	weight	FOC	413	nav	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.038121476692615834	0.03896814079887389	NA	NA	BOW	bound	699	all	10_10	1	weight	FOC	699	all	4_4	302	goedkoop
goedkoop.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.2260921798528132	0.19007190065018778	NA	NA	BOW	bound	699	all	10_10	1	selection	5000	5000	nav	4_4	302	goedkoop
