_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
hachelijk.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.40948231278475566	-0.14797155772816362	NA	NA	BOW	bound	363	lex	10_10	1	weight	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.7478934422182197	-0.690916536842313	NA	NA	BOW	bound	363	lex	10_10	1	weight	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.32030413361838905	0.061252125736697534	NA	NA	BOW	bound	363	lex	10_10	1	weight	FOC	278	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.27912670601318396	0.06847751049320198	NA	NA	BOW	bound	363	lex	10_10	1	weight	FOC	363	all	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.25260476945912297	0.07953615604259207	NA	NA	BOW	bound	363	lex	10_10	1	selection	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.22288387507255625	-0.8784911731356803	NA	NA	BOW	bound	363	lex	10_10	1	selection	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.350396098074309	0.33285823727400565	NA	NA	BOW	bound	363	lex	10_10	1	selection	FOC	278	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.3409600737589398	0.31924805932346645	NA	NA	BOW	bound	363	lex	10_10	1	selection	FOC	363	all	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	1.0805906804854555	0.02323061102723557	NA	NA	BOW	bound	757	lex	10_10	1	no	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.7819146984176537	-1.336043978285276	NA	NA	BOW	bound	757	lex	10_10	1	no	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	1.212595038041958	0.18866576533496282	NA	NA	BOW	bound	757	lex	10_10	1	no	FOC	582	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	1.2008178886290497	0.20223148203107602	NA	NA	BOW	bound	757	lex	10_10	1	no	FOC	757	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.4682393894763072	-0.1168857620790989	NA	NA	BOW	bound	492	all	10_10	1	weight	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.6781941407407762	-0.8857788694097323	NA	NA	BOW	bound	492	all	10_10	1	weight	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.24773053508539825	0.16676473175006468	NA	NA	BOW	bound	492	all	10_10	1	weight	FOC	278	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.23526357399038372	0.11969013656864684	NA	NA	BOW	bound	492	all	10_10	1	weight	FOC	492	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.8391332124063192	0.6363824504144844	NA	NA	BOW	bound	492	all	10_10	1	selection	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.4364818762816953	-1.5724926135331592	NA	NA	BOW	bound	492	all	10_10	1	selection	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.7194688088078585	0.7384770570561687	NA	NA	BOW	bound	492	all	10_10	1	selection	FOC	278	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.7470254448600052	0.5833224275478508	NA	NA	BOW	bound	492	all	10_10	1	selection	FOC	492	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	1.8198738679239785	0.4996295181221304	NA	NA	BOW	bound	1008	all	10_10	1	no	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	1.417924734880612	-1.9428734039623063	NA	NA	BOW	bound	1008	all	10_10	1	no	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	1.7628133475072711	0.6178119866463281	NA	NA	BOW	bound	1008	all	10_10	1	no	FOC	582	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	1.8439409213012548	0.4653562745727828	NA	NA	BOW	bound	1008	all	10_10	1	no	FOC	1008	all	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.5470766139190838	-0.08454638005342612	NA	NA	BOW	bound	320	lex	5_5	1	weight	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.8326671020426806	-0.6275662412707002	NA	NA	BOW	bound	320	lex	5_5	1	weight	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.4395851735323245	0.12818910415293344	NA	NA	BOW	bound	320	lex	5_5	1	weight	FOC	242	nav	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.42083854122757813	0.12428147468007884	NA	NA	BOW	bound	320	lex	5_5	1	weight	FOC	320	all	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.019307911104960454	0.055329596131647035	NA	NA	BOW	bound	320	lex	5_5	1	selection	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.4335889016323949	-0.7836006605902023	NA	NA	BOW	bound	320	lex	5_5	1	selection	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.047071278708720236	0.34345743170374	NA	NA	BOW	bound	320	lex	5_5	1	selection	FOC	242	nav	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.04897918818526831	0.31234220822449155	NA	NA	BOW	bound	320	lex	5_5	1	selection	FOC	320	all	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	0.2057516838474134	0.08396397284453434	NA	NA	BOW	bound	449	lex	5_5	1	no	5000	5000	nav	4_4	239	hachelijk
