_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
hachelijk.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.09285554682560475	-0.04052572413423327	NA	NA	BOW	bound	363	lex	10_10	1	weight	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.09918299593495772	-0.1183087451368277	NA	NA	BOW	bound	363	lex	10_10	1	weight	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1175011182106782	-0.002802709229287739	NA	NA	BOW	bound	363	lex	10_10	1	weight	FOC	278	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.11375165587710243	-0.004944791305876553	NA	NA	BOW	bound	363	lex	10_10	1	weight	FOC	363	all	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.06330535095958441	0.013081874367970234	NA	NA	BOW	bound	363	lex	10_10	1	selection	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.058882232239335676	-0.10878101072003217	NA	NA	BOW	bound	363	lex	10_10	1	selection	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.08852404319604329	0.10347911585161824	NA	NA	BOW	bound	363	lex	10_10	1	selection	FOC	278	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.08045046783986713	0.10047413042334033	NA	NA	BOW	bound	363	lex	10_10	1	selection	FOC	363	all	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.04191725258171317	0.14884912718423535	NA	NA	BOW	bound	757	lex	10_10	1	no	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.056494969356978834	-0.18967534969502742	NA	NA	BOW	bound	757	lex	10_10	1	no	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.02533047881198487	0.1814424341291035	NA	NA	BOW	bound	757	lex	10_10	1	no	FOC	582	nav	4_4	239	hachelijk
hachelijk.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.01907287453372579	0.18636002956316974	NA	NA	BOW	bound	757	lex	10_10	1	no	FOC	757	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.07395227185500747	-0.04050661087301794	NA	NA	BOW	bound	492	all	10_10	1	weight	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.0727067124367114	-0.14344760567706197	NA	NA	BOW	bound	492	all	10_10	1	weight	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.08941686687265349	0.001761424624871505	NA	NA	BOW	bound	492	all	10_10	1	weight	FOC	278	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.07479136085212355	-0.0028006697001560065	NA	NA	BOW	bound	492	all	10_10	1	weight	FOC	492	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.06075562001007473	0.10009633325543972	NA	NA	BOW	bound	492	all	10_10	1	selection	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.06876096604012236	-0.2756907196748032	NA	NA	BOW	bound	492	all	10_10	1	selection	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.020460334026230598	0.15052342310468048	NA	NA	BOW	bound	492	all	10_10	1	selection	FOC	278	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.03792938770344604	0.13915173850494608	NA	NA	BOW	bound	492	all	10_10	1	selection	FOC	492	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.1425349304994252	0.2698786192476393	NA	NA	BOW	bound	1008	all	10_10	1	no	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.22176862366078365	-0.3486767674173498	NA	NA	BOW	bound	1008	all	10_10	1	no	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.1266869584639234	0.2923341285534378	NA	NA	BOW	bound	1008	all	10_10	1	no	FOC	582	nav	4_4	239	hachelijk
hachelijk.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	0.1501374835342878	0.3060570576507204	NA	NA	BOW	bound	1008	all	10_10	1	no	FOC	1008	all	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1169310101628812	-0.04367331325997594	NA	NA	BOW	bound	320	lex	5_5	1	weight	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.11670697039563507	-0.12439067277240279	NA	NA	BOW	bound	320	lex	5_5	1	weight	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1313858066735557	-0.004753566717219414	NA	NA	BOW	bound	320	lex	5_5	1	weight	FOC	242	nav	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.13273239675932183	-0.007787607358854284	NA	NA	BOW	bound	320	lex	5_5	1	weight	FOC	320	all	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.08436727469469679	-0.010133227210326287	NA	NA	BOW	bound	320	lex	5_5	1	selection	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.08162516796703823	-0.11647420273406338	NA	NA	BOW	bound	320	lex	5_5	1	selection	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1021648663516507	0.07790933179616655	NA	NA	BOW	bound	320	lex	5_5	1	selection	FOC	242	nav	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.09321328092970102	0.07458092646858269	NA	NA	BOW	bound	320	lex	5_5	1	selection	FOC	320	all	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.06512609772670465	-0.001691435552535908	NA	NA	BOW	bound	449	lex	5_5	1	no	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.06869836630921218	-0.1431475870854378	NA	NA	BOW	bound	449	lex	5_5	1	no	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.0731098499371651	0.06382357229262532	NA	NA	BOW	bound	449	lex	5_5	1	no	FOC	343	nav	4_4	239	hachelijk
hachelijk.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.06797579844737989	0.05713801289280653	NA	NA	BOW	bound	449	lex	5_5	1	no	FOC	449	all	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.09458401698760978	-0.04163059135707398	NA	NA	BOW	bound	433	all	5_5	1	weight	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.09661520894254674	-0.14956491886088713	NA	NA	BOW	bound	433	all	5_5	1	weight	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.10402770951955395	7.288923120629627e-4	NA	NA	BOW	bound	433	all	5_5	1	weight	FOC	242	nav	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.09168152092516445	-0.004907555186114376	NA	NA	BOW	bound	433	all	5_5	1	weight	FOC	433	all	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.02659345847858331	0.025971060735971753	NA	NA	BOW	bound	433	all	5_5	1	selection	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.04110389718808463	-0.2406387676960277	NA	NA	BOW	bound	433	all	5_5	1	selection	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.011190386370483682	0.08085059263632803	NA	NA	BOW	bound	433	all	5_5	1	selection	FOC	242	nav	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.004208422725167032	0.06888450721301577	NA	NA	BOW	bound	433	all	5_5	1	selection	FOC	433	all	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.07416087414312257	0.08592064557532816	NA	NA	BOW	bound	618	all	5_5	1	no	5000	5000	nav	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.061940571475841255	-0.2686569045487879	NA	NA	BOW	bound	618	all	5_5	1	no	5000	5000	all	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.02761510758827917	0.134758148118306	NA	NA	BOW	bound	618	all	5_5	1	no	FOC	343	nav	4_4	239	hachelijk
hachelijk.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.05280705098114281	0.13224585649815304	NA	NA	BOW	bound	618	all	5_5	1	no	FOC	618	all	4_4	239	hachelijk
hachelijk.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1651568902634541	-0.039246141376296687	NA	NA	BOW	bound	208	lex	3_3	1	weight	5000	5000	nav	4_4	238	hachelijk
hachelijk.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1634639282330913	-0.1300793300864378	NA	NA	BOW	bound	208	lex	3_3	1	weight	5000	5000	all	4_4	238	hachelijk
hachelijk.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.18966846743953042	0.016837790892456617	NA	NA	BOW	bound	208	lex	3_3	1	weight	FOC	159	nav	4_4	238	hachelijk
hachelijk.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1902240835469702	0.013570230307322241	NA	NA	BOW	bound	208	lex	3_3	1	weight	FOC	208	all	4_4	238	hachelijk
hachelijk.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.14708309194707742	7.18974507201017e-4	NA	NA	BOW	bound	208	lex	3_3	1	selection	5000	5000	nav	4_4	238	hachelijk
hachelijk.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.15174912963188356	-0.11917383711402721	NA	NA	BOW	bound	208	lex	3_3	1	selection	5000	5000	all	4_4	238	hachelijk
hachelijk.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1636637945529738	0.07266003262902242	NA	NA	BOW	bound	208	lex	3_3	1	selection	FOC	159	nav	4_4	238	hachelijk
hachelijk.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.15413944052520254	0.06828943948077654	NA	NA	BOW	bound	208	lex	3_3	1	selection	FOC	208	all	4_4	238	hachelijk
