_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
harden.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.39364202867650994	-0.29875212709826815	NA	NA	bound	326	lex	10_10	1	weight	5000	5000	nav	4_4	277	harden	0.1961620900540832	BOW
harden.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.5005409936331965	-0.648620748866474	NA	NA	bound	326	lex	10_10	1	weight	5000	5000	all	4_4	277	harden	0.19537085327028356	BOW
harden.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.618079000396346	-0.3299351186517539	NA	NA	bound	326	lex	10_10	1	weight	FOC	221	nav	4_4	277	harden	0.15056194584943358	BOW
harden.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.5022533194562151	-0.2805428309901226	NA	NA	bound	326	lex	10_10	1	weight	FOC	326	all	4_4	277	harden	0.1793689442067065	BOW
harden.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.36507128977869874	-0.2108588736978906	NA	NA	bound	326	lex	10_10	1	selection	5000	5000	nav	4_4	277	harden	0.2077491744259232	BOW
harden.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.6049807145229048	-0.8580519022160635	NA	NA	bound	326	lex	10_10	1	selection	5000	5000	all	4_4	277	harden	0.22020231161578876	BOW
harden.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6038337124531351	-0.1987913272507926	NA	NA	bound	326	lex	10_10	1	selection	FOC	221	nav	4_4	277	harden	0.1774920464068843	BOW
harden.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.44333812038301457	-0.19387613020211086	NA	NA	bound	326	lex	10_10	1	selection	FOC	326	all	4_4	277	harden	0.1701095028877057	BOW
harden.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.8766800370286094	0.0018694987348309717	NA	NA	bound	691	lex	10_10	1	no	5000	5000	nav	4_4	279	harden	0.1896568384669393	BOW
harden.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.7307002666562283	-0.1928724746873297	NA	NA	bound	691	lex	10_10	1	no	5000	5000	all	4_4	279	harden	0.2275439566028273	BOW
harden.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0447339499033432	-0.021984434128523377	NA	NA	bound	691	lex	10_10	1	no	FOC	491	nav	4_4	279	harden	0.1774998741460722	BOW
harden.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.8898305011996196	-0.03311931861384385	NA	NA	bound	691	lex	10_10	1	no	FOC	691	all	4_4	279	harden	0.17389874612850087	BOW
harden.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.3169504953997221	-0.1373277579476709	NA	NA	bound	417	all	10_10	1	weight	5000	5000	nav	4_4	279	harden	0.14125234344494364	BOW
harden.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.5408594454501459	-0.49478273252957744	NA	NA	bound	417	all	10_10	1	weight	5000	5000	all	4_4	279	harden	0.17895685574300307	BOW
harden.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5672333686127848	-0.13330682134051572	NA	NA	bound	417	all	10_10	1	weight	FOC	221	nav	4_4	279	harden	0.13949079970138012	BOW
harden.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.43758611376154827	-0.11943416614061114	NA	NA	bound	417	all	10_10	1	weight	FOC	417	all	4_4	279	harden	0.1591655448027758	BOW
harden.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.27701330316659384	-0.008707828509694338	NA	NA	bound	417	all	10_10	1	selection	5000	5000	nav	4_4	279	harden	0.15426066881243283	BOW
harden.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	-1.0404405654159368	0.16035359285871106	NA	NA	bound	417	all	10_10	1	selection	5000	5000	all	4_4	279	harden	0.2064807063965248	BOW
harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5509943712852948	-0.005938702896163202	NA	NA	bound	417	all	10_10	1	selection	FOC	221	nav	4_4	279	harden	0.15891083088819416	BOW
harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.4289016073061076	-0.02944964007549374	NA	NA	bound	417	all	10_10	1	selection	FOC	417	all	4_4	279	harden	0.1548217678113952	BOW
harden.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.8948359131292969	0.6137653668036565	NA	NA	bound	896	all	10_10	1	no	5000	5000	nav	4_4	279	harden	0.1882021701487645	BOW
harden.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-1.454419402635001	1.825884490600582	NA	NA	bound	896	all	10_10	1	no	5000	5000	all	4_4	279	harden	0.2633425564703316	BOW
harden.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-1.037509115908556	0.39544409399692054	NA	NA	bound	896	all	10_10	1	no	FOC	491	nav	4_4	279	harden	0.17826528833942273	BOW
