_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
haten.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.3120527769474287	0.005710323058754299	NA	NA	bound	310	lex	10_10	1	weight	5000	5000	nav	4_4	210	haten	0.28317203950596753	BOW
haten.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.3321066093463273	-0.12621697424864617	NA	NA	bound	310	lex	10_10	1	weight	5000	5000	all	4_4	210	haten	0.2790923614512149	BOW
haten.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.29011135519051273	0.19570665126196723	NA	NA	bound	310	lex	10_10	1	weight	FOC	234	nav	4_4	210	haten	0.29354465355258463	BOW
haten.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.2911373141514179	0.17377971117244267	NA	NA	bound	310	lex	10_10	1	weight	FOC	310	all	4_4	210	haten	0.29742826229250197	BOW
haten.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.34468725319481786	0.020771363418346213	NA	NA	bound	310	lex	10_10	1	selection	5000	5000	nav	4_4	210	haten	0.27503021643053926	BOW
haten.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.35068403308832136	-0.14170303350054686	NA	NA	bound	310	lex	10_10	1	selection	5000	5000	all	4_4	210	haten	0.270260945496883	BOW
haten.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.2897020308731104	0.20287778400134432	NA	NA	bound	310	lex	10_10	1	selection	FOC	234	nav	4_4	210	haten	0.2787261128323341	BOW
haten.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.29525650905346756	0.18751449108844076	NA	NA	bound	310	lex	10_10	1	selection	FOC	310	all	4_4	210	haten	0.2794142893207076	BOW
haten.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.35645839428212656	0.030749788388183957	NA	NA	bound	600	lex	10_10	1	no	5000	5000	nav	4_4	216	haten	0.25649407259709994	BOW
haten.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.3413151964829369	-0.23018904894110384	NA	NA	bound	600	lex	10_10	1	no	5000	5000	all	4_4	216	haten	0.2611718560264191	BOW
haten.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.21994293282823646	0.2741930278755154	NA	NA	bound	600	lex	10_10	1	no	FOC	458	nav	4_4	216	haten	0.2607652712638923	BOW
haten.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.2095703277371902	0.2795705125681526	NA	NA	bound	600	lex	10_10	1	no	FOC	600	all	4_4	216	haten	0.2557195030133398	BOW
haten.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.20506990941610667	-0.009344903279325082	NA	NA	bound	451	all	10_10	1	weight	5000	5000	nav	4_4	228	haten	0.22660143594991047	BOW
haten.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.008610798927092598	-0.11539597698503565	NA	NA	bound	451	all	10_10	1	weight	5000	5000	all	4_4	228	haten	0.26393647218167793	BOW
haten.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.27478703223185574	0.11384457627882946	NA	NA	bound	451	all	10_10	1	weight	FOC	234	nav	4_4	228	haten	0.22308990502650328	BOW
haten.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.2843411476815159	0.09762538112130384	NA	NA	bound	451	all	10_10	1	weight	FOC	451	all	4_4	228	haten	0.20560157520769284	BOW
haten.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.07319274746194941	0.0025282977611093484	NA	NA	bound	451	all	10_10	1	selection	5000	5000	nav	4_4	228	haten	0.19752766586526768	BOW
haten.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.1360752340100387	-0.25126693844482667	NA	NA	bound	451	all	10_10	1	selection	5000	5000	all	4_4	228	haten	0.25215354071705426	BOW
haten.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.17263915269912744	0.11189055223307014	NA	NA	bound	451	all	10_10	1	selection	FOC	234	nav	4_4	228	haten	0.21334584679544744	BOW
haten.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.18781400538534018	0.10904893497877337	NA	NA	bound	451	all	10_10	1	selection	FOC	451	all	4_4	228	haten	0.19930458111861382	BOW
haten.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.11087225385592263	-0.28623659312936095	NA	NA	bound	841	all	10_10	1	no	5000	5000	nav	4_4	229	haten	0.18915760462233014	BOW
haten.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-0.14773156266694287	-0.41255294236887974	NA	NA	bound	841	all	10_10	1	no	5000	5000	all	4_4	229	haten	0.22213409084304822	BOW
haten.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.13630690828465594	0.16412594235804193	NA	NA	bound	841	all	10_10	1	no	FOC	458	nav	4_4	229	haten	0.20528060035380383	BOW
haten.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	0.14782110323109254	0.1640012181766366	NA	NA	bound	841	all	10_10	1	no	FOC	841	all	4_4	229	haten	0.19423354782474145	BOW
haten.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.2738846031857302	-0.008460887271878567	NA	NA	bound	245	lex	5_5	1	weight	5000	5000	nav	4_4	197	haten	0.2831341950396495	BOW
haten.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.29639386795015144	-0.12295006497445049	NA	NA	bound	245	lex	5_5	1	weight	5000	5000	all	4_4	197	haten	0.2874719470643518	BOW
haten.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.26923778714864677	0.15633397744495092	NA	NA	bound	245	lex	5_5	1	weight	FOC	180	nav	4_4	197	haten	0.30448179681631893	BOW
haten.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.26650778136787867	0.12845176214646495	NA	NA	bound	245	lex	5_5	1	weight	FOC	245	all	4_4	197	haten	0.3063624376301198	BOW
haten.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.2950848795238831	-0.007548675644298571	NA	NA	bound	245	lex	5_5	1	selection	5000	5000	nav	4_4	197	haten	0.28019563071263137	BOW
haten.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.3208728472954266	-0.13213161375039983	NA	NA	bound	245	lex	5_5	1	selection	5000	5000	all	4_4	197	haten	0.27846065021710514	BOW
haten.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.2704431070287982	0.15230041117704632	NA	NA	bound	245	lex	5_5	1	selection	FOC	180	nav	4_4	197	haten	0.29138646108996646	BOW
haten.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.2714960855852005	0.12370044963746163	NA	NA	bound	245	lex	5_5	1	selection	FOC	245	all	4_4	197	haten	0.29426114643267737	BOW
haten.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.3329945604546944	0.007071269174056678	NA	NA	bound	374	lex	5_5	1	no	5000	5000	nav	4_4	211	haten	0.27088090516943947	BOW
haten.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.3375921924558411	-0.15331236439295362	NA	NA	bound	374	lex	5_5	1	no	5000	5000	all	4_4	211	haten	0.2710697349361154	BOW
haten.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.2531039725616286	0.1878204819002005	NA	NA	bound	374	lex	5_5	1	no	FOC	282	nav	4_4	211	haten	0.2805778285494305	BOW
