_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
heet.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.9459923874630699	-0.24101931065726387	NA	NA	BOW	bound	495	lex	10_10	1	weight	5000	5000	nav	4_4	325	heet
heet.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.3371250700702392	-1.1633538579553013	NA	NA	BOW	bound	495	lex	10_10	1	weight	5000	5000	all	4_4	325	heet
heet.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.0547277286709746	0.15435895374474481	NA	NA	BOW	bound	495	lex	10_10	1	weight	FOC	359	nav	4_4	325	heet
heet.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.0104939880656663	0.1536351201585214	NA	NA	BOW	bound	495	lex	10_10	1	weight	FOC	495	all	4_4	325	heet
heet.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.0928844832049032	-0.24305757572797207	NA	NA	BOW	bound	495	lex	10_10	1	selection	5000	5000	nav	4_4	325	heet
heet.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.24713401317672332	-1.3168902924200339	NA	NA	BOW	bound	495	lex	10_10	1	selection	5000	5000	all	4_4	325	heet
heet.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9739843398172213	0.3231439212810855	NA	NA	BOW	bound	495	lex	10_10	1	selection	FOC	359	nav	4_4	325	heet
heet.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.9434869561478305	0.3185118873052519	NA	NA	BOW	bound	495	lex	10_10	1	selection	FOC	495	all	4_4	325	heet
heet.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.1527448309792345	0.9612163565142117	NA	NA	BOW	bound	975	lex	10_10	1	no	5000	5000	nav	4_4	331	heet
heet.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.6011121770803654	-2.0622010366591774	NA	NA	BOW	bound	975	lex	10_10	1	no	5000	5000	all	4_4	331	heet
heet.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.1176224802701664	0.6282626996310946	NA	NA	BOW	bound	975	lex	10_10	1	no	FOC	726	nav	4_4	331	heet
heet.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.0871452754914277	0.6489128099976764	NA	NA	BOW	bound	975	lex	10_10	1	no	FOC	975	all	4_4	331	heet
heet.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.7384552834295665	-0.38354470045389266	NA	NA	BOW	bound	622	all	10_10	1	weight	5000	5000	nav	4_4	331	heet
heet.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.3345399944291389	-1.1376090042324725	NA	NA	BOW	bound	622	all	10_10	1	weight	5000	5000	all	4_4	331	heet
heet.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9435600851839654	0.2711438158889001	NA	NA	BOW	bound	622	all	10_10	1	weight	FOC	359	nav	4_4	331	heet
heet.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.8835068422274537	0.2833957502728763	NA	NA	BOW	bound	622	all	10_10	1	weight	FOC	622	all	4_4	331	heet
heet.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.3739243090647338	1.3252352228236335	NA	NA	BOW	bound	622	all	10_10	1	selection	5000	5000	nav	4_4	331	heet
heet.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	1.9342017870679318	0.6397406400846056	NA	NA	BOW	bound	622	all	10_10	1	selection	5000	5000	all	4_4	331	heet
heet.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4994846345405046	0.8028423290708978	NA	NA	BOW	bound	622	all	10_10	1	selection	FOC	359	nav	4_4	331	heet
heet.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.4138210178156502	0.808193170395313	NA	NA	BOW	bound	622	all	10_10	1	selection	FOC	622	all	4_4	331	heet
heet.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.46815481470102116	1.765388096144542	NA	NA	BOW	bound	1294	all	10_10	1	no	5000	5000	nav	4_4	331	heet
heet.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	2.3648358717621565	1.2824372728211053	NA	NA	BOW	bound	1294	all	10_10	1	no	5000	5000	all	4_4	331	heet
heet.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.3740569349775138	1.2957301617993067	NA	NA	BOW	bound	1294	all	10_10	1	no	FOC	726	nav	4_4	331	heet
