_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
heffen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.027491651858853407	-0.2212781715094823	NA	NA	bound	366	lex	10_10	1	weight	5000	5000	nav	4_4	217	heffen	0.07599040438473156	BOW
heffen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.01848992191171441	-0.6721591984133678	NA	NA	bound	366	lex	10_10	1	weight	5000	5000	all	4_4	217	heffen	0.13108554099168082	BOW
heffen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.03603774312189602	-0.19340330753252868	NA	NA	bound	366	lex	10_10	1	weight	FOC	253	nav	4_4	217	heffen	0.08167612681500701	BOW
heffen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.028621052434009187	-0.20930860051899902	NA	NA	bound	366	lex	10_10	1	weight	FOC	366	all	4_4	217	heffen	0.08653679840168443	BOW
heffen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.17423621506042888	-0.3702263824877362	NA	NA	bound	366	lex	10_10	1	selection	5000	5000	nav	4_4	217	heffen	0.09922046233688149	BOW
heffen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.10950174650260057	-0.8706298755519475	NA	NA	bound	366	lex	10_10	1	selection	5000	5000	all	4_4	217	heffen	0.14670066442330876	BOW
heffen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.09244247674699353	-0.21979764054855652	NA	NA	bound	366	lex	10_10	1	selection	FOC	253	nav	4_4	217	heffen	0.08750687176074685	BOW
heffen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.08715870507465917	-0.2384217227760983	NA	NA	bound	366	lex	10_10	1	selection	FOC	366	all	4_4	217	heffen	0.09403106946580939	BOW
heffen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.5655087603852389	-0.41644174386413585	NA	NA	bound	718	lex	10_10	1	no	5000	5000	nav	4_4	218	heffen	0.09865648585458749	BOW
heffen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.6866240946904125	-1.2165503756288212	NA	NA	bound	718	lex	10_10	1	no	5000	5000	all	4_4	218	heffen	0.12195310968272935	BOW
heffen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.3967379297125754	-0.308101870716213	NA	NA	bound	718	lex	10_10	1	no	FOC	502	nav	4_4	218	heffen	0.0928446879366061	BOW
heffen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.39221314301784377	-0.3181788817135878	NA	NA	bound	718	lex	10_10	1	no	FOC	718	all	4_4	218	heffen	0.09759473257784036	BOW
heffen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.11285706264945392	-0.10617307111555965	NA	NA	bound	475	all	10_10	1	weight	5000	5000	nav	4_4	218	heffen	0.06984938474871155	BOW
heffen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.08262253105418729	-0.6547056434542671	NA	NA	bound	475	all	10_10	1	weight	5000	5000	all	4_4	218	heffen	0.12237307789848123	BOW
