_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
heilzaam.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.10529589889971443	-0.07146173381788003	NA	NA	BOW	bound	444	lex	10_10	1	weight	5000	5000	nav	4_4	233	heilzaam
heilzaam.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.10380716688635877	-0.14924842171292968	NA	NA	BOW	bound	444	lex	10_10	1	weight	5000	5000	all	4_4	233	heilzaam
heilzaam.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.07393786891557354	-0.07099376035499592	NA	NA	BOW	bound	444	lex	10_10	1	weight	FOC	351	nav	4_4	233	heilzaam
heilzaam.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.08905274591692708	-0.06643319572796852	NA	NA	BOW	bound	444	lex	10_10	1	weight	FOC	444	all	4_4	233	heilzaam
heilzaam.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.04087170061613114	-0.04304172630763403	NA	NA	BOW	bound	444	lex	10_10	1	selection	5000	5000	nav	4_4	233	heilzaam
heilzaam.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.01944454232719114	-0.14329605714884014	NA	NA	BOW	bound	444	lex	10_10	1	selection	5000	5000	all	4_4	233	heilzaam
heilzaam.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.027723232384839744	-0.04660012329042571	NA	NA	BOW	bound	444	lex	10_10	1	selection	FOC	351	nav	4_4	233	heilzaam
heilzaam.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.03747860157263094	-0.04602693268065575	NA	NA	BOW	bound	444	lex	10_10	1	selection	FOC	444	all	4_4	233	heilzaam
heilzaam.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.05056281945607195	-0.0716827324039493	NA	NA	BOW	bound	879	lex	10_10	1	no	5000	5000	nav	4_4	234	heilzaam
heilzaam.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.10986289937157824	-0.24721007154267763	NA	NA	BOW	bound	879	lex	10_10	1	no	5000	5000	all	4_4	234	heilzaam
heilzaam.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.0756106153885834	-0.07502626650125667	NA	NA	BOW	bound	879	lex	10_10	1	no	FOC	670	nav	4_4	234	heilzaam
heilzaam.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.06334290945417304	-0.0714037243019791	NA	NA	BOW	bound	879	lex	10_10	1	no	FOC	879	all	4_4	234	heilzaam
heilzaam.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.1132981370433923	-0.0782432944704966	NA	NA	BOW	bound	547	all	10_10	1	weight	5000	5000	nav	4_4	235	heilzaam
heilzaam.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.11801705365667099	-0.1315589842263438	NA	NA	BOW	bound	547	all	10_10	1	weight	5000	5000	all	4_4	235	heilzaam
heilzaam.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.08026883038494058	-0.06986150713283058	NA	NA	BOW	bound	547	all	10_10	1	weight	FOC	351	nav	4_4	235	heilzaam
heilzaam.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.09079703435898993	-0.0683711084273802	NA	NA	BOW	bound	547	all	10_10	1	weight	FOC	547	all	4_4	235	heilzaam
heilzaam.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.04023088121179787	0.08608168229892305	NA	NA	BOW	bound	547	all	10_10	1	selection	5000	5000	nav	4_4	235	heilzaam
heilzaam.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.13676017032480478	0.22955200511896776	NA	NA	BOW	bound	547	all	10_10	1	selection	5000	5000	all	4_4	235	heilzaam
