_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herinneren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.3727909229518077	0.06608600161624666	NA	NA	bound	297	lex	10_10	1	weight	5000	5000	nav	4_4	222	herinneren	0.25842376772120224	BOW
herinneren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.4382653464561804	0.00288242742990219	NA	NA	bound	297	lex	10_10	1	weight	5000	5000	all	4_4	222	herinneren	0.26642535167265385	BOW
herinneren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3827436996251501	0.15253067360172523	NA	NA	bound	297	lex	10_10	1	weight	FOC	199	nav	4_4	222	herinneren	0.27703827676063086	BOW
herinneren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.3855347596917408	0.14897938612689612	NA	NA	bound	297	lex	10_10	1	weight	FOC	297	all	4_4	222	herinneren	0.26897449213187385	BOW
herinneren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.4064011897905688	-0.010665952422897569	NA	NA	bound	297	lex	10_10	1	selection	5000	5000	nav	4_4	222	herinneren	0.2588992295229017	BOW
herinneren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.4345914184103475	-0.1319105348599298	NA	NA	bound	297	lex	10_10	1	selection	5000	5000	all	4_4	222	herinneren	0.26525710565696975	BOW
herinneren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4136315734910846	0.07720228551907216	NA	NA	bound	297	lex	10_10	1	selection	FOC	199	nav	4_4	222	herinneren	0.2738716229895268	BOW
herinneren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.4092468888366694	0.07934480584626633	NA	NA	bound	297	lex	10_10	1	selection	FOC	297	all	4_4	222	herinneren	0.2638127614668167	BOW
herinneren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.4193708690210776	-0.1776872315448635	NA	NA	bound	706	lex	10_10	1	no	5000	5000	nav	4_4	239	herinneren	0.26515057565740907	BOW
herinneren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.43317150281491384	-0.3552989061524808	NA	NA	bound	706	lex	10_10	1	no	5000	5000	all	4_4	239	herinneren	0.2719600824640295	BOW
herinneren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.3989703664633177	-0.12995034443894804	NA	NA	bound	706	lex	10_10	1	no	FOC	522	nav	4_4	239	herinneren	0.2703480249119879	BOW
herinneren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.3925121771940079	-0.11644433107421931	NA	NA	bound	706	lex	10_10	1	no	FOC	706	all	4_4	239	herinneren	0.26565939283736156	BOW
herinneren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.3602038856547697	-0.0034538367480187082	NA	NA	bound	461	all	10_10	1	weight	5000	5000	nav	4_4	240	herinneren	0.15520782497850405	BOW
herinneren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.34153475670301453	-0.05952371924461763	NA	NA	bound	461	all	10_10	1	weight	5000	5000	all	4_4	240	herinneren	0.2026695610664219	BOW
