_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herinneren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.3078038747325378	0.12473887888075948	NA	NA	bound	297	lex	10_10	1	weight	5000	5000	nav	4_4	222	herinneren	0.2005376265774728	BOW
herinneren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-1.4569348306642262	-0.1025541903813157	NA	NA	bound	297	lex	10_10	1	weight	5000	5000	all	4_4	222	herinneren	0.17204434851844622	BOW
herinneren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.3538562935845644	0.1843955437138084	NA	NA	bound	297	lex	10_10	1	weight	FOC	199	nav	4_4	222	herinneren	0.20674017306426873	BOW
herinneren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.338297490611044	0.19285760509748875	NA	NA	bound	297	lex	10_10	1	weight	FOC	297	all	4_4	222	herinneren	0.19042269969555947	BOW
herinneren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.3172639847258834	-0.06925383714364396	NA	NA	bound	297	lex	10_10	1	selection	5000	5000	nav	4_4	222	herinneren	0.21177328285672972	BOW
herinneren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.508697930363267	-0.45490066772084276	NA	NA	bound	297	lex	10_10	1	selection	5000	5000	all	4_4	222	herinneren	0.2103210545718196	BOW
herinneren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.3419298433843914	-0.010218332114207768	NA	NA	bound	297	lex	10_10	1	selection	FOC	199	nav	4_4	222	herinneren	0.214781383609568	BOW
herinneren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.3222206189347467	0.006617301056315698	NA	NA	bound	297	lex	10_10	1	selection	FOC	297	all	4_4	222	herinneren	0.19399029607865179	BOW
herinneren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.8116263958160717	-0.4488190958976992	NA	NA	bound	706	lex	10_10	1	no	5000	5000	nav	4_4	239	herinneren	0.22743662295787118	BOW
herinneren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.9481010060450035	-1.227606572820412	NA	NA	bound	706	lex	10_10	1	no	5000	5000	all	4_4	239	herinneren	0.2001128259614184	BOW
herinneren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.7844410095795011	-0.39704686884782225	NA	NA	bound	706	lex	10_10	1	no	FOC	522	nav	4_4	239	herinneren	0.23016162978485852	BOW
herinneren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.7535741117863017	-0.38496186265740506	NA	NA	bound	706	lex	10_10	1	no	FOC	706	all	4_4	239	herinneren	0.2163734896930132	BOW
herinneren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	1.0396688004163652	-0.06047337288009979	NA	NA	bound	461	all	10_10	1	weight	5000	5000	nav	4_4	240	herinneren	0.07463671414617161	BOW
herinneren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	1.102032129504537	-0.17518109856566524	NA	NA	bound	461	all	10_10	1	weight	5000	5000	all	4_4	240	herinneren	0.10447085195834133	BOW
herinneren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.7449720462214119	-0.051775155688648544	NA	NA	bound	461	all	10_10	1	weight	FOC	199	nav	4_4	240	herinneren	0.11742229828999746	BOW
herinneren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.7664052469435848	-0.07687146867028911	NA	NA	bound	461	all	10_10	1	weight	FOC	461	all	4_4	240	herinneren	0.09570652679686427	BOW
herinneren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.3420811524213739	-0.31060286009760435	NA	NA	bound	461	all	10_10	1	selection	5000	5000	nav	4_4	240	herinneren	0.14067344043275737	BOW
herinneren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.17905210874958766	-1.1968714101834783	NA	NA	bound	461	all	10_10	1	selection	5000	5000	all	4_4	240	herinneren	0.22811915902293484	BOW
herinneren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.04831530584840421	-0.3831118575372786	NA	NA	bound	461	all	10_10	1	selection	FOC	199	nav	4_4	240	herinneren	0.1834336499953425	BOW
herinneren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.10883030341485399	-0.38374238651377013	NA	NA	bound	461	all	10_10	1	selection	FOC	461	all	4_4	240	herinneren	0.15223655975825298	BOW
herinneren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.08049174767777374	-1.3005271008606465	NA	NA	bound	1046	all	10_10	1	no	5000	5000	nav	4_4	240	herinneren	0.1996720061168474	BOW
herinneren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-0.682681799636424	-2.1372672995155315	NA	NA	bound	1046	all	10_10	1	no	5000	5000	all	4_4	240	herinneren	0.23355114696185025	BOW
herinneren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.23202922904377457	-1.1549810808509764	NA	NA	bound	1046	all	10_10	1	no	FOC	522	nav	4_4	240	herinneren	0.16968230364556702	BOW
herinneren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.22526805339451714	-1.1959897845090774	NA	NA	bound	1046	all	10_10	1	no	FOC	1046	all	4_4	240	herinneren	0.16053174955087687	BOW
herinneren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8787600816229544	0.3354051186718052	NA	NA	bound	217	lex	5_5	1	weight	5000	5000	nav	4_4	203	herinneren	0.1836164006418698	BOW
