_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herroepen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.07562711636404136	-0.41272417904834385	NA	NA	bound	353	lex	10_10	1	weight	5000	5000	nav	4_4	234	herroepen	0.16636810616675404	BOW
herroepen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.17408189158058185	-0.6386711260561386	NA	NA	bound	353	lex	10_10	1	weight	5000	5000	all	4_4	234	herroepen	0.22026192153680496	BOW
herroepen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.03216333428561664	-0.4735024711785724	NA	NA	bound	353	lex	10_10	1	weight	FOC	259	nav	4_4	234	herroepen	0.16083470995050467	BOW
herroepen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.05222724208203564	-0.4643819466432079	NA	NA	bound	353	lex	10_10	1	weight	FOC	353	all	4_4	234	herroepen	0.1591557026544361	BOW
herroepen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.039600373787019076	-0.5794549608198317	NA	NA	bound	353	lex	10_10	1	selection	5000	5000	nav	4_4	234	herroepen	0.2178686462039926	BOW
herroepen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.027116844658340845	-0.678364094832791	NA	NA	bound	353	lex	10_10	1	selection	5000	5000	all	4_4	234	herroepen	0.2317934102834625	BOW
herroepen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.08441277640884208	-0.46985467162741673	NA	NA	bound	353	lex	10_10	1	selection	FOC	259	nav	4_4	234	herroepen	0.19808822937124823	BOW
herroepen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.06186087165839603	-0.4462308253447703	NA	NA	bound	353	lex	10_10	1	selection	FOC	353	all	4_4	234	herroepen	0.1988023795189673	BOW
herroepen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.4073278856659625	-0.8953929925024577	NA	NA	bound	676	lex	10_10	1	no	5000	5000	nav	4_4	235	herroepen	0.24085005413404567	BOW
herroepen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.49975582422868775	-1.094507481175749	NA	NA	bound	676	lex	10_10	1	no	5000	5000	all	4_4	235	herroepen	0.2274547792745041	BOW
herroepen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.3886203439577888	-0.7066911133642885	NA	NA	bound	676	lex	10_10	1	no	FOC	488	nav	4_4	235	herroepen	0.2150271808786222	BOW
herroepen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.3619708827061385	-0.6736906121270535	NA	NA	bound	676	lex	10_10	1	no	FOC	676	all	4_4	235	herroepen	0.21658664338869363	BOW
herroepen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.2440453735646926	-0.3180241579743573	NA	NA	bound	472	all	10_10	1	weight	5000	5000	nav	4_4	236	herroepen	0.17279042221957394	BOW
herroepen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.2897521480076192	-0.5320146235079274	NA	NA	bound	472	all	10_10	1	weight	5000	5000	all	4_4	236	herroepen	0.22746214818536728	BOW
herroepen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.20114797330736417	-0.3999682745273559	NA	NA	bound	472	all	10_10	1	weight	FOC	259	nav	4_4	236	herroepen	0.15855482656097525	BOW
herroepen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.18735369165370114	-0.38461921311129044	NA	NA	bound	472	all	10_10	1	weight	FOC	472	all	4_4	236	herroepen	0.16095446356433427	BOW
herroepen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	1.21048864542497	-0.11511465715660282	NA	NA	bound	472	all	10_10	1	selection	5000	5000	nav	4_4	236	herroepen	0.22747741443009983	BOW
herroepen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	1.1388619414465897	-0.071933059719205	NA	NA	bound	472	all	10_10	1	selection	5000	5000	all	4_4	236	herroepen	0.27049006653303465	BOW
herroepen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.7420352008769576	-0.2857715519190528	NA	NA	bound	472	all	10_10	1	selection	FOC	259	nav	4_4	236	herroepen	0.21554404986735115	BOW
herroepen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.6885905391719254	-0.2640775675526347	NA	NA	bound	472	all	10_10	1	selection	FOC	472	all	4_4	236	herroepen	0.234605799611972	BOW
herroepen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	1.9070217797970557	0.09655150754688262	NA	NA	bound	940	all	10_10	1	no	5000	5000	nav	4_4	236	herroepen	0.1963255641023106	BOW
herroepen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	2.174986120428769	0.41586128825052443	NA	NA	bound	940	all	10_10	1	no	5000	5000	all	4_4	236	herroepen	0.2319183872686575	BOW
herroepen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	1.352869792636135	-0.3098633793432495	NA	NA	bound	940	all	10_10	1	no	FOC	488	nav	4_4	236	herroepen	0.2165903907390276	BOW
herroepen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	1.3485759240809885	-0.32098811337907257	NA	NA	bound	940	all	10_10	1	no	FOC	940	all	4_4	236	herroepen	0.22074912807836367	BOW
herroepen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.3549490422808773	-0.22517997125953002	NA	NA	bound	310	lex	5_5	1	weight	5000	5000	nav	4_4	232	herroepen	0.16846658296693748	BOW
herroepen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.5402589256749256	-0.22960805635867063	NA	NA	bound	310	lex	5_5	1	weight	5000	5000	all	4_4	232	herroepen	0.20909060945424277	BOW
herroepen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3228056909685539	-0.267320506273833	NA	NA	bound	310	lex	5_5	1	weight	FOC	223	nav	4_4	232	herroepen	0.17304782322494489	BOW
herroepen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.3222050723498362	-0.2642852718182418	NA	NA	bound	310	lex	5_5	1	weight	FOC	310	all	4_4	232	herroepen	0.17102343906304152	BOW
herroepen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.3957484091792583	-0.2637773039288881	NA	NA	bound	310	lex	5_5	1	selection	5000	5000	nav	4_4	232	herroepen	0.21321971432444572	BOW
herroepen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.5455449857785228	-0.21673271874668276	NA	NA	bound	310	lex	5_5	1	selection	5000	5000	all	4_4	232	herroepen	0.2193802773719516	BOW
herroepen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.28064697809181466	-0.24055227232858478	NA	NA	bound	310	lex	5_5	1	selection	FOC	223	nav	4_4	232	herroepen	0.20121740643086125	BOW
