_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herstellen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.12760170142033497	-0.06470034519804296	NA	NA	bound	362	lex	10_10	1	weight	5000	5000	nav	4_4	234	herstellen	0.2547229768536621	BOW
herstellen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.14420828533110247	-0.14727260900423642	NA	NA	bound	362	lex	10_10	1	weight	5000	5000	all	4_4	234	herstellen	0.25956180870660744	BOW
herstellen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12350840604512592	-0.023779964440941742	NA	NA	bound	362	lex	10_10	1	weight	FOC	248	nav	4_4	234	herstellen	0.24107608204402703	BOW
herstellen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1257854227709287	-0.018427248150532396	NA	NA	bound	362	lex	10_10	1	weight	FOC	362	all	4_4	234	herstellen	0.24343535257957502	BOW
herstellen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.2288359678966475	0.06629912763941051	NA	NA	bound	362	lex	10_10	1	selection	5000	5000	nav	4_4	234	herstellen	0.2545256377794881	BOW
herstellen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.20476825229143653	0.031036921356442544	NA	NA	bound	362	lex	10_10	1	selection	5000	5000	all	4_4	234	herstellen	0.2481382245872126	BOW
herstellen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1575552884388546	0.06186467233518534	NA	NA	bound	362	lex	10_10	1	selection	FOC	248	nav	4_4	234	herstellen	0.24506919328914603	BOW
herstellen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.1649875618372548	0.07198269320007594	NA	NA	bound	362	lex	10_10	1	selection	FOC	362	all	4_4	234	herstellen	0.24348389707566465	BOW
herstellen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2117038670866032	0.17076385374184966	NA	NA	bound	750	lex	10_10	1	no	5000	5000	nav	4_4	238	herstellen	0.24828493272578758	BOW
herstellen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.22103599865700982	0.23390099656717955	NA	NA	bound	750	lex	10_10	1	no	5000	5000	all	4_4	238	herstellen	0.22811093024920417	BOW
herstellen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.16648228482841906	0.1427271742774913	NA	NA	bound	750	lex	10_10	1	no	FOC	541	nav	4_4	238	herstellen	0.24674036061809804	BOW
herstellen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.17105367919168663	0.14973401724345178	NA	NA	bound	750	lex	10_10	1	no	FOC	750	all	4_4	238	herstellen	0.24238462670472738	BOW
herstellen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	9.920412853388866e-4	-0.064654216002043	NA	NA	bound	490	all	10_10	1	weight	5000	5000	nav	4_4	239	herstellen	0.23487143843154623	BOW
herstellen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.07423925016181472	-0.15007735031316513	NA	NA	bound	490	all	10_10	1	weight	5000	5000	all	4_4	239	herstellen	0.24111231606376213	BOW
herstellen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.013795356382432183	-0.03646817464189875	NA	NA	bound	490	all	10_10	1	weight	FOC	248	nav	4_4	239	herstellen	0.21829810839612124	BOW
herstellen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.015574004250835041	-0.01797390657106532	NA	NA	bound	490	all	10_10	1	weight	FOC	490	all	4_4	239	herstellen	0.2208335347375537	BOW
herstellen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.20671460284577833	0.21187589051151573	NA	NA	bound	490	all	10_10	1	selection	5000	5000	nav	4_4	239	herstellen	0.1398391684786244	BOW
herstellen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.28834570755123573	0.2812509872776432	NA	NA	bound	490	all	10_10	1	selection	5000	5000	all	4_4	239	herstellen	0.1457129956905605	BOW
herstellen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.06521033760343989	0.1465008927096494	NA	NA	bound	490	all	10_10	1	selection	FOC	248	nav	4_4	239	herstellen	0.2394403350403911	BOW
