_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
hoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.2243167584443644	0.12901503326594335	1	5000	5000	300	hoop	NA	NA	bound	445	lex	10_10	weight	nav	4_4	0.2686365673048859	BOW
hoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-1.2813253015596198	-0.42183075273499243	1	5000	5000	300	hoop	NA	NA	bound	445	lex	10_10	weight	all	4_4	0.19666391480421813	BOW
hoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.255276911773963	0.6229193893918182	1	FOC	334	300	hoop	NA	NA	bound	445	lex	10_10	weight	nav	4_4	0.23964735542043422	BOW
hoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.203135318989047	0.5467039856731243	1	FOC	445	300	hoop	NA	NA	bound	445	lex	10_10	weight	all	4_4	0.24129497273139894	BOW
hoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.4641339909428601	-0.018773365094260332	1	5000	5000	300	hoop	NA	NA	bound	445	lex	10_10	selection	nav	4_4	0.27948109505139984	BOW
hoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.4895557063255072	-0.5966423794039118	1	5000	5000	300	hoop	NA	NA	bound	445	lex	10_10	selection	all	4_4	0.20554358263140915	BOW
hoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.4561906227266168	0.2579840557529975	1	FOC	334	300	hoop	NA	NA	bound	445	lex	10_10	selection	nav	4_4	0.25639859523401765	BOW
hoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.3987823517273101	0.20834691672171	1	FOC	445	300	hoop	NA	NA	bound	445	lex	10_10	selection	all	4_4	0.2544603598265756	BOW
hoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.6767171805598349	-0.8725542582791675	1	5000	5000	309	hoop	NA	NA	bound	1049	lex	10_10	no	nav	4_4	0.25559170518206037	BOW
hoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.5590905035720766	-1.691386559935829	1	5000	5000	309	hoop	NA	NA	bound	1049	lex	10_10	no	all	4_4	0.2277782121289696	BOW
hoop.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.7113606594447897	-0.6198773508726632	1	FOC	812	309	hoop	NA	NA	bound	1049	lex	10_10	no	nav	4_4	0.24640304699042492	BOW
hoop.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.668989076010013	-0.6090104892493198	1	FOC	1049	309	hoop	NA	NA	bound	1049	lex	10_10	no	all	4_4	0.23543717876595413	BOW
hoop.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.319239446429166	-0.5602297553515546	1	5000	5000	311	hoop	NA	NA	bound	582	all	10_10	weight	nav	4_4	0.2159188487647264	BOW
hoop.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.5392043778967198	-0.8747651490639647	1	5000	5000	311	hoop	NA	NA	bound	582	all	10_10	weight	all	4_4	0.2080391755578589	BOW
hoop.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1254214556948279	-0.15262489130031856	1	FOC	334	311	hoop	NA	NA	bound	582	all	10_10	weight	nav	4_4	0.24279409350308112	BOW
hoop.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.1328074409418313	-0.1584440966097026	1	FOC	582	311	hoop	NA	NA	bound	582	all	10_10	weight	all	4_4	0.22732878760574293	BOW
hoop.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.4567042830100996	-1.012266586063294	1	5000	5000	311	hoop	NA	NA	bound	582	all	10_10	selection	nav	4_4	0.23425029836740582	BOW
hoop.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.8636214602198179	-1.380572395998055	1	5000	5000	311	hoop	NA	NA	bound	582	all	10_10	selection	all	4_4	0.21802806997871427	BOW
hoop.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0492488413006152	-0.7186784001717467	1	FOC	334	311	hoop	NA	NA	bound	582	all	10_10	selection	nav	4_4	0.25087864298668683	BOW
