pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
0.6362234	5	-0.072770126	1.0	19257	!/name
0.040851224	20	-0.66739196	4.0	142029	!/punct
0.6553319	1281	0.88827854	653.0	4844510	"""/punct"
-0.5982147	4	-1.0854895	1.0	52896	&/name
6.6671395	1			10	&L/name
0.19826742	457	0.3213752	209.0	2720890	'/punct
8.8699045	1	9.782505	1.0	1	'11-Verdieping/noun
1.0121143	1			2605	'98/noun
4.3723197	1	5.2716455	1.0	91	's-Gravesande/name
-0.36970988	6	-1.2538494	1.0	62265	's/adv
-0.43122682	1	0.46846914	1.0	11206	's/det
0.19165875	3	-0.00723287	1.0	17963	't/name
-0.7642817	174	-0.9379282	60.0	2759129	(/punct
-0.7378876	177	-0.8519851	64.0	2758869	)/punct
2.646634	1			530	**/num
-0.636453	8	-0.7611608	3.0	117193	*/tag
0.14314345	4			24958	,/name
0.06652224	2698	0.26816675	1333.0	18092245	,/punct
-0.37578237	7	-0.7538904	2.0	75440	--/punct
-0.22890438	116	-0.038652636	57.0	1059446	-/punct
8.8699045	1			1	-bevrouwing/noun
8.8699045	1			1	-land/verb
4.1319532	1	5.0386605	1.0	115	-zijn/noun
4.646727	1			71	......./num
0.05638665	15	-0.14028883	5.0	103573	.../punct
2.4128208	1			657	...?/num
1.0061955	2	1.2150702	1.0	5416	../punct
0.14820282	4494	0.36069667	2242.0	28225482	./punct
0.57588816	3			13088	//name
-0.19983847	5	-0.92393386	1.0	45910	//punct
5.732239	1			24	0,1/adj
1.2335625	1			2099	0,1/num
1.141995	1			2306	0,7/num
0.6485734	1			3803	0-0/noun
-0.6163503	1			13333	0-2/num
-0.6540123	1			13863	0/name
1.4891812	1	2.3824954	1.0	1668	0/noun
-1.9193559	1			49075	0/num
1.8902937	1			1118	00/num
7.933811	1			3	050-63.03.00/num
5.7065415	1			27	072/num
8.176757	1			2	0800.20.20.07/num
3.7546089	1			171	1,06/num
0.51707894	1			4322	1,1/num
0.22673963	1			5767	1,3/num
1.1018682	2	1.3091592	1.0	4810	1,6/num
3.7250297	1			174	1,83/num
3.9543128	1			139	1,84/num
8.8699045	1			1	1-'S-HERENELDEREN/name
-1.4786327	1			31566	1-0/num
4.1236687	1			116	1-0_zege/noun
-0.47956288	1			11709	1-1/noun
0.61850137	3	1.1186606	2.0	11643	1-1/num
0.22047321	1			5792	1-2/num
2.0680654	1			914	1-6/noun
1.5236362	1			1565	1-6/num
8.8699045	1			1	1-Paal/noun
8.8699045	1			1	1-actualiteitsmagazine/name
6.790463	1			8	1.711/num
-0.938666	3	-1.1469458	1.0	56531	1/name
-0.86542845	4	-1.3552561	1.0	69141	1/noun
-0.99830127	6	-0.7918416	3.0	118827	1/num
2.843797	1			424	10,2/num
-1.0805335	1	-0.18204246	1.0	21393	10/noun
-1.1482267	4	-1.6325141	1.0	91258	10/num
3.0379486	2			691	100%/num
-0.4060832	1			10904	100.000/num
-1.0971551	2	-0.8891996	1.0	43355	100/num
2.5776873	1			561	100ste/num
1.1557626	1			2290	102/num
-0.015375909	5	-0.7252884	1.0	36830	11/noun
-1.7263689	1			40771	11/num
0.16799259	1			6110	110/num
7.078145	1			6	11020/num
7.48361	1	8.396211	1.0	4	11026/num
7.48361	1	8.396211	1.0	4	11040/num
6.790463	1			8	11050/num
7.2604666	1	8.173067	1.0	5	11084/num
1.3444263	1	2.2480094	1.0	1880	114/num
0.8484348	1			3091	115/num
6.790463	1	7.7030635	1.0	8	11526/num
6.9239945	1			7	11548/num
1.1966348	1			2182	118/num
5.6550364	1			26	12.12/num
-0.9424952	1	-0.044695377	1.0	18653	12/noun
-0.973895	3			57411	12/num
-0.5713532	1			12795	120/num
1.1647772	1			2274	1200/num
6.472009	1			11	12348/num
6.67268	1	7.5852804	1.0	9	12394/num
7.771292	2	7.9907455	1.0	6	12404/num
0.17862351	1			6058	125/num
7.2604666	1			5	12664/num
7.771292	1	8.683892	1.0	3	12750/num
1.2977873	1			1984	128/num
7.771292	1			3	12828/num
-1.050278	1	-0.1515664	1.0	20739	13/noun
-1.7114656	1			40176	13/num
0.79164267	2	0.9992428	1.0	6560	130/num
6.8157806	1	7.7030635	1.0	8	1327/noun
1.5599227	1			1517	136/num
-0.13435227	3			24865	14/noun
-1.8951473	1	-0.9928407	1.0	48120	14/num
5.778862	1	6.6914625	1.0	22	15.33/num
8.8699045	1			1	15.627/num
0.17482454	5	0.5607384	3.0	30549	15/noun
-2.2236536	1	-1.3210793	1.0	66844	15/num
0.15321307	1			6208	1500/num
8.8699045	1			1	15068/num
-1.0177001	1			20089	16/noun
-1.0237865	2	-0.8143048	1.0	40303	16/num
0.2138802	1			5839	160/num
-0.27434152	4	-0.7583627	1.0	38139	17/num
-0.25413337	3			28146	18/noun
-1.1400142	2	-0.93095404	1.0	45254	18/num
8.8699045	1			1	1858-1916/noun
3.028028	2	3.9295843	2.0	700	186/num
8.8699045	1	9.782505	1.0	1	18TECandapos;S/noun
0.50702864	1			4392	19-jarige/adj
0.90536636	1			2898	19.45/noun
-1.5022968	1			32622	19/num
1.6795299	1			1337	1918/noun
6.888903	1			8	1926/name
1.3979723	1			1772	1930/noun
1.6202631	1			1428	1932/noun
1.0848696	2	1.2980416	1.0	4856	1945/noun
1.0147668	1			2612	1954/noun
1.5960141	2			2919	1956/noun
4.7763934	1	5.6881604	1.0	60	1958/name
0.7326548	1			3456	1963/noun
1.5844436	3	2.0851564	2.0	4419	1968/noun
0.5987525	1			3951	1969/noun
0.97783536	2	1.8834906	2.0	5409	1970/noun
0.5979854	1			3955	1971/noun
0.3740166	1	1.2796389	1.0	4944	1972/noun
0.22647516	1			5791	1976/noun
0.286755	1			5396	1979/noun
-0.06026556	1	0.84577936	1.0	7643	1980/noun
0.85537857	2	1.0687586	1.0	6105	1983/noun
3.28172	1			271	1984/name
-0.018493606	1			7315	1985/noun
-0.28486505	1	0.6219064	1.0	9548	1988/noun
-0.5176318	1	0.38909325	1.0	12049	1989/noun
2.254442	1	3.1526463	1.0	766	199/num
-0.7280561	1	0.17847684	1.0	14872	1991/noun
-0.14075862	2	0.07281451	1.0	16536	1992/noun
-0.49164298	2	-0.27838162	1.0	23494	1994/noun
1.2666796	1			2025	1994/num
1.9876721	1			989	1995/name
-0.21958944	3	-0.41161194	1.0	26842	1995/noun
-1.6218127	1			36388	1997/noun
-0.5782976	4			51305	1998/noun
-0.95437753	3			56174	1999/noun
