pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
2.6484938	1			592	!!!/punct
-0.0007280162	17	-0.13662645	6.0	142029	!/punct
-0.3904254	399	-0.5407445	138.0	4844510	"""/punct"
-1.8639086	1			52896	&/name
3.8529656	1	4.758133	1.0	174	'/det
-0.17095315	280	-0.33131045	96.0	2720890	'/punct
8.2973795	1			2	'40-'44/num
4.0471005	1			141	'72/noun
3.828889	1			175	'81/noun
0.35702187	11	-0.029936709	3.0	62265	's/adv
1.2988337	5	0.59376955	1.0	11206	's/det
0.9937554	1			3006	(/noun
0.8629613	785	0.3025138	183.0	2759129	(/punct
1.255684	1	2.1660545	1.0	2313	)/noun
0.79829	729	0.87962335	319.0	2758869	)/punct
-1.9021275	2			117193	*/tag
0.47400746	3	0.2794621	1.0	15336	+/prep
6.2179384	1			16	+0,3/num
7.752153	1			4	+1,0/num
6.1661763	1			17	+1,4/num
-0.06248152	2102	-0.08391547	827.0	18092245	,/punct
-0.40930006	6	-0.62859	2.0	75440	--/punct
-0.18392958	2	0.7224751	2.0	19634	-/num
-0.06608538	121	-0.1277621	46.0	1059446	-/punct
5.8335266	1	6.7297516	1.0	24	-0,1/num
6.178117	1	7.081972	1.0	17	-0,8/num
8.990527	1			1	-0.9^m_s/noun
9.501352	1	10.195487	1.0	1	-110^m/noun
5.254049	1			44	-Feyenoord/name
8.990527	1			1	-huppelde/noun
4.253452	1			115	-niet/noun
8.990527	1	9.907805	1.0	1	-smeek/adj
3.3580616	1			283	-vrouw/noun
3.4608996	1	4.366542	1.0	256	-vrouwen/noun
-0.33375534	9	-0.23813197	4.0	103573	.../punct
-0.006151252	3413	0.036303196	1430.0	28225482	./punct
0.29102904	2			13088	//name
-0.99553764	2			45910	//punct
3.35431	1			285	0,35/num
1.2130487	1			2426	0,4/num
8.990527	4	9.907805	4.0	4	0,762^m/noun
8.990527	1	9.907805	1.0	1	0,838^m/noun
4.691882	2	5.605431	2.0	148	0,90/num
8.054434	1	8.942724	1.0	3	0,914/num
8.990527	2	9.907805	2.0	2	0,914^m/noun
0.014941178	1	0.925998	1.0	8010	0-3/num
3.3203013	1			297	000/num
2.0337436	1			1089	01/num
6.0408387	2	6.943822	2.0	40	02.10/num
5.7096157	1			29	02.20/num
6.5056205	1			12	02.55/num
1.2169536	1			2436	04/name
6.9110856	1	7.828364	1.0	8	0_meter/noun
8.990527	1	9.907805	1.0	1	1,067/num
8.990527	1	9.907805	1.0	1	1,067^m/noun
2.5926812	1	3.4974248	1.0	610	1,15/num
0.09689262	1	1.0017169	1.0	7412	1,2/num
0.51208514	1			4888	1,4/num
2.1705108	1			931	1,50/num
8.990527	1			1	1,54m/noun
3.224396	1			324	1,55/num
4.07677	1	4.9850907	1.0	138	1,61/num
4.184868	1	5.0905523	1.0	124	1,62/num
3.9490395	1			157	1,63/num
4.154642	1	5.059689	1.0	128	1,69/num
4.432973	1			97	1,71/num
4.1791563	1			124	1,79/num
3.592817	2	3.806926	1.0	448	1,85/num
4.3941455	2			202	1,86/num
7.1987677	1			6	1,87m/noun
4.3903694	1	5.305138	1.0	100	1,91/num
0.26859877	1	1.1787115	1.0	6250	1-2/noun
8.990527	1			1	1-3^maart/noun
1.1326402	1			2622	1./noun
3.6702156	227	3.859512	110.0	46650	1./num
-0.077661976	1	0.82892704	1.0	8825	1.000/num
8.990527	1			1	1.06.80/num
8.990527	1	9.907805	1.0	1	1.11.50/num
8.990527	1	9.907805	1.0	1	1.15.20/num
8.2973795	1	9.214658	1.0	2	1.44.59/num
2.1112816	7			6921	1.500/num
5.994795	1			20	1.500^meter/noun
3.2033231	1			329	1.500_meter/noun
7.891915	1			3	1.51.15/num
8.552272	1			2	1.600/name
-1.9166768	1			56531	1/name
-2.131112	1			69141	1/noun
0.91412187	36	1.0074352	16.0	118827	1/num
4.897016	1	5.7989826	1.0	61	10,20/num
0.59304506	3	1.0929643	2.0	13558	10.000/num
5.8994846	1			22	10.000^m/noun
7.604233	1			4	10.11/name
8.990527	1	9.907805	1.0	1	10.14/name
5.69469	1			27	10.22/num
8.990527	1	9.907805	1.0	1	10.24.05/num
5.7716513	1	6.6889296	1.0	25	10.28/num
5.965236	1			21	10.29/num
5.5310607	1			32	10.31/num
5.020235	1	5.9281235	1.0	54	10.35/num
6.35147	1			14	10.44/num
3.3054178	1	4.2128115	1.0	298	10.45/noun
3.6820118	1	4.5964484	1.0	205	10.45/num
8.990527	1	9.907805	1.0	1	10.52.67/num
8.990527	1			1	10.61/name
6.7933025	1	7.710581	1.0	9	10.62/num
6.4294314	1			13	10.78/num
-0.9599299	1			21393	10/noun
-0.80446225	5	-0.8140665	2.0	91258	10/num
2.422976	4	3.0444374	3.0	2878	100/noun
2.2621448	51	2.4141545	24.0	43355	100/num
-0.021185486	1			8407	1000/num
6.521218	35	7.280122	30.0	416	100^m/noun
6.30353	4	6.920441	3.0	60	100^meter/noun
3.815508	4	4.027971	2.0	717	100_meter/noun
4.0230775	5			725	100m/noun
2.8447332	1	3.7489743	1.0	474	11,2/num
6.4333	1			13	11,26/num
6.4568305	1			13	11-25/num
2.389229	1			754	11-jarige/adj
0.073524766	1	0.98952323	1.0	7470	11./num
2.8942804	4	3.7982106	4.0	1814	11.000/num
5.4437876	1	6.352457	1.0	35	11.16/num
3.043929	1			390	11.30/num
5.53737	1	6.4499125	1.0	32	11.32/num
5.8994846	1	6.816763	1.0	22	11.37/num
7.891915	1			3	11.4/num
8.2973795	1			2	11.43/noun
6.157314	1	7.074592	1.0	17	11.43/num
2.9721773	1	3.8825433	1.0	415	11.45/noun
4.712473	1	5.627673	1.0	74	11.55/num
7.0517855	2	7.268748	1.0	14	11.70/num
7.1987677	1	8.116046	1.0	6	11.71/num
6.35147	1	7.268748	1.0	14	11.72/num
7.7377644	2	7.961895	1.0	7	11.75/num
7.381089	1			5	11.78/num
7.891915	1			3	11.88/num
6.7933025	1			9	11.92/num
7.285779	2	8.203057	2.0	11	11.98/num
-0.81105506	2	-0.5999879	1.0	36830	11/noun
8.990527	1	9.907805	1.0	1	110$^m/noun
3.6299393	2			432	110/noun
3.5844438	27	4.190963	20.0	6110	110/num
9.032001	32	9.907805	31.0	31	110^m/noun
8.990527	6	9.907805	6.0	6	110^meter/noun
7.7377644	2	7.961895	1.0	7	110_meter/noun
1.8049886	1			1350	11de/num
6.592632	1	7.50991	1.0	11	12,47/num
7.1987677	2	7.422899	1.0	12	12,51/num
7.044617	1			7	12,66/num
6.5139885	1			12	12,84/num
2.6577804	1	3.570316	1.0	568	12-jarigen/adj
0.8297375	2			7021	12./num
3.9432385	1			175	12.02/num
6.7392354	2	6.9633665	1.0	20	12.03/num
3.5691075	1	4.47846	1.0	248	12.05/num
3.6797872	1			236	12.07/num
6.3731313	1	7.268748	1.0	14	12.09/num
5.775659	1	6.6789794	1.0	26	12.12/num
5.8994846	1	6.816763	1.0	22	12.14/num
6.4255776	1			13	12.16/num
6.5056205	1	7.422899	1.0	12	12.17/num
6.3163786	1	7.2165623	1.0	15	12.24/num
6.2179384	1	7.1352167	1.0	16	12.31/num
6.2179384	1			16	12.32/num
6.35147	1	7.268748	1.0	14	12.36/num
4.3660445	1			103	12.40/noun
3.948393	2	4.1620016	1.0	314	12.45/noun
5.994795	1	6.912073	1.0	20	12.47/num
6.9110856	2	7.1352167	1.0	16	12.48/num
3.8876166	1			168	12.50/num
5.8124733	1			24	12.53/num
6.1001554	1	7.0174336	1.0	18	12.56/num
7.1987677	1			6	12.60/num
7.276729	1	8.180584	1.0	6	12.69/num
6.7933025	1	7.710581	1.0	9	12.81/num
6.7933025	1	7.710581	1.0	9	12.85/num
6.4255776	1	7.342856	1.0	13	12.87/num
6.687942	1			10	12.97/num
-1.258703	2			57411	12/num
6.592632	1	7.50991	1.0	11	12156/num
6.35147	1			14	1266/num
8.990527	1			1	12^cm/noun
7.604233	1			4	"13""53/num"
6.033016	1			20	13,01/num
3.126044	1	4.02867	1.0	359	13,2/num
6.8329678	1			9	13,21/num
6.125473	1			18	13,23/num
5.7305093	1			27	13,28/num
6.620283	1			11	13,29/num
8.990527	1	9.907805	1.0	1	13,43/name
6.1001554	1			18	13,56/num
6.7659035	1			10	13,73/num
8.990527	1			1	13.02.34/num
5.946005	1	6.8632827	1.0	21	13.06/num
5.855033	1			23	13.18/num
5.8314013	1			24	13.19/num
4.462598	3	4.9710855	2.0	290	13.20/num
6.2179384	1			16	13.27/num
6.5613093	1	7.4654584	1.0	12	13.29/num
8.990527	1	9.907805	1.0	1	13.34.77/num
5.7716513	1			25	13.34/num
5.4940195	1			33	13.36/num
5.720958	1	6.6306605	1.0	27	13.37/num
5.8335266	1	6.750805	1.0	24	13.38/num
5.8166485	1			24	13.44/num
6.046088	1			19	13.51/num
3.814095	1	4.721118	1.0	192	13.55/num
6.184141	1			17	13.56/num
5.9109135	1			22	13.57/num
5.9224744	1			22	13.58/num
8.990527	1	9.907805	1.0	1	13.59.25/num
6.5056205	1	7.422899	1.0	12	13.59/num
8.322698	2	9.214658	2.0	4	13.60/num
6.7933025	1	7.710581	1.0	9	13.61/num
6.592632	1			11	13.70/num
6.592632	1			11	13.71/num
7.0662785	1			7	13.73/num
7.514621	2	8.403728	2.0	9	13.74/num
6.592632	1	7.50991	1.0	11	13.76/num
8.074236	2	8.2983675	1.0	5	13.77/num
8.2973795	2	8.521511	1.0	4	13.78/num
7.7377644	2	7.961895	1.0	7	13.79/num
6.4255776	1	7.342856	1.0	13	13.8/num
7.691244	3			11	13.80/num
7.891915	1	8.809193	1.0	3	13.81/num
7.381089	2	7.6052203	1.0	10	13.84/num
7.604233	1	8.521511	1.0	4	13.89/num
6.9110856	1	7.828364	1.0	8	13.9/num
8.2973795	4	7.828364	1.0	8	13.90/num
7.1987677	2	7.422899	1.0	12	13.92/num
6.9110856	1	7.828364	1.0	8	13.96/num
6.9110856	1			8	13.97/num
7.381089	1			5	13.99/num
-0.89767927	2	-0.6843632	1.0	40176	13/num
6.687942	1			10	1396/noun
1.5237563	1			1791	13de/num
8.2973795	1	9.214658	1.0	2	"14""70/num"
