pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
-1.050369	1			19257	!/name
-0.8344939	9	-0.7541431	4.0	142029	!/punct
-0.476845	446	-0.550151	169.0	4844510	"""/punct"
5.4016027	1			30	&Cooking/name
5.270811	1	6.169393	1.0	34	&Maxi/name
5.6681848	1			23	&O/name
-0.36873028	280	-0.4442711	106.0	2720890	'/punct
3.1910002	1			274	'20/num
2.4453607	1			574	'68/noun
3.5884686	1	4.4842205	1.0	184	'74/noun
5.2977586	1			33	'77/num
3.7260494	1			160	'79/noun
4.7237234	1			59	'79/num
2.2049246	1	3.099461	1.0	757	'99/num
-0.29274037	7	-0.24198824	3.0	62265	's/adv
1.1010566	5	1.7680124	4.0	11206	's/det
-0.9841222	1			17963	't/name
-0.03435283	390	-0.25921148	129.0	2759129	(/punct
-0.10783842	359	-0.16314536	139.0	2758869	)/punct
1.2200155	1			2003	***/num
0.73330873	34	0.8866891	17.0	117193	*/tag
2.592038	1	3.4904387	1.0	497	*De/noun
6.3948545	1	7.2978587	1.0	11	*Woensdag/noun
8.099603	1			2	+45j/noun
0.6256007	7	-0.42703995	1.0	24958	,/name
-0.31050086	1999	-0.43591034	719.0	18092245	,/punct
-0.20161207	9	0.075649224	5.0	75440	--/punct
7.6941376	1			3	--Op/name
-0.9914514	2			36107	-/name
0.6573747	304	0.8619829	153.0	1059446	-/punct
5.327014	1			32	-23-jarigen/adj
3.6045265	1			181	-60/num
8.79275	1			1	-Houthulst/name
8.322746	1	9.002606	1.0	2	-Jimmy/name
8.955269	1			1	-Leontien/name
7.4064555	1	8.30946	1.0	4	-arrangeur/noun
8.79275	1	9.695754	1.0	1	-burgemeesteres/name
6.227801	1	7.1308045	1.0	13	-clubs/noun
7.4064555	1	8.30946	1.0	4	-jarig/noun
8.79275	1			1	-omloop/noun
7.2035146	1	8.086316	1.0	5	-parlementsleden/noun
6.320422	1			12	-raad/noun
8.099603	1			2	-vedetten/noun
-0.64931554	8	-1.8364779	1.0	103573	.../punct
1.5056169	2			3011	./name
-0.01834035	4109	0.10895728	1901.0	28225482	./punct
0.498717	3	0.2545795	1.0	13088	//name
-0.78784966	3	-1.010685	1.0	45910	//punct
4.3384027	1			89	02.00/noun
1.8944896	1			1028	02/num
6.227801	1	7.1308045	1.0	13	03-776.17.21/num
8.79275	1			1	03/772.44.67/name
8.79275	1	9.695754	1.0	1	0474.46.90.26/num
9.390587	1			1	0478-51.18.79/num
8.79275	1			1	0497/40.28.56/num
7.3111453	1			5	051-40.72.28/num
8.099603	1	9.002606	1.0	2	055-21.41.66/num
6.216328	1			14	07.45/num
8.79275	1			1	075-69.41.15/num
4.501606	1	5.388316	1.0	75	08.30/noun
6.745057	1			11	09-253.11.12/num
5.403288	1			32	09.15/num
3.3048458	1			249	09/267.28.28/num
-0.5572784	1	0.33876222	1.0	11643	1-1/num
7.0009904	1			6	1-EISDEN/name
-1.9525117	1			46650	1./num
5.614696	1			24	1.116/num
1.0662066	3			6921	1.500/num
-1.0158416	3			56531	1/name
0.069006145	11	0.1674307	5.0	69141	1/noun
-1.2577363	5	-1.2840579	2.0	118827	1/num
-0.010197172	2			13558	10.000/num
6.1590643	4	6.326305	2.0	62	10.000ste/num
1.9319291	3			2910	10.30/noun
0.45173088	5	0.4243536	2.0	21393	10/noun
-1.2253829	4	-1.7192652	1.0	91258	10/num
9.015894	2	9.136138	1.0	2	100-/adj
3.3882725	1	4.267505	1.0	230	100-jarig/adj
4.015519	2			252	100-jarige/adj
-0.4832564	1			10904	100.000/num
0.21198358	8	-0.9759507	1.0	43355	100/num
3.19368	2	3.3774617	1.0	561	100ste/num
0.8285595	1			2941	101/num
3.6569517	1			175	101ste/num
3.0103104	1			330	102/name
1.0785859	1			2290	102/num
4.943667	1			51	103-jarige/adj
1.7942175	2	2.686119	2.0	2228	104/num
4.719459	1	5.6055846	1.0	60	105de/num
1.2740613	1	2.1682289	1.0	1869	109/num
7.6941376	1			3	10december/noun
2.191452	1	3.0823696	1.0	754	11-jarige/adj
4.1445203	1			108	11-juliviering/noun
8.099603	1			2	11.11.11-nationaal/noun
2.1644442	1			795	11.11.11/num
0.93707794	14	1.267402	8.0	36830	11/noun
-0.7049136	3	-0.9107168	1.0	40771	11/num
0.0908298	1	0.98317885	1.0	6110	110/num
1.4644276	2			3091	115/num
1.3171273	1			1783	117/num
7.2137713	1	8.086316	1.0	5	11_winnaar/noun
4.729724	1			61	12-2/num
1.7488916	1			1183	12-jarige/adj
1.3827357	2	1.5821774	1.0	3362	12.000/num
2.9268486	1	3.816269	1.0	359	12.15/noun
0.7720906	6	-0.1314465	1.0	18653	12/noun
-1.051015	3	-1.2561092	1.0	57411	12/num
1.2205043	1			1980	120.000/num
0.45008084	3	0.24410583	1.0	12795	120/num
1.458029	1			1551	121/num
1.472885	1			1530	122/num
2.4608035	1			571	125_cc/noun
8.79275	1			1	1263/noun
1.9136515	2	2.1074934	1.0	1984	128/num
1.4416238	1			1595	12de/num
1.6364564	1			1328	13-jarige/adj
7.6941376	1			3	13.138/num
1.0855075	2	1.2843934	1.0	4509	13.30/noun
0.48199072	5	-0.23831753	1.0	20739	13/noun
-1.7886035	1			40176	13/num
1.6287259	1			1304	131/num
0.9286759	1			2636	135/num
2.0191262	2	2.2158191	1.0	1791	13de/num
2.1033683	2	2.299572	1.0	1660	14-jarige/adj
1.446127	1	2.339873	1.0	1574	14.00/noun
1.0215775	1	1.9213183	1.0	2382	14.15/noun
4.803766	1			56	14.25/noun
0.0021688975	1			6653	14.30/noun
4.1776295	1			102	14.40/noun
0.9924415	10	1.1891515	5.0	24865	14/noun
-1.9722817	1	-1.0795919	1.0	48120	14/num
0.7366245	2			6410	140/num
1.9131627	2	2.8010204	2.0	2009	15-jarige/adj
0.09860798	1	0.98920137	1.0	6093	15.000/num
1.0403719	1			2359	15.30/noun
0.5675766	8	0.06852216	2.0	30549	15/noun
-0.50905836	6	-0.7146831	2.0	66844	15/num
0.47845665	1			4163	150.000/num
0.07603403	1			6208	1500/num
1.1617548	1	2.051313	1.0	2109	15de/num
