_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
staal.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.9099225566350926	0.10943240949237991	1	5000	5000	308	staal	NA	NA	bound	603	lex	10_10	weight	nav	4_4	0.1045780931752645	BOW
staal.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.5733060545330586	-1.4713853454757702	1	5000	5000	308	staal	NA	NA	bound	603	lex	10_10	weight	all	4_4	0.19000434283996295	BOW
staal.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9809153264458791	0.5179275952029323	1	FOC	459	308	staal	NA	NA	bound	603	lex	10_10	weight	nav	4_4	0.11412019248587672	BOW
staal.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.950600823193987	0.4760740580173928	1	FOC	603	308	staal	NA	NA	bound	603	lex	10_10	weight	all	4_4	0.11198214700070581	BOW
staal.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.0772639890519287	-0.24175381456913755	1	5000	5000	308	staal	NA	NA	bound	603	lex	10_10	selection	nav	4_4	0.14861717994557416	BOW
staal.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.7415432922258013	-1.6903261435724437	1	5000	5000	308	staal	NA	NA	bound	603	lex	10_10	selection	all	4_4	0.19985048418639323	BOW
staal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.0813979392231592	0.24406588601038087	1	FOC	459	308	staal	NA	NA	bound	603	lex	10_10	selection	nav	4_4	0.11613296539504833	BOW
staal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.025147050892792	0.1814478944359626	1	FOC	603	308	staal	NA	NA	bound	603	lex	10_10	selection	all	4_4	0.11529609235634883	BOW
staal.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.406452824854353	-0.37455049021652315	1	5000	5000	310	staal	NA	NA	bound	1033	lex	10_10	no	nav	4_4	0.14401972325627274	BOW
staal.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.9062908149272739	-2.1961910589647307	1	5000	5000	310	staal	NA	NA	bound	1033	lex	10_10	no	all	4_4	0.18391367525303406	BOW
staal.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.2576535545807446	0.09999586663170475	1	FOC	776	310	staal	NA	NA	bound	1033	lex	10_10	no	nav	4_4	0.11984718692518571	BOW
